Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1107,19;0.0;P002 ​;20250212_130300;1;F8W1;0,0616;1,4025;1,5550;-0,4046;-0,0815;0,0469;-0,9096;Collision avec Debut - Objet Parent SceneAnchor;False
1107,20;0.01;P002 ​;20250212_130300;1;F8W1;0,0660;1,3990;1,5707;-0,3988;-0,0808;0,0463;-0,9123;Collision avec Debut - Objet Parent SceneAnchor;False
1107,21;0.03;P002 ​;20250212_130300;1;F8W1;0,0708;1,3951;1,5865;-0,3946;-0,0789;0,0453;-0,9143;Collision avec Debut - Objet Parent SceneAnchor;False
1107,23;0.04;P002 ​;20250212_130300;1;F8W1;0,0758;1,3907;1,6024;-0,3921;-0,0760;0,0433;-0,9158;;False
1107,24;0.05;P002 ​;20250212_130300;1;F8W1;0,0810;1,3863;1,6182;-0,3905;-0,0726;0,0409;-0,9168;;False
1107,26;0.07;P002 ​;20250212_130300;1;F8W1;0,0863;1,3821;1,6345;-0,3907;-0,0700;0,0381;-0,9171;;False
1107,27;0.08;P002 ​;20250212_130300;1;F8W1;0,0918;1,3783;1,6509;-0,3921;-0,0676;0,0350;-0,9168;;False
1107,28;0.1;P002 ​;20250212_130300;1;F8W1;0,0974;1,3754;1,6679;-0,3955;-0,0643;0,0316;-0,9157;;False
1107,30;0.11;P002 ​;20250212_130300;1;F8W1;0,1030;1,3732;1,6856;-0,3994;-0,0602;0,0275;-0,9144;;False
1107,31;0.12;P002 ​;20250212_130300;1;F8W1;0,1088;1,3718;1,7042;-0,4020;-0,0560;0,0231;-0,9136;;False
1107,33;0.14;P002 ​;20250212_130300;1;F8W1;0,1148;1,3715;1,7241;-0,4036;-0,0504;0,0172;-0,9134;;False
1107,34;0.15;P002 ​;20250212_130300;1;F8W1;0,1206;1,3723;1,7456;-0,4017;-0,0446;0,0097;-0,9146;;False
1107,35;0.17;P002 ​;20250212_130300;1;F8W1;0,1260;1,3741;1,7678;-0,3973;-0,0404;0,0030;-0,9168;;False
1107,37;0.18;P002 ​;20250212_130300;1;F8W1;0,1309;1,3769;1,7902;-0,3907;-0,0367;-0,0027;-0,9198;;False
1107,38;0.19;P002 ​;20250212_130300;1;F8W1;0,1351;1,3807;1,8119;-0,3871;-0,0311;-0,0098;-0,9215;;False
1107,40;0.21;P002 ​;20250212_130300;1;F8W1;0,1390;1,3872;1,8338;-0,3957;-0,0218;-0,0188;-0,9179;;False
1107,41;0.22;P002 ​;20250212_130300;1;F8W1;0,1425;1,3907;1,8558;-0,3914;-0,0107;-0,0278;-0,9198;;False
1107,42;0.24;P002 ​;20250212_130300;1;F8W1;0,1449;1,3925;1,8775;-0,3720;-0,0036;-0,0322;-0,9277;;False
1107,44;0.25;P002 ​;20250212_130300;1;F8W1;0,1467;1,3969;1,8986;-0,3636;0,0016;-0,0343;-0,9309;;False
1107,45;0.26;P002 ​;20250212_130300;1;F8W1;0,1474;1,4015;1,9185;-0,3632;0,0075;-0,0371;-0,9309;;False
