Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
993,15;0.0;P002 ​;20250212_130300;1;FO2;0,0204;1,5809;0,0820;0,0321;-0,0150;0,0082;-0,9993;;False
993,16;0.01;P002 ​;20250212_130300;1;FO2;0,0203;1,5808;0,0821;0,0320;-0,0146;0,0084;-0,9993;;False
993,19;0.05;P002 ​;20250212_130300;1;FO2;0,0202;1,5808;0,0821;0,0318;-0,0142;0,0089;-0,9994;;False
993,21;0.06;P002 ​;20250212_130300;1;FO2;0,0201;1,5808;0,0820;0,0320;-0,0139;0,0087;-0,9994;;False
993,22;0.07;P002 ​;20250212_130300;1;FO2;0,0201;1,5809;0,0819;0,0322;-0,0137;0,0088;-0,9993;;False
993,23;0.09;P002 ​;20250212_130300;1;FO2;0,0200;1,5809;0,0819;0,0326;-0,0137;0,0089;-0,9993;;False
993,25;0.1;P002 ​;20250212_130300;1;FO2;0,0200;1,5809;0,0819;0,0326;-0,0138;0,0091;-0,9993;;False
993,26;0.11;P002 ​;20250212_130300;1;FO2;0,0200;1,5810;0,0819;0,0327;-0,0139;0,0091;-0,9993;;False
993,28;0.13;P002 ​;20250212_130300;1;FO2;0,0201;1,5810;0,0820;0,0328;-0,0141;0,0091;-0,9993;;False
993,29;0.14;P002 ​;20250212_130300;1;FO2;0,0201;1,5810;0,0821;0,0327;-0,0145;0,0092;-0,9993;;False
993,30;0.16;P002 ​;20250212_130300;1;FO2;0,0202;1,5810;0,0823;0,0324;-0,0149;0,0093;-0,9993;;False
993,32;0.17;P002 ​;20250212_130300;1;FO2;0,0203;1,5809;0,0823;0,0323;-0,0153;0,0092;-0,9993;;False
993,33;0.19;P002 ​;20250212_130300;1;FO2;0,0203;1,5809;0,0824;0,0322;-0,0157;0,0092;-0,9993;;False
993,35;0.2;P002 ​;20250212_130300;1;FO2;0,0203;1,5809;0,0824;0,0319;-0,0161;0,0094;-0,9993;;False
993,36;0.21;P002 ​;20250212_130300;1;FO2;0,0203;1,5808;0,0825;0,0318;-0,0164;0,0095;-0,9993;;False
993,37;0.23;P002 ​;20250212_130300;1;FO2;0,0203;1,5808;0,0826;0,0316;-0,0167;0,0094;-0,9993;;False
993,39;0.24;P002 ​;20250212_130300;1;FO2;0,0202;1,5808;0,0827;0,0315;-0,0170;0,0094;-0,9993;;False
993,40;0.26;P002 ​;20250212_130300;1;FO2;0,0202;1,5807;0,0827;0,0311;-0,0171;0,0091;-0,9993;;False
993,42;0.27;P002 ​;20250212_130300;1;FO2;0,0202;1,5807;0,0828;0,0313;-0,0172;0,0093;-0,9993;;False
993,43;0.28;P002 ​;20250212_130300;1;FO2;0,0202;1,5807;0,0829;0,0316;-0,0174;0,0094;-0,9993;;False
993,44;0.3;P002 ​;20250212_130300;1;FO2;0,0202;1,5807;0,0830;0,0314;-0,0172;0,0087;-0,9993;;False
