Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1027,01;0.0;P002 ​;20250212_130300;1;FO2;0,0395;1,5801;0,0642;-0,0267;0,0256;-0,0182;0,9991;;False
1027,03;0.01;P002 ​;20250212_130300;1;FO2;0,0396;1,5801;0,0642;-0,0269;0,0259;-0,0186;0,9991;;False
1027,06;0.05;P002 ​;20250212_130300;1;FO2;0,0399;1,5802;0,0639;-0,0274;0,0268;-0,0194;0,9991;;False
1027,07;0.06;P002 ​;20250212_130300;1;FO2;0,0401;1,5803;0,0637;-0,0276;0,0272;-0,0198;0,9991;;False
1027,09;0.07;P002 ​;20250212_130300;1;FO2;0,0402;1,5803;0,0636;-0,0279;0,0279;-0,0202;0,9990;;False
1027,10;0.09;P002 ​;20250212_130300;1;FO2;0,0404;1,5803;0,0635;-0,0281;0,0282;-0,0207;0,9990;;False
1027,11;0.1;P002 ​;20250212_130300;1;FO2;0,0405;1,5803;0,0633;-0,0282;0,0285;-0,0211;0,9990;;False
1027,13;0.11;P002 ​;20250212_130300;1;FO2;0,0406;1,5803;0,0632;-0,0282;0,0284;-0,0214;0,9990;;False
1027,14;0.13;P002 ​;20250212_130300;1;FO2;0,0408;1,5803;0,0631;-0,0279;0,0285;-0,0217;0,9990;;False
1027,15;0.14;P002 ​;20250212_130300;1;FO2;0,0409;1,5803;0,0629;-0,0278;0,0283;-0,0215;0,9990;;False
1027,17;0.15;P002 ​;20250212_130300;1;FO2;0,0409;1,5803;0,0628;-0,0278;0,0282;-0,0212;0,9990;;False
1027,18;0.17;P002 ​;20250212_130300;1;FO2;0,0408;1,5803;0,0626;-0,0277;0,0271;-0,0204;0,9990;;False
1027,19;0.18;P002 ​;20250212_130300;1;FO2;0,0406;1,5803;0,0625;-0,0279;0,0260;-0,0198;0,9991;;False
1027,21;0.19;P002 ​;20250212_130300;1;FO2;0,0404;1,5804;0,0624;-0,0283;0,0249;-0,0195;0,9991;;False
1027,22;0.21;P002 ​;20250212_130300;1;FO2;0,0402;1,5804;0,0624;-0,0287;0,0237;-0,0190;0,9991;;False
1027,23;0.22;P002 ​;20250212_130300;1;FO2;0,0400;1,5805;0,0623;-0,0289;0,0228;-0,0184;0,9992;;False
1027,25;0.23;P002 ​;20250212_130300;1;FO2;0,0398;1,5805;0,0622;-0,0289;0,0222;-0,0177;0,9992;;False
1027,26;0.25;P002 ​;20250212_130300;1;FO2;0,0396;1,5806;0,0621;-0,0287;0,0217;-0,0173;0,9992;;False
1027,27;0.26;P002 ​;20250212_130300;1;FO2;0,0395;1,5806;0,0621;-0,0296;0,0213;-0,0168;0,9992;;False
1027,29;0.27;P002 ​;20250212_130300;1;FO2;0,0394;1,5805;0,0621;-0,0293;0,0209;-0,0162;0,9992;;False
1027,30;0.29;P002 ​;20250212_130300;1;FO2;0,0395;1,5805;0,0621;-0,0287;0,0204;-0,0158;0,9993;;False
1027,32;0.3;P002 ​;20250212_130300;1;FO2;0,0396;1,5804;0,0622;-0,0285;0,0204;-0,0161;0,9993;;False
1027,33;0.32;P002 ​;20250212_130300;1;FO2;0,0396;1,5802;0,0623;-0,0276;0,0202;-0,0167;0,9993;;False
1027,34;0.33;P002 ​;20250212_130300;1;FO2;0,0396;1,5800;0,0624;-0,0265;0,0199;-0,0167;0,9993;;False
1027,36;0.34;P002 ​;20250212_130300;1;FO2;0,0397;1,5797;0,0624;-0,0249;0,0200;-0,0165;0,9994;;False
1027,37;0.36;P002 ​;20250212_130300;1;FO2;0,0398;1,5794;0,0626;-0,0229;0,0194;-0,0163;0,9994;;False
1027,39;0.37;P002 ​;20250212_130300;1;FO2;0,0400;1,5792;0,0628;-0,0216;0,0185;-0,0160;0,9995;;False
1027,40;0.39;P002 ​;20250212_130300;1;FO2;0,0402;1,5789;0,0631;-0,0199;0,0173;-0,0154;0,9995;;False
1027,41;0.4;P002 ​;20250212_130300;1;FO2;0,0401;1,5782;0,0635;-0,0165;0,0159;-0,0146;0,9996;;False
1027,43;0.42;P002 ​;20250212_130300;1;FO2;0,0400;1,5771;0,0639;-0,0122;0,0139;-0,0122;0,9998;;False
1027,44;0.43;P002 ​;20250212_130300;1;FO2;0,0398;1,5752;0,0642;-0,0045;0,0118;-0,0093;0,9999;;False
1027,46;0.45;P002 ​;20250212_130300;1;FO2;0,0392;1,5721;0,0645;0,0090;0,0096;-0,0061;0,9999;;False
1027,47;0.46;P002 ​;20250212_130300;1;FO2;0,0390;1,5682;0,0651;0,0264;0,0060;-0,0042;0,9996;;False
1027,49;0.47;P002 ​;20250212_130300;1;FO2;0,0387;1,5635;0,0658;0,0462;0,0019;-0,0017;0,9989;;False
1027,50;0.49;P002 ​;20250212_130300;1;FO2;0,0386;1,5587;0,0669;0,0679;-0,0031;0,0021;0,9977;;False
1027,52;0.5;P002 ​;20250212_130300;1;FO2;0,0387;1,5541;0,0684;0,0877;-0,0078;0,0061;0,9961;;False
1027,54;0.52;P002 ​;20250212_130300;1;FO2;0,0391;1,5500;0,0708;0,1064;-0,0127;0,0098;0,9942;;False
1027,55;0.54;P002 ​;20250212_130300;1;FO2;0,0394;1,5461;0,0736;0,1230;-0,0156;0,0123;0,9922;;False
1027,56;0.55;P002 ​;20250212_130300;1;FO2;0,0400;1,5426;0,0772;0,1379;-0,0186;0,0139;0,9902;;False
1027,58;0.57;P002 ​;20250212_130300;1;FO2;0,0406;1,5394;0,0815;0,1509;-0,0201;0,0139;0,9882;;False
1027,59;0.58;P002 ​;20250212_130300;1;FO2;0,0413;1,5361;0,0865;0,1624;-0,0218;0,0137;0,9864;;False
1027,61;0.59;P002 ​;20250212_130300;1;FO2;0,0431;1,5291;0,0971;0,1859;-0,0257;0,0149;0,9821;;False
1027,62;0.61;P002 ​;20250212_130300;1;FO2;0,0444;1,5255;0,1030;0,1963;-0,0277;0,0153;0,9800;;False
1027,64;0.62;P002 ​;20250212_130300;1;FO2;0,0457;1,5220;0,1091;0,2081;-0,0300;0,0158;0,9775;;False
1027,65;0.64;P002 ​;20250212_130300;1;FO2;0,0469;1,5188;0,1155;0,2212;-0,0326;0,0163;0,9745;;False
1027,66;0.65;P002 ​;20250212_130300;1;FO2;0,0481;1,5159;0,1221;0,2354;-0,0352;0,0159;0,9711;;False
1027,68;0.67;P002 ​;20250212_130300;1;FO2;0,0492;1,5136;0,1295;0,2498;-0,0393;0,0163;0,9674;;False
1027,69;0.68;P002 ​;20250212_130300;1;FO2;0,0502;1,5116;0,1382;0,2600;-0,0445;0,0177;0,9644;;False
1027,71;0.69;P002 ​;20250212_130300;1;FO2;0,0514;1,5096;0,1480;0,2637;-0,0508;0,0192;0,9631;;False
1027,72;0.71;P002 ​;20250212_130300;1;FO2;0,0524;1,5070;0,1576;0,2654;-0,0562;0,0215;0,9623;;False
