Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
888,58;0.0;P002 ​;20250212_130300;1;Marche2;0,0247;1,5787;0,0513;-0,0157;-0,0165;0,0105;-0,9997;;False
888,61;0.03;P002 ​;20250212_130300;1;Marche2;0,0249;1,5787;0,0505;-0,0150;-0,0179;0,0104;-0,9997;;False
888,63;0.04;P002 ​;20250212_130300;1;Marche2;0,0250;1,5788;0,0501;-0,0148;-0,0187;0,0102;-0,9997;;False
888,64;0.06;P002 ​;20250212_130300;1;Marche2;0,0251;1,5788;0,0499;-0,0146;-0,0193;0,0100;-0,9997;;False
888,65;0.07;P002 ​;20250212_130300;1;Marche2;0,0252;1,5789;0,0497;-0,0146;-0,0196;0,0100;-0,9997;;False
888,67;0.08;P002 ​;20250212_130300;1;Marche2;0,0253;1,5790;0,0494;-0,0145;-0,0200;0,0098;-0,9996;;False
888,68;0.1;P002 ​;20250212_130300;1;Marche2;0,0253;1,5791;0,0492;-0,0142;-0,0202;0,0096;-0,9996;;False
888,70;0.11;P002 ​;20250212_130300;1;Marche2;0,0253;1,5792;0,0490;-0,0138;-0,0202;0,0095;-0,9997;;False
888,71;0.12;P002 ​;20250212_130300;1;Marche2;0,0254;1,5793;0,0488;-0,0134;-0,0202;0,0093;-0,9997;;False
888,72;0.14;P002 ​;20250212_130300;1;Marche2;0,0254;1,5795;0,0488;-0,0131;-0,0203;0,0092;-0,9997;;False
888,74;0.15;P002 ​;20250212_130300;1;Marche2;0,0255;1,5796;0,0488;-0,0129;-0,0203;0,0093;-0,9997;;False
888,75;0.17;P002 ​;20250212_130300;1;Marche2;0,0254;1,5796;0,0486;-0,0127;-0,0201;0,0091;-0,9997;;False
888,77;0.18;P002 ​;20250212_130300;1;Marche2;0,0254;1,5795;0,0485;-0,0128;-0,0198;0,0085;-0,9997;;False
888,78;0.19;P002 ​;20250212_130300;1;Marche2;0,0254;1,5795;0,0484;-0,0133;-0,0194;0,0083;-0,9997;;False
888,79;0.21;P002 ​;20250212_130300;1;Marche2;0,0254;1,5794;0,0483;-0,0133;-0,0190;0,0087;-0,9997;;False
888,81;0.22;P002 ​;20250212_130300;1;Marche2;0,0254;1,5793;0,0482;-0,0134;-0,0186;0,0093;-0,9997;;False
888,82;0.24;P002 ​;20250212_130300;1;Marche2;0,0254;1,5792;0,0481;-0,0136;-0,0181;0,0094;-0,9997;;False
888,83;0.25;P002 ​;20250212_130300;1;Marche2;0,0254;1,5791;0,0480;-0,0140;-0,0176;0,0094;-0,9997;;False
888,85;0.26;P002 ​;20250212_130300;1;Marche2;0,0254;1,5790;0,0480;-0,0142;-0,0172;0,0096;-0,9997;;False
888,86;0.28;P002 ​;20250212_130300;1;Marche2;0,0254;1,5788;0,0479;-0,0145;-0,0170;0,0096;-0,9997;;False
888,88;0.29;P002 ​;20250212_130300;1;Marche2;0,0254;1,5787;0,0479;-0,0147;-0,0168;0,0097;-0,9997;;False
888,89;0.31;P002 ​;20250212_130300;1;Marche2;0,0255;1,5785;0,0480;-0,0153;-0,0165;0,0099;-0,9997;;False
888,90;0.32;P002 ​;20250212_130300;1;Marche2;0,0256;1,5784;0,0480;-0,0152;-0,0163;0,0100;-0,9997;;False
888,92;0.33;P002 ​;20250212_130300;1;Marche2;0,0257;1,5782;0,0481;-0,0140;-0,0162;0,0099;-0,9997;;False
888,93;0.35;P002 ​;20250212_130300;1;Marche2;0,0258;1,5779;0,0482;-0,0147;-0,0163;0,0100;-0,9997;;False
888,95;0.36;P002 ​;20250212_130300;1;Marche2;0,0259;1,5776;0,0482;-0,0147;-0,0165;0,0099;-0,9997;;False
