Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
437,27;0.0;P002 ​;20250212_130300;1;TUG1;-0,0025;1,3103;0,3223;0,0412;0,0613;-0,0113;0,9972;;False
437,28;0.01;P002 ​;20250212_130300;1;TUG1;-0,0026;1,3304;0,3343;0,0348;0,0602;-0,0085;0,9975;;False
437,29;0.03;P002 ​;20250212_130300;1;TUG1;-0,0029;1,3496;0,3454;0,0316;0,0579;-0,0061;0,9978;;False
437,31;0.04;P002 ​;20250212_130300;1;TUG1;-0,0032;1,3669;0,3554;0,0299;0,0542;-0,0051;0,9981;;False
437,32;0.06;P002 ​;20250212_130300;1;TUG1;-0,0036;1,3832;0,3651;0,0287;0,0515;-0,0062;0,9982;;False
437,34;0.07;P002 ​;20250212_130300;1;TUG1;-0,0042;1,3972;0,3743;0,0286;0,0502;-0,0103;0,9983;;False
437,35;0.08;P002 ​;20250212_130300;1;TUG1;-0,0044;1,4095;0,3836;0,0311;0,0490;-0,0160;0,9982;;False
437,36;0.1;P002 ​;20250212_130300;1;TUG1;-0,0045;1,4205;0,3928;0,0385;0,0479;-0,0205;0,9979;;False
437,38;0.11;P002 ​;20250212_130300;1;TUG1;-0,0040;1,4304;0,4015;0,0491;0,0451;-0,0213;0,9975;;False
437,39;0.13;P002 ​;20250212_130300;1;TUG1;-0,0033;1,4391;0,4104;0,0610;0,0419;-0,0171;0,9971;;False
437,41;0.14;P002 ​;20250212_130300;1;TUG1;-0,0025;1,4464;0,4197;0,0695;0,0391;-0,0134;0,9967;;False
437,42;0.15;P002 ​;20250212_130300;1;TUG1;-0,0015;1,4526;0,4295;0,0770;0,0370;-0,0123;0,9963;;False
437,43;0.17;P002 ​;20250212_130300;1;TUG1;-0,0003;1,4580;0,4395;0,0839;0,0346;-0,0122;0,9958;;False
