Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
482,42;0.0;P002 ​;20250212_130300;1;TUG1;-0,0385;1,3421;0,2688;-0,0417;-0,0234;0,0123;-0,9988;;False
482,43;0.01;P002 ​;20250212_130300;1;TUG1;-0,0377;1,3639;0,2815;-0,0427;-0,0253;0,0081;-0,9987;;False
482,45;0.03;P002 ​;20250212_130300;1;TUG1;-0,0374;1,3855;0,2929;-0,0480;-0,0271;0,0064;-0,9985;;False
482,46;0.04;P002 ​;20250212_130300;1;TUG1;-0,0373;1,4056;0,3039;-0,0517;-0,0294;0,0089;-0,9982;;False
482,48;0.06;P002 ​;20250212_130300;1;TUG1;-0,0371;1,4248;0,3142;-0,0547;-0,0327;0,0143;-0,9979;;False
482,49;0.07;P002 ​;20250212_130300;1;TUG1;-0,0367;1,4431;0,3237;-0,0576;-0,0361;0,0208;-0,9975;;False
482,50;0.08;P002 ​;20250212_130300;1;TUG1;-0,0361;1,4605;0,3326;-0,0630;-0,0387;0,0249;-0,9969;;False
482,52;0.1;P002 ​;20250212_130300;1;TUG1;-0,0352;1,4756;0,3413;-0,0679;-0,0395;0,0243;-0,9966;;False
482,53;0.11;P002 ​;20250212_130300;1;TUG1;-0,0344;1,4890;0,3495;-0,0731;-0,0398;0,0209;-0,9963;;False
482,55;0.13;P002 ​;20250212_130300;1;TUG1;-0,0332;1,5001;0,3572;-0,0789;-0,0379;0,0144;-0,9961;;False
482,56;0.14;P002 ​;20250212_130300;1;TUG1;-0,0321;1,5092;0,3646;-0,0821;-0,0365;0,0093;-0,9959;;False
482,57;0.15;P002 ​;20250212_130300;1;TUG1;-0,0309;1,5158;0,3717;-0,0842;-0,0352;0,0062;-0,9958;;False
482,59;0.17;P002 ​;20250212_130300;1;TUG1;-0,0300;1,5211;0,3786;-0,0878;-0,0360;0,0068;-0,9955;;False
482,60;0.18;P002 ​;20250212_130300;1;TUG1;-0,0287;1,5244;0,3852;-0,0911;-0,0375;0,0096;-0,9951;;False
482,62;0.19;P002 ​;20250212_130300;1;TUG1;-0,0273;1,5263;0,3921;-0,0952;-0,0391;0,0121;-0,9946;;False
482,63;0.21;P002 ​;20250212_130300;1;TUG1;-0,0259;1,5268;0,3997;-0,0994;-0,0405;0,0132;-0,9941;;False
482,64;0.22;P002 ​;20250212_130300;1;TUG1;-0,0241;1,5259;0,4081;-0,1007;-0,0404;0,0118;-0,9940;;False
482,66;0.24;P002 ​;20250212_130300;1;TUG1;-0,0224;1,5242;0,4169;-0,1029;-0,0406;0,0100;-0,9938;;False
482,67;0.25;P002 ​;20250212_130300;1;TUG1;-0,0207;1,5213;0,4263;-0,1042;-0,0412;0,0096;-0,9937;;False
482,69;0.26;P002 ​;20250212_130300;1;TUG1;-0,0188;1,5169;0,4365;-0,1031;-0,0430;0,0113;-0,9937;;False
482,70;0.28;P002 ​;20250212_130300;1;TUG1;-0,0164;1,5112;0,4473;-0,0999;-0,0449;0,0127;-0,9939;;False
482,71;0.29;P002 ​;20250212_130300;1;TUG1;-0,0132;1,5047;0,4586;-0,0961;-0,0456;0,0111;-0,9943;;False
482,73;0.31;P002 ​;20250212_130300;1;TUG1;-0,0098;1,4979;0,4707;-0,0946;-0,0462;0,0090;-0,9944;;False
