Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
600,51;0.0;P028​;20250324_123140;1;F8W2;0,0082;1,6926;1,0864;-0,0554;0,0168;0,0016;-0,9983;;False
600,53;0.01;P028​;20250324_123140;1;F8W2;0,0081;1,6926;1,0865;-0,0559;0,0169;0,0014;-0,9983;;False
600,58;0.07;P028​;20250324_123140;1;F8W2;0,0081;1,6925;1,0868;-0,0561;0,0167;0,0017;-0,9983;;False
600,60;0.08;P028​;20250324_123140;1;F8W2;0,0081;1,6926;1,0869;-0,0563;0,0167;0,0017;-0,9983;;False
600,61;0.1;P028​;20250324_123140;1;F8W2;0,0081;1,6925;1,0869;-0,0563;0,0168;0,0016;-0,9983;;False
600,62;0.11;P028​;20250324_123140;1;F8W2;0,0081;1,6925;1,0870;-0,0564;0,0167;0,0015;-0,9983;;False
600,64;0.13;P028​;20250324_123140;1;F8W2;0,0082;1,6925;1,0870;-0,0564;0,0166;0,0015;-0,9983;;False
600,65;0.14;P028​;20250324_123140;1;F8W2;0,0082;1,6925;1,0870;-0,0563;0,0165;0,0016;-0,9983;;False
600,68;0.17;P028​;20250324_123140;1;F8W2;0,0083;1,6925;1,0871;-0,0562;0,0163;0,0017;-0,9983;;False
600,71;0.19;P028​;20250324_123140;1;F8W2;0,0083;1,6924;1,0871;-0,0564;0,0160;0,0018;-0,9983;;False
600,72;0.21;P028​;20250324_123140;1;F8W2;0,0083;1,6924;1,0872;-0,0564;0,0159;0,0018;-0,9983;;False
600,74;0.22;P028​;20250324_123140;1;F8W2;0,0083;1,6924;1,0872;-0,0564;0,0159;0,0017;-0,9983;;False
600,75;0.24;P028​;20250324_123140;1;F8W2;0,0084;1,6925;1,0872;-0,0563;0,0157;0,0017;-0,9983;;False
600,76;0.25;P028​;20250324_123140;1;F8W2;0,0084;1,6925;1,0871;-0,0562;0,0156;0,0020;-0,9983;;False
600,78;0.26;P028​;20250324_123140;1;F8W2;0,0084;1,6925;1,0871;-0,0560;0,0153;0,0020;-0,9983;;False
600,79;0.28;P028​;20250324_123140;1;F8W2;0,0085;1,6925;1,0871;-0,0559;0,0151;0,0020;-0,9983;;False
600,81;0.29;P028​;20250324_123140;1;F8W2;0,0085;1,6926;1,0870;-0,0557;0,0150;0,0020;-0,9983;;False
600,82;0.31;P028​;20250324_123140;1;F8W2;0,0086;1,6926;1,0871;-0,0555;0,0148;0,0019;-0,9983;;False
600,83;0.32;P028​;20250324_123140;1;F8W2;0,0086;1,6926;1,0872;-0,0554;0,0146;0,0018;-0,9984;;False
600,85;0.33;P028​;20250324_123140;1;F8W2;0,0086;1,6927;1,0874;-0,0553;0,0145;0,0017;-0,9984;;False
600,86;0.35;P028​;20250324_123140;1;F8W2;0,0086;1,6927;1,0874;-0,0552;0,0143;0,0018;-0,9984;;False
600,87;0.36;P028​;20250324_123140;1;F8W2;0,0087;1,6926;1,0874;-0,0553;0,0142;0,0018;-0,9984;;False
600,89;0.38;P028​;20250324_123140;1;F8W2;0,0087;1,6925;1,0875;-0,0553;0,0141;0,0019;-0,9984;;False
600,92;0.4;P028​;20250324_123140;1;F8W2;0,0087;1,6924;1,0878;-0,0558;0,0140;0,0017;-0,9983;;False
600,93;0.42;P028​;20250324_123140;1;F8W2;0,0087;1,6924;1,0880;-0,0556;0,0139;0,0019;-0,9984;;False
600,94;0.43;P028​;20250324_123140;1;F8W2;0,0087;1,6923;1,0881;-0,0557;0,0138;0,0019;-0,9984;;False
600,96;0.45;P028​;20250324_123140;1;F8W2;0,0087;1,6923;1,0883;-0,0559;0,0138;0,0019;-0,9983;;False
600,97;0.46;P028​;20250324_123140;1;F8W2;0,0088;1,6922;1,0885;-0,0561;0,0136;0,0021;-0,9983;;False
600,99;0.47;P028​;20250324_123140;1;F8W2;0,0088;1,6923;1,0887;-0,0564;0,0134;0,0021;-0,9983;;False
601,00;0.49;P028​;20250324_123140;1;F8W2;0,0089;1,6923;1,0890;-0,0566;0,0132;0,0021;-0,9983;;False
601,01;0.5;P028​;20250324_123140;1;F8W2;0,0089;1,6923;1,0893;-0,0565;0,0130;0,0021;-0,9983;;False
601,03;0.51;P028​;20250324_123140;1;F8W2;0,0089;1,6923;1,0896;-0,0562;0,0128;0,0023;-0,9983;;False
601,04;0.53;P028​;20250324_123140;1;F8W2;0,0089;1,6922;1,0901;-0,0560;0,0128;0,0023;-0,9983;;False
601,07;0.56;P028​;20250324_123140;1;F8W2;0,0087;1,6920;1,0910;-0,0558;0,0126;0,0023;-0,9984;;False
601,08;0.57;P028​;20250324_123140;1;F8W2;0,0086;1,6919;1,0915;-0,0559;0,0125;0,0023;-0,9984;;False
601,10;0.58;P028​;20250324_123140;1;F8W2;0,0085;1,6918;1,0921;-0,0561;0,0123;0,0023;-0,9983;;False
601,11;0.6;P028​;20250324_123140;1;F8W2;0,0084;1,6917;1,0928;-0,0562;0,0122;0,0024;-0,9983;;False
601,13;0.61;P028​;20250324_123140;1;F8W2;0,0083;1,6917;1,0937;-0,0563;0,0119;0,0025;-0,9983;;False
