Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
862,45;0.0;P028​;20250324_123140;1;Marche;-0,0325;1,6380;0,3129;-0,0947;-0,0005;0,0105;-0,9954;Collision avec Debut - Objet Parent SceneAnchor;False
862,47;0.01;P028​;20250324_123140;1;Marche;-0,0329;1,6344;0,3290;-0,0966;-0,0002;0,0100;-0,9953;Collision avec Debut - Objet Parent SceneAnchor;False
862,48;0.03;P028​;20250324_123140;1;Marche;-0,0333;1,6306;0,3458;-0,0983;-0,0002;0,0094;-0,9951;Collision avec Debut - Objet Parent SceneAnchor;False
862,50;0.04;P028​;20250324_123140;1;Marche;-0,0335;1,6262;0,3632;-0,0986;0,0000;0,0097;-0,9951;Collision avec Debut - Objet Parent SceneAnchor;False
862,51;0.06;P028​;20250324_123140;1;Marche;-0,0337;1,6213;0,3811;-0,0989;0,0003;0,0098;-0,9951;Collision avec Debut - Objet Parent SceneAnchor;False
862,52;0.07;P028​;20250324_123140;1;Marche;-0,0337;1,6158;0,3995;-0,0993;0,0005;0,0104;-0,9950;Collision avec Debut - Objet Parent SceneAnchor;False
862,54;0.08;P028​;20250324_123140;1;Marche;-0,0336;1,6098;0,4183;-0,1005;0,0006;0,0109;-0,9949;Collision avec Debut - Objet Parent SceneAnchor;False
862,55;0.1;P028​;20250324_123140;1;Marche;-0,0334;1,6034;0,4376;-0,1015;0,0005;0,0114;-0,9948;;False
862,56;0.11;P028​;20250324_123140;1;Marche;-0,0332;1,5962;0,4572;-0,1024;0,0001;0,0123;-0,9947;;False
862,58;0.13;P028​;20250324_123140;1;Marche;-0,0328;1,5884;0,4770;-0,1034;-0,0005;0,0129;-0,9946;;False
862,59;0.14;P028​;20250324_123140;1;Marche;-0,0322;1,5804;0,4973;-0,1043;-0,0009;0,0134;-0,9945;;False
862,61;0.15;P028​;20250324_123140;1;Marche;-0,0315;1,5722;0,5180;-0,1050;-0,0013;0,0137;-0,9944;;False
862,62;0.17;P028​;20250324_123140;1;Marche;-0,0307;1,5638;0,5390;-0,1056;-0,0013;0,0140;-0,9943;;False
862,64;0.18;P028​;20250324_123140;1;Marche;-0,0296;1,5556;0,5604;-0,1059;-0,0011;0,0148;-0,9943;;False
862,65;0.19;P028​;20250324_123140;1;Marche;-0,0283;1,5477;0,5821;-0,1060;-0,0005;0,0154;-0,9942;;False
862,66;0.21;P028​;20250324_123140;1;Marche;-0,0265;1,5404;0,6039;-0,1065;0,0012;0,0156;-0,9942;;False
862,68;0.22;P028​;20250324_123140;1;Marche;-0,0245;1,5339;0,6259;-0,1106;0,0029;0,0159;-0,9937;;False
862,69;0.24;P028​;20250324_123140;1;Marche;-0,0220;1,5292;0,6480;-0,1182;0,0045;0,0165;-0,9928;;False
862,70;0.25;P028​;20250324_123140;1;Marche;-0,0194;1,5245;0,6698;-0,1225;0,0054;0,0177;-0,9923;;False
862,72;0.26;P028​;20250324_123140;1;Marche;-0,0166;1,5216;0,6911;-0,1289;0,0059;0,0188;-0,9915;;False
862,73;0.28;P028​;20250324_123140;1;Marche;-0,0136;1,5221;0,7132;-0,1354;0,0071;0,0177;-0,9906;;False
862,75;0.29;P028​;20250324_123140;1;Marche;-0,0106;1,5252;0,7361;-0,1401;0,0086;0,0155;-0,9900;;False
862,76;0.31;P028​;20250324_123140;1;Marche;-0,0076;1,5307;0,7597;-0,1432;0,0107;0,0137;-0,9895;;False
862,77;0.32;P028​;20250324_123140;1;Marche;-0,0050;1,5377;0,7842;-0,1434;0,0119;0,0116;-0,9895;;False
862,79;0.33;P028​;20250324_123140;1;Marche;-0,0024;1,5453;0,8087;-0,1431;0,0116;0,0109;-0,9896;;False
862,80;0.35;P028​;20250324_123140;1;Marche;-0,0001;1,5546;0,8333;-0,1466;0,0104;0,0098;-0,9891;;False
862,81;0.36;P028​;20250324_123140;1;Marche;0,0020;1,5656;0,8581;-0,1444;0,0099;0,0062;-0,9894;;False
862,83;0.37;P028​;20250324_123140;1;Marche;0,0039;1,5773;0,8828;-0,1373;0,0103;0,0026;-0,9905;;False
862,84;0.39;P028​;20250324_123140;1;Marche;0,0056;1,5886;0,9071;-0,1284;0,0107;0,0008;-0,9917;;False
862,86;0.4;P028​;20250324_123140;1;Marche;0,0069;1,5989;0,9310;-0,1184;0,0117;0,0000;-0,9929;;False
862,87;0.42;P028​;20250324_123140;1;Marche;0,0077;1,6091;0,9551;-0,1127;0,0128;-0,0004;-0,9935;;False
862,88;0.43;P028​;20250324_123140;1;Marche;0,0082;1,6191;0,9798;-0,1132;0,0143;0,0005;-0,9935;;False
862,90;0.44;P028​;20250324_123140;1;Marche;0,0082;1,6286;1,0050;-0,1134;0,0160;0,0024;-0,9934;;False
862,91;0.46;P028​;20250324_123140;1;Marche;0,0083;1,6372;1,0306;-0,1112;0,0181;0,0057;-0,9936;;False
862,93;0.47;P028​;20250324_123140;1;Marche;0,0083;1,6442;1,0560;-0,1064;0,0195;0,0089;-0,9941;;False
862,94;0.49;P028​;20250324_123140;1;Marche;0,0082;1,6498;1,0815;-0,1026;0,0209;0,0112;-0,9944;;False
862,95;0.5;P028​;20250324_123140;1;Marche;0,0082;1,6535;1,1072;-0,0992;0,0223;0,0128;-0,9947;;False
862,97;0.51;P028​;20250324_123140;1;Marche;0,0083;1,6554;1,1329;-0,0963;0,0233;0,0139;-0,9950;;False
862,98;0.53;P028​;20250324_123140;1;Marche;0,0084;1,6558;1,1586;-0,0939;0,0244;0,0146;-0,9952;;False
863,00;0.54;P028​;20250324_123140;1;Marche;0,0084;1,6542;1,1842;-0,0913;0,0250;0,0146;-0,9954;;False
863,01;0.56;P028​;20250324_123140;1;Marche;0,0089;1,6508;1,2099;-0,0891;0,0263;0,0140;-0,9956;;False
863,02;0.57;P028​;20250324_123140;1;Marche;0,0094;1,6460;1,2355;-0,0862;0,0271;0,0120;-0,9958;;False
863,04;0.58;P028​;20250324_123140;1;Marche;0,0100;1,6400;1,2614;-0,0829;0,0291;0,0092;-0,9961;;False
863,05;0.6;P028​;20250324_123140;1;Marche;0,0108;1,6332;1,2875;-0,0795;0,0319;0,0076;-0,9963;;False
863,07;0.61;P028​;20250324_123140;1;Marche;0,0114;1,6259;1,3136;-0,0773;0,0342;0,0065;-0,9964;;False
863,08;0.63;P028​;20250324_123140;1;Marche;0,0121;1,6181;1,3401;-0,0762;0,0363;0,0058;-0,9964;;False
863,09;0.64;P028​;20250324_123140;1;Marche;0,0128;1,6104;1,3672;-0,0742;0,0372;0,0058;-0,9965;;False
863,11;0.65;P028​;20250324_123140;1;Marche;0,0133;1,6037;1,3949;-0,0721;0,0367;0,0068;-0,9967;;False
863,12;0.67;P028​;20250324_123140;1;Marche;0,0135;1,5976;1,4231;-0,0689;0,0341;0,0087;-0,9970;;False
863,14;0.68;P028​;20250324_123140;1;Marche;0,0135;1,5919;1,4512;-0,0666;0,0308;0,0095;-0,9973;;False
863,15;0.69;P028​;20250324_123140;1;Marche;0,0132;1,5860;1,4791;-0,0672;0,0283;0,0079;-0,9973;;False
863,16;0.71;P028​;20250324_123140;1;Marche;0,0122;1,5820;1,5075;-0,0738;0,0269;0,0053;-0,9969;;False
