Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1108,40;0.0;p001​;20250211_142433;1;FO2;-0,0109;1,7283;0,0091;0,0697;0,0194;0,0003;-0,9974;;False
1108,43;0.03;p001​;20250211_142433;1;FO2;-0,0109;1,7285;0,0091;0,0701;0,0193;0,0013;-0,9974;;False
1108,49;0.08;p001​;20250211_142433;1;FO2;-0,0109;1,7286;0,0089;0,0707;0,0188;0,0014;-0,9973;;False
1108,52;0.11;p001​;20250211_142433;1;FO2;-0,0109;1,7285;0,0087;0,0707;0,0184;0,0015;-0,9973;;False
1108,54;0.14;p001​;20250211_142433;1;FO2;-0,0109;1,7285;0,0086;0,0708;0,0183;0,0014;-0,9973;;False
1108,57;0.17;p001​;20250211_142433;1;FO2;-0,0108;1,7285;0,0086;0,0708;0,0184;0,0014;-0,9973;;False
1108,60;0.2;p001​;20250211_142433;1;FO2;-0,0109;1,7285;0,0085;0,0707;0,0188;0,0016;-0,9973;;False
1108,63;0.22;p001​;20250211_142433;1;FO2;-0,0109;1,7284;0,0084;0,0705;0,0191;0,0015;-0,9973;;False
1108,65;0.25;p001​;20250211_142433;1;FO2;-0,0109;1,7284;0,0084;0,0705;0,0191;0,0019;-0,9973;;False
1108,68;0.28;p001​;20250211_142433;1;FO2;-0,0108;1,7284;0,0085;0,0706;0,0189;0,0020;-0,9973;;False
1108,71;0.31;p001​;20250211_142433;1;FO2;-0,0108;1,7284;0,0087;0,0706;0,0188;0,0019;-0,9973;;False
1108,74;0.33;p001​;20250211_142433;1;FO2;-0,0108;1,7283;0,0089;0,0703;0,0184;0,0017;-0,9974;;False
1108,77;0.36;p001​;20250211_142433;1;FO2;-0,0109;1,7281;0,0094;0,0697;0,0184;0,0012;-0,9974;;False
1108,79;0.39;p001​;20250211_142433;1;FO2;-0,0112;1,7276;0,0103;0,0682;0,0183;0,0010;-0,9975;;False
1108,82;0.42;p001​;20250211_142433;1;FO2;-0,0115;1,7273;0,0114;0,0658;0,0185;0,0006;-0,9977;;False
1108,85;0.45;p001​;20250211_142433;1;FO2;-0,0119;1,7269;0,0129;0,0632;0,0186;0,0000;-0,9978;;False
1108,88;0.47;p001​;20250211_142433;1;FO2;-0,0124;1,7262;0,0150;0,0595;0,0188;-0,0007;-0,9980;;False
1108,90;0.5;p001​;20250211_142433;1;FO2;-0,0133;1,7253;0,0177;0,0545;0,0192;-0,0016;-0,9983;;False
1108,93;0.53;p001​;20250211_142433;1;FO2;-0,0143;1,7236;0,0214;0,0469;0,0197;-0,0028;-0,9987;;False
1108,96;0.56;p001​;20250211_142433;1;FO2;-0,0156;1,7211;0,0260;0,0336;0,0203;-0,0039;-0,9992;;False
