Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
754,44;0.0;p011​;20250314_092321;1;Marche2;-0,0073;1,7404;0,1630;-0,0392;-0,0163;0,0073;0,9991;;False
754,48;0.04;p011​;20250314_092321;1;Marche2;-0,0072;1,7403;0,1639;-0,0397;-0,0159;0,0075;0,9991;;False
754,50;0.06;p011​;20250314_092321;1;Marche2;-0,0071;1,7404;0,1642;-0,0395;-0,0158;0,0072;0,9991;;False
754,51;0.07;p011​;20250314_092321;1;Marche2;-0,0071;1,7404;0,1644;-0,0397;-0,0159;0,0071;0,9991;;False
754,52;0.08;p011​;20250314_092321;1;Marche2;-0,0071;1,7405;0,1646;-0,0398;-0,0158;0,0070;0,9991;;False
754,54;0.1;p011​;20250314_092321;1;Marche2;-0,0071;1,7404;0,1650;-0,0399;-0,0160;0,0069;0,9991;;False
754,55;0.11;p011​;20250314_092321;1;Marche2;-0,0072;1,7404;0,1652;-0,0398;-0,0160;0,0069;0,9991;;False
754,56;0.12;p011​;20250314_092321;1;Marche2;-0,0072;1,7405;0,1656;-0,0398;-0,0161;0,0069;0,9991;;False
754,58;0.14;p011​;20250314_092321;1;Marche2;-0,0072;1,7405;0,1659;-0,0399;-0,0162;0,0069;0,9990;;False
754,59;0.15;p011​;20250314_092321;1;Marche2;-0,0072;1,7405;0,1662;-0,0400;-0,0162;0,0069;0,9990;;False
754,61;0.17;p011​;20250314_092321;1;Marche2;-0,0073;1,7403;0,1665;-0,0402;-0,0163;0,0069;0,9990;;False
754,62;0.18;p011​;20250314_092321;1;Marche2;-0,0072;1,7401;0,1668;-0,0402;-0,0163;0,0068;0,9990;;False
754,63;0.2;p011​;20250314_092321;1;Marche2;-0,0072;1,7397;0,1671;-0,0402;-0,0165;0,0068;0,9990;;False
