Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
435,81;0.0;p011​;20250314_092321;1;TUG1;0,1362;1,3585;0,5714;-0,1276;-0,0094;-0,0211;-0,9916;;False
435,82;0.01;p011​;20250314_092321;1;TUG1;0,1414;1,3799;0,5933;-0,1222;-0,0057;-0,0281;-0,9921;;False
435,83;0.03;p011​;20250314_092321;1;TUG1;0,1468;1,3986;0,6149;-0,1152;-0,0023;-0,0327;-0,9928;;False
435,85;0.04;p011​;20250314_092321;1;TUG1;0,1521;1,4155;0,6362;-0,1126;-0,0013;-0,0335;-0,9931;;False
435,86;0.06;p011​;20250314_092321;1;TUG1;0,1574;1,4294;0,6566;-0,1094;-0,0021;-0,0325;-0,9935;;False
435,87;0.07;p011​;20250314_092321;1;TUG1;0,1624;1,4416;0,6769;-0,1092;-0,0041;-0,0320;-0,9935;;False
435,89;0.08;p011​;20250314_092321;1;TUG1;0,1666;1,4521;0,6975;-0,1120;-0,0100;-0,0250;-0,9933;;False
435,90;0.1;p011​;20250314_092321;1;TUG1;0,1704;1,4600;0,7181;-0,1061;-0,0163;-0,0152;-0,9941;;False
435,92;0.11;p011​;20250314_092321;1;TUG1;0,1742;1,4654;0,7379;-0,0996;-0,0184;-0,0138;-0,9948;;False
435,93;0.12;p011​;20250314_092321;1;TUG1;0,1787;1,4681;0,7578;-0,0905;-0,0122;-0,0245;-0,9955;;False
435,94;0.14;p011​;20250314_092321;1;TUG1;0,1827;1,4709;0,7788;-0,0852;-0,0025;-0,0421;-0,9955;;False
435,96;0.15;p011​;20250314_092321;1;TUG1;0,1851;1,4763;0,8014;-0,0853;-0,0014;-0,0426;-0,9954;;False
435,97;0.17;p011​;20250314_092321;1;TUG1;0,1854;1,4867;0,8258;-0,0898;-0,0068;-0,0285;-0,9955;;False
435,99;0.18;p011​;20250314_092321;1;TUG1;0,1867;1,4950;0,8491;-0,0967;-0,0067;-0,0232;-0,9950;;False
436,00;0.19;p011​;20250314_092321;1;TUG1;0,1864;1,5010;0,8713;-0,1137;-0,0041;-0,0382;-0,9928;;False
436,01;0.21;p011​;20250314_092321;1;TUG1;0,1849;1,5121;0,8963;-0,1374;0,0047;-0,0435;-0,9896;;False
436,03;0.22;p011​;20250314_092321;1;TUG1;0,1839;1,5280;0,9252;-0,1504;0,0125;-0,0431;-0,9876;;False
436,04;0.24;p011​;20250314_092321;1;TUG1;0,1827;1,5457;0,9552;-0,1507;0,0126;-0,0492;-0,9873;;False
436,06;0.25;p011​;20250314_092321;1;TUG1;0,1811;1,5629;0,9860;-0,1473;0,0101;-0,0557;-0,9875;;False
436,07;0.26;p011​;20250314_092321;1;TUG1;0,1793;1,5787;1,0171;-0,1421;0,0107;-0,0584;-0,9881;;False
436,08;0.28;p011​;20250314_092321;1;TUG1;0,1780;1,5907;1,0478;-0,1321;0,0128;-0,0622;-0,9892;;False
436,10;0.29;p011​;20250314_092321;1;TUG1;0,1777;1,5982;1,0774;-0,1170;0,0172;-0,0660;-0,9908;;False
436,11;0.31;p011​;20250314_092321;1;TUG1;0,1771;1,6070;1,1063;-0,1197;0,0227;-0,0710;-0,9900;;False
436,13;0.32;p011​;20250314_092321;1;TUG1;0,1771;1,6132;1,1353;-0,1259;0,0314;-0,0798;-0,9883;;False
436,14;0.33;p011​;20250314_092321;1;TUG1;0,1769;1,6199;1,1652;-0,1334;0,0402;-0,0867;-0,9864;;False
436,15;0.35;p011​;20250314_092321;1;TUG1;0,1770;1,6262;1,1966;-0,1333;0,0485;-0,0895;-0,9858;;False
436,17;0.36;p011​;20250314_092321;1;TUG1;0,1778;1,6302;1,2267;-0,1220;0,0539;-0,0899;-0,9870;;False
436,18;0.38;p011​;20250314_092321;1;TUG1;0,1786;1,6367;1,2564;-0,1308;0,0574;-0,0922;-0,9854;;False
436,19;0.39;p011​;20250314_092321;1;TUG1;0,1786;1,6451;1,2878;-0,1427;0,0629;-0,1008;-0,9826;;False
436,21;0.4;p011​;20250314_092321;1;TUG1;0,1784;1,6531;1,3226;-0,1384;0,0731;-0,1153;-0,9809;;False
436,22;0.42;p011​;20250314_092321;1;TUG1;0,1777;1,6594;1,3572;-0,1196;0,0813;-0,1226;-0,9819;;False
436,24;0.43;p011​;20250314_092321;1;TUG1;0,1769;1,6649;1,3915;-0,1029;0,0849;-0,1185;-0,9840;;False
436,25;0.45;p011​;20250314_092321;1;TUG1;0,1761;1,6681;1,4250;-0,0890;0,0853;-0,1131;-0,9859;;False
436,26;0.46;p011​;20250314_092321;1;TUG1;0,1755;1,6690;1,4573;-0,0814;0,0867;-0,1120;-0,9866;;False
436,28;0.47;p011​;20250314_092321;1;TUG1;0,1750;1,6679;1,4883;-0,0817;0,0928;-0,1196;-0,9851;;False
436,29;0.49;p011​;20250314_092321;1;TUG1;0,1742;1,6655;1,5189;-0,0919;0,1028;-0,1321;-0,9816;;False
436,30;0.5;p011​;20250314_092321;1;TUG1;0,1730;1,6613;1,5491;-0,1026;0,1128;-0,1412;-0,9782;;False
436,32;0.51;p011​;20250314_092321;1;TUG1;0,1720;1,6567;1,5789;-0,1160;0,1210;-0,1446;-0,9752;;False
436,33;0.53;p011​;20250314_092321;1;TUG1;0,1713;1,6513;1,6087;-0,1250;0,1291;-0,1502;-0,9722;;False
436,35;0.54;p011​;20250314_092321;1;TUG1;0,1700;1,6452;1,6389;-0,1310;0,1384;-0,1593;-0,9687;;False
