Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1516,26;0.0;p012 ​;20250314_104145;1;Marche2;0,0236;1,6699;0,0822;0,0381;0,0033;-0,0285;0,9989;;False
1516,30;0.04;p012 ​;20250314_104145;1;Marche2;0,0235;1,6699;0,0822;0,0381;0,0028;-0,0281;0,9989;;False
1516,32;0.06;p012 ​;20250314_104145;1;Marche2;0,0235;1,6699;0,0821;0,0382;0,0025;-0,0279;0,9989;;False
1516,33;0.07;p012 ​;20250314_104145;1;Marche2;0,0235;1,6699;0,0821;0,0380;0,0026;-0,0278;0,9989;;False
1516,34;0.08;p012 ​;20250314_104145;1;Marche2;0,0234;1,6700;0,0820;0,0378;0,0025;-0,0281;0,9989;;False
1516,36;0.1;p012 ​;20250314_104145;1;Marche2;0,0234;1,6700;0,0820;0,0377;0,0025;-0,0281;0,9989;;False
1516,37;0.11;p012 ​;20250314_104145;1;Marche2;0,0234;1,6701;0,0820;0,0375;0,0026;-0,0280;0,9989;;False
1516,39;0.13;p012 ​;20250314_104145;1;Marche2;0,0234;1,6700;0,0820;0,0374;0,0026;-0,0279;0,9989;;False
1516,40;0.14;p012 ​;20250314_104145;1;Marche2;0,0234;1,6700;0,0819;0,0373;0,0026;-0,0279;0,9989;;False
1516,41;0.15;p012 ​;20250314_104145;1;Marche2;0,0234;1,6700;0,0819;0,0373;0,0026;-0,0279;0,9989;;False
1516,43;0.17;p012 ​;20250314_104145;1;Marche2;0,0233;1,6700;0,0819;0,0373;0,0026;-0,0279;0,9989;;False
1516,44;0.18;p012 ​;20250314_104145;1;Marche2;0,0233;1,6700;0,0819;0,0372;0,0026;-0,0279;0,9989;;False
1516,45;0.19;p012 ​;20250314_104145;1;Marche2;0,0232;1,6700;0,0818;0,0373;0,0026;-0,0279;0,9989;;False
1516,47;0.21;p012 ​;20250314_104145;1;Marche2;0,0231;1,6699;0,0817;0,0373;0,0025;-0,0278;0,9989;;False
1516,48;0.22;p012 ​;20250314_104145;1;Marche2;0,0231;1,6699;0,0817;0,0372;0,0025;-0,0278;0,9989;;False
1516,50;0.24;p012 ​;20250314_104145;1;Marche2;0,0230;1,6699;0,0817;0,0372;0,0023;-0,0277;0,9989;;False
1516,51;0.25;p012 ​;20250314_104145;1;Marche2;0,0229;1,6700;0,0817;0,0370;0,0023;-0,0276;0,9989;;False
1516,52;0.26;p012 ​;20250314_104145;1;Marche2;0,0228;1,6700;0,0817;0,0368;0,0023;-0,0275;0,9989;;False
1516,54;0.28;p012 ​;20250314_104145;1;Marche2;0,0228;1,6699;0,0816;0,0368;0,0023;-0,0275;0,9989;;False
1516,55;0.29;p012 ​;20250314_104145;1;Marche2;0,0227;1,6698;0,0816;0,0366;0,0023;-0,0273;0,9990;;False
