Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
795,35;0.0;p014 ​;20250314_123138;1;F8W1;-0,1335;1,3672;1,5501;-0,3533;-0,0189;0,0705;-0,9326;Collision avec Debut - Objet Parent SceneAnchor;False
795,37;0.01;p014 ​;20250314_123138;1;F8W1;-0,1359;1,3667;1,5635;-0,3534;-0,0221;0,0724;-0,9324;Collision avec Debut - Objet Parent SceneAnchor;False
795,38;0.03;p014 ​;20250314_123138;1;F8W1;-0,1381;1,3665;1,5772;-0,3542;-0,0242;0,0738;-0,9319;Collision avec Debut - Objet Parent SceneAnchor;False
795,40;0.04;p014 ​;20250314_123138;1;F8W1;-0,1403;1,3666;1,5911;-0,3535;-0,0260;0,0744;-0,9321;Collision avec Debut - Objet Parent SceneAnchor;False
795,41;0.05;p014 ​;20250314_123138;1;F8W1;-0,1423;1,3673;1,6055;-0,3527;-0,0269;0,0742;-0,9324;;False
795,42;0.07;p014 ​;20250314_123138;1;F8W1;-0,1442;1,3686;1,6202;-0,3510;-0,0275;0,0741;-0,9330;;False
795,44;0.08;p014 ​;20250314_123138;1;F8W1;-0,1461;1,3710;1,6356;-0,3498;-0,0283;0,0742;-0,9334;;False
795,45;0.1;p014 ​;20250314_123138;1;F8W1;-0,1477;1,3744;1,6516;-0,3494;-0,0295;0,0755;-0,9334;;False
795,46;0.11;p014 ​;20250314_123138;1;F8W1;-0,1492;1,3775;1,6674;-0,3462;-0,0311;0,0761;-0,9346;;False
795,48;0.13;p014 ​;20250314_123138;1;F8W1;-0,1509;1,3809;1,6828;-0,3440;-0,0321;0,0754;-0,9354;;False
795,49;0.14;p014 ​;20250314_123138;1;F8W1;-0,1527;1,3844;1,6986;-0,3416;-0,0331;0,0755;-0,9362;;False
795,51;0.15;p014 ​;20250314_123138;1;F8W1;-0,1545;1,3877;1,7145;-0,3384;-0,0341;0,0763;-0,9373;;False
795,52;0.17;p014 ​;20250314_123138;1;F8W1;-0,1565;1,3912;1,7306;-0,3352;-0,0364;0,0785;-0,9382;;False
795,53;0.18;p014 ​;20250314_123138;1;F8W1;-0,1586;1,3944;1,7470;-0,3319;-0,0397;0,0813;-0,9390;;False
795,55;0.19;p014 ​;20250314_123138;1;F8W1;-0,1607;1,3976;1,7632;-0,3295;-0,0431;0,0844;-0,9394;;False
795,56;0.21;p014 ​;20250314_123138;1;F8W1;-0,1629;1,4005;1,7794;-0,3286;-0,0465;0,0869;-0,9393;;False
795,58;0.22;p014 ​;20250314_123138;1;F8W1;-0,1654;1,4032;1,7956;-0,3289;-0,0496;0,0891;-0,9389;;False
795,59;0.24;p014 ​;20250314_123138;1;F8W1;-0,1680;1,4060;1,8119;-0,3307;-0,0531;0,0916;-0,9378;;False
795,60;0.25;p014 ​;20250314_123138;1;F8W1;-0,1706;1,4087;1,8285;-0,3324;-0,0569;0,0943;-0,9367;;False
795,63;0.28;p014 ​;20250314_123138;1;F8W1;-0,1759;1,4126;1,8618;-0,3326;-0,0631;0,0967;-0,9360;;False
795,64;0.29;p014 ​;20250314_123138;1;F8W1;-0,1787;1,4139;1,8785;-0,3314;-0,0657;0,0968;-0,9362;;False
795,66;0.31;p014 ​;20250314_123138;1;F8W1;-0,1814;1,4147;1,8954;-0,3289;-0,0674;0,0967;-0,9370;;False
795,69;0.33;p014 ​;20250314_123138;1;F8W1;-0,1872;1,4150;1,9296;-0,3208;-0,0717;0,0973;-0,9394;;False
795,70;0.35;p014 ​;20250314_123138;1;F8W1;-0,1902;1,4142;1,9470;-0,3149;-0,0749;0,0973;-0,9412;;False
795,71;0.36;p014 ​;20250314_123138;1;F8W1;-0,1929;1,4127;1,9644;-0,3087;-0,0776;0,0975;-0,9430;;False
795,73;0.37;p014 ​;20250314_123138;1;F8W1;-0,1956;1,4108;1,9818;-0,3034;-0,0804;0,0976;-0,9444;;False
795,74;0.39;p014 ​;20250314_123138;1;F8W1;-0,1983;1,4081;1,9991;-0,2982;-0,0834;0,0977;-0,9458;;False
795,77;0.42;p014 ​;20250314_123138;1;F8W1;-0,2037;1,4008;2,0327;-0,2886;-0,0885;0,0982;-0,9483;;False
795,78;0.43;p014 ​;20250314_123138;1;F8W1;-0,2064;1,3968;2,0491;-0,2864;-0,0910;0,0992;-0,9486;;False
795,80;0.44;p014 ​;20250314_123138;1;F8W1;-0,2090;1,3931;2,0651;-0,2887;-0,0939;0,1020;-0,9473;;False
795,81;0.46;p014 ​;20250314_123138;1;F8W1;-0,2114;1,3894;2,0809;-0,2913;-0,0982;0,1061;-0,9457;;False
795,83;0.47;p014 ​;20250314_123138;1;F8W1;-0,2132;1,3858;2,0967;-0,2943;-0,1029;0,1110;-0,9437;;False
795,84;0.49;p014 ​;20250314_123138;1;F8W1;-0,2150;1,3825;2,1125;-0,2969;-0,1083;0,1150;-0,9418;;False
795,85;0.5;p014 ​;20250314_123138;1;F8W1;-0,2166;1,3792;2,1283;-0,2972;-0,1132;0,1192;-0,9406;;False
795,87;0.51;p014 ​;20250314_123138;1;F8W1;-0,2179;1,3765;2,1445;-0,2949;-0,1188;0,1245;-0,9399;;False
795,88;0.53;p014 ​;20250314_123138;1;F8W1;-0,2184;1,3766;2,1615;-0,2964;-0,1262;0,1336;-0,9372;;False
795,90;0.54;p014 ​;20250314_123138;1;F8W1;-0,2179;1,3784;2,1794;-0,2962;-0,1373;0,1479;-0,9336;;False
795,91;0.56;p014 ​;20250314_123138;1;F8W1;-0,2168;1,3790;2,1969;-0,2927;-0,1499;0,1564;-0,9313;;False
795,94;0.58;p014 ​;20250314_123138;1;F8W1;-0,2144;1,3828;2,2306;-0,2888;-0,1703;0,1646;-0,9276;;False
795,96;0.61;p014 ​;20250314_123138;1;F8W1;-0,2101;1,3862;2,2629;-0,2813;-0,1849;0,1650;-0,9271;;False
795,98;0.62;p014 ​;20250314_123138;1;F8W1;-0,2074;1,3888;2,2786;-0,2804;-0,1939;0,1685;-0,9249;;False
795,99;0.64;p014 ​;20250314_123138;1;F8W1;-0,2037;1,3913;2,2940;-0,2796;-0,2059;0,1766;-0,9210;;False
796,01;0.65;p014 ​;20250314_123138;1;F8W1;-0,2000;1,3938;2,3089;-0,2791;-0,2202;0,1841;-0,9164;Collision avec Gauche1 - Objet Parent Plot1;False
796,02;0.67;p014 ​;20250314_123138;1;F8W1;-0,1959;1,3966;2,3232;-0,2814;-0,2344;0,1914;-0,9106;Collision avec Gauche1 - Objet Parent Plot1;False
796,03;0.68;p014 ​;20250314_123138;1;F8W1;-0,1921;1,3989;2,3369;-0,2829;-0,2492;0,1975;-0,9049;Collision avec Gauche1 - Objet Parent Plot1;False
796,05;0.69;p014 ​;20250314_123138;1;F8W1;-0,1879;1,4008;2,3503;-0,2842;-0,2626;0,2019;-0,8997;Collision avec Gauche1 - Objet Parent Plot1;False
