Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
829,40;0.0;p014 ​;20250314_123138;1;F8W1;-0,1336;1,3678;1,5575;-0,3474;-0,0200;0,0808;-0,9340;Collision avec Debut - Objet Parent SceneAnchor;False
829,41;0.01;p014 ​;20250314_123138;1;F8W1;-0,1359;1,3697;1,5715;-0,3423;-0,0212;0,0822;-0,9358;Collision avec Debut - Objet Parent SceneAnchor;False
829,42;0.03;p014 ​;20250314_123138;1;F8W1;-0,1379;1,3723;1,5861;-0,3361;-0,0212;0,0826;-0,9380;Collision avec Debut - Objet Parent SceneAnchor;False
829,44;0.04;p014 ​;20250314_123138;1;F8W1;-0,1402;1,3753;1,6005;-0,3288;-0,0213;0,0822;-0,9406;Collision avec Debut - Objet Parent SceneAnchor;False
829,45;0.06;p014 ​;20250314_123138;1;F8W1;-0,1425;1,3806;1,6160;-0,3274;-0,0225;0,0840;-0,9409;;False
829,47;0.07;p014 ​;20250314_123138;1;F8W1;-0,1444;1,3861;1,6323;-0,3239;-0,0228;0,0870;-0,9418;;False
829,48;0.08;p014 ​;20250314_123138;1;F8W1;-0,1462;1,3904;1,6479;-0,3161;-0,0238;0,0861;-0,9445;;False
829,49;0.1;p014 ​;20250314_123138;1;F8W1;-0,1482;1,3960;1,6629;-0,3132;-0,0251;0,0870;-0,9454;;False
829,51;0.11;p014 ​;20250314_123138;1;F8W1;-0,1505;1,4011;1,6781;-0,3097;-0,0266;0,0874;-0,9464;;False
829,52;0.12;p014 ​;20250314_123138;1;F8W1;-0,1529;1,4063;1,6932;-0,3067;-0,0276;0,0879;-0,9473;;False
829,54;0.14;p014 ​;20250314_123138;1;F8W1;-0,1556;1,4112;1,7083;-0,3012;-0,0288;0,0886;-0,9490;;False
829,55;0.15;p014 ​;20250314_123138;1;F8W1;-0,1584;1,4158;1,7237;-0,2958;-0,0302;0,0901;-0,9505;;False
829,56;0.17;p014 ​;20250314_123138;1;F8W1;-0,1613;1,4206;1,7391;-0,2918;-0,0321;0,0925;-0,9515;;False
829,58;0.18;p014 ​;20250314_123138;1;F8W1;-0,1641;1,4250;1,7548;-0,2875;-0,0338;0,0939;-0,9526;;False
829,59;0.19;p014 ​;20250314_123138;1;F8W1;-0,1670;1,4288;1,7704;-0,2832;-0,0347;0,0944;-0,9538;;False
829,62;0.22;p014 ​;20250314_123138;1;F8W1;-0,1735;1,4356;1,8018;-0,2780;-0,0385;0,0966;-0,9549;;False
829,63;0.24;p014 ​;20250314_123138;1;F8W1;-0,1768;1,4382;1,8179;-0,2752;-0,0405;0,0973;-0,9556;;False
829,65;0.25;p014 ​;20250314_123138;1;F8W1;-0,1803;1,4401;1,8339;-0,2718;-0,0423;0,0967;-0,9566;;False
829,66;0.26;p014 ​;20250314_123138;1;F8W1;-0,1836;1,4411;1,8502;-0,2678;-0,0434;0,0958;-0,9577;;False
829,67;0.28;p014 ​;20250314_123138;1;F8W1;-0,1871;1,4414;1,8665;-0,2635;-0,0448;0,0943;-0,9590;;False
829,69;0.29;p014 ​;20250314_123138;1;F8W1;-0,1907;1,4408;1,8829;-0,2589;-0,0465;0,0931;-0,9603;;False
829,70;0.31;p014 ​;20250314_123138;1;F8W1;-0,1942;1,4394;1,8993;-0,2541;-0,0482;0,0925;-0,9615;;False
829,72;0.32;p014 ​;20250314_123138;1;F8W1;-0,1978;1,4374;1,9159;-0,2495;-0,0505;0,0915;-0,9627;;False
829,73;0.33;p014 ​;20250314_123138;1;F8W1;-0,2013;1,4346;1,9325;-0,2453;-0,0526;0,0910;-0,9637;;False
829,74;0.35;p014 ​;20250314_123138;1;F8W1;-0,2049;1,4315;1,9492;-0,2428;-0,0552;0,0914;-0,9642;;False
829,77;0.38;p014 ​;20250314_123138;1;F8W1;-0,2111;1,4239;1,9828;-0,2383;-0,0604;0,0938;-0,9648;;False
829,78;0.39;p014 ​;20250314_123138;1;F8W1;-0,2139;1,4191;1,9994;-0,2355;-0,0633;0,0951;-0,9651;;False
829,80;0.4;p014 ​;20250314_123138;1;F8W1;-0,2168;1,4147;2,0156;-0,2349;-0,0665;0,0975;-0,9648;;False
829,81;0.42;p014 ​;20250314_123138;1;F8W1;-0,2197;1,4107;2,0321;-0,2372;-0,0706;0,1016;-0,9636;;False
829,83;0.43;p014 ​;20250314_123138;1;F8W1;-0,2223;1,4073;2,0485;-0,2403;-0,0755;0,1066;-0,9619;;False
829,84;0.44;p014 ​;20250314_123138;1;F8W1;-0,2243;1,4039;2,0649;-0,2423;-0,0804;0,1103;-0,9606;;False
829,85;0.46;p014 ​;20250314_123138;1;F8W1;-0,2257;1,4007;2,0811;-0,2435;-0,0844;0,1116;-0,9598;;False
829,87;0.47;p014 ​;20250314_123138;1;F8W1;-0,2271;1,3981;2,0976;-0,2448;-0,0890;0,1141;-0,9587;;False
829,88;0.49;p014 ​;20250314_123138;1;F8W1;-0,2284;1,3962;2,1143;-0,2426;-0,0944;0,1185;-0,9582;;False
829,90;0.5;p014 ​;20250314_123138;1;F8W1;-0,2292;1,3969;2,1315;-0,2453;-0,1021;0,1259;-0,9558;;False
829,91;0.51;p014 ​;20250314_123138;1;F8W1;-0,2291;1,3984;2,1491;-0,2456;-0,1125;0,1380;-0,9529;;False
829,92;0.53;p014 ​;20250314_123138;1;F8W1;-0,2284;1,3988;2,1667;-0,2422;-0,1253;0,1460;-0,9509;;False
829,94;0.54;p014 ​;20250314_123138;1;F8W1;-0,2276;1,4015;2,1842;-0,2440;-0,1382;0,1539;-0,9475;;False
829,95;0.56;p014 ​;20250314_123138;1;F8W1;-0,2263;1,4032;2,2022;-0,2419;-0,1513;0,1600;-0,9450;;False
829,97;0.57;p014 ​;20250314_123138;1;F8W1;-0,2244;1,4042;2,2196;-0,2374;-0,1632;0,1630;-0,9436;;False
829,98;0.58;p014 ​;20250314_123138;1;F8W1;-0,2222;1,4054;2,2368;-0,2341;-0,1744;0,1641;-0,9423;;False
829,99;0.6;p014 ​;20250314_123138;1;F8W1;-0,2198;1,4070;2,2534;-0,2333;-0,1865;0,1679;-0,9395;;False
830,01;0.61;p014 ​;20250314_123138;1;F8W1;-0,2170;1,4090;2,2702;-0,2345;-0,1998;0,1743;-0,9353;;False
830,02;0.62;p014 ​;20250314_123138;1;F8W1;-0,2138;1,4109;2,2865;-0,2366;-0,2149;0,1821;-0,9299;;False
830,04;0.64;p014 ​;20250314_123138;1;F8W1;-0,2101;1,4132;2,3023;-0,2417;-0,2300;0,1888;-0,9236;;False
830,05;0.65;p014 ​;20250314_123138;1;F8W1;-0,2062;1,4151;2,3179;-0,2465;-0,2453;0,1939;-0,9173;Collision avec Gauche1 - Objet Parent Plot1;False
830,06;0.67;p014 ​;20250314_123138;1;F8W1;-0,2020;1,4164;2,3328;-0,2502;-0,2595;0,1962;-0,9119;Collision avec Gauche1 - Objet Parent Plot1;False
830,09;0.7;p014 ​;20250314_123138;1;F8W1;-0,1930;1,4184;2,3627;-0,2524;-0,2861;0,1987;-0,9028;Collision avec Gauche1 - Objet Parent Plot1;False
830,12;0.72;p014 ​;20250314_123138;1;F8W1;-0,1817;1,4193;2,3927;-0,2440;-0,3111;0,2016;-0,8961;Collision avec Gauche1 - Objet Parent Plot1;False
830,13;0.74;p014 ​;20250314_123138;1;F8W1;-0,1755;1,4190;2,4073;-0,2368;-0,3244;0,2031;-0,8930;Collision avec Gauche1 - Objet Parent Plot1;False
830,15;0.75;p014 ​;20250314_123138;1;F8W1;-0,1690;1,4180;2,4215;-0,2297;-0,3382;0,2055;-0,8892;Collision avec Chemin1 - Objet Parent Plot1;False
830,17;0.78;p014 ​;20250314_123138;1;F8W1;-0,1559;1,4142;2,4480;-0,2189;-0,3648;0,2112;-0,8800;Collision avec Droite1 - Objet Parent Plot1;False
830,20;0.8;p014 ​;20250314_123138;1;F8W1;-0,1427;1,4080;2,4726;-0,2115;-0,3915;0,2193;-0,8683;Collision avec Droite1 - Objet Parent Plot1;False
830,22;0.82;p014 ​;20250314_123138;1;F8W1;-0,1361;1,4040;2,4839;-0,2077;-0,4040;0,2219;-0,8628;Collision avec Droite1 - Objet Parent Plot1;False
830,23;0.83;p014 ​;20250314_123138;1;F8W1;-0,1296;1,3997;2,4943;-0,2051;-0,4154;0,2236;-0,8575;Collision avec Droite1 - Objet Parent Plot1;False
830,24;0.85;p014 ​;20250314_123138;1;F8W1;-0,1232;1,3955;2,5044;-0,2040;-0,4265;0,2255;-0,8518;Collision avec Droite1 - Objet Parent Plot1;False
830,26;0.86;p014 ​;20250314_123138;1;F8W1;-0,1165;1,3918;2,5142;-0,2034;-0,4379;0,2294;-0,8452;Collision avec Droite1 - Objet Parent Plot1;False
