Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
519,19;0.0;p018 ​;20250318_132943;1;Marche;-0,0481;1,5021;0,3292;-0,0289;0,0516;0,0008;-0,9983;Collision avec Debut - Objet Parent SceneAnchor;False
519,20;0.01;p018 ​;20250318_132943;1;Marche;-0,0475;1,4972;0,3454;-0,0288;0,0526;0,0001;-0,9982;Collision avec Debut - Objet Parent SceneAnchor;False
519,21;0.03;p018 ​;20250318_132943;1;Marche;-0,0463;1,4925;0,3621;-0,0303;0,0536;-0,0009;-0,9981;Collision avec Debut - Objet Parent SceneAnchor;False
519,23;0.04;p018 ​;20250318_132943;1;Marche;-0,0448;1,4882;0,3792;-0,0320;0,0542;-0,0025;-0,9980;Collision avec Debut - Objet Parent SceneAnchor;False
519,24;0.06;p018 ​;20250318_132943;1;Marche;-0,0430;1,4844;0,3968;-0,0341;0,0549;-0,0040;-0,9979;Collision avec Debut - Objet Parent SceneAnchor;False
519,26;0.07;p018 ​;20250318_132943;1;Marche;-0,0409;1,4813;0,4148;-0,0356;0,0555;-0,0054;-0,9978;Collision avec Debut - Objet Parent SceneAnchor;False
519,27;0.08;p018 ​;20250318_132943;1;Marche;-0,0385;1,4791;0,4333;-0,0366;0,0563;-0,0066;-0,9977;;False
519,28;0.1;p018 ​;20250318_132943;1;Marche;-0,0357;1,4774;0,4522;-0,0373;0,0568;-0,0078;-0,9977;;False
519,30;0.11;p018 ​;20250318_132943;1;Marche;-0,0325;1,4762;0,4715;-0,0381;0,0572;-0,0092;-0,9976;;False
519,31;0.12;p018 ​;20250318_132943;1;Marche;-0,0291;1,4755;0,4911;-0,0393;0,0580;-0,0112;-0,9975;;False
519,33;0.14;p018 ​;20250318_132943;1;Marche;-0,0257;1,4759;0,5111;-0,0409;0,0591;-0,0137;-0,9973;;False
519,34;0.15;p018 ​;20250318_132943;1;Marche;-0,0221;1,4771;0,5316;-0,0415;0,0606;-0,0167;-0,9972;;False
519,35;0.17;p018 ​;20250318_132943;1;Marche;-0,0181;1,4798;0,5527;-0,0407;0,0627;-0,0209;-0,9970;;False
519,37;0.18;p018 ​;20250318_132943;1;Marche;-0,0144;1,4826;0,5744;-0,0335;0,0652;-0,0256;-0,9970;;False
519,38;0.2;p018 ​;20250318_132943;1;Marche;-0,0106;1,4858;0,5959;-0,0270;0,0676;-0,0281;-0,9970;;False
519,39;0.21;p018 ​;20250318_132943;1;Marche;-0,0069;1,4893;0,6173;-0,0228;0,0690;-0,0283;-0,9970;;False
519,41;0.22;p018 ​;20250318_132943;1;Marche;-0,0034;1,4929;0,6385;-0,0224;0,0694;-0,0271;-0,9970;;False
519,42;0.24;p018 ​;20250318_132943;1;Marche;0,0001;1,4967;0,6596;-0,0246;0,0688;-0,0256;-0,9970;;False
519,44;0.25;p018 ​;20250318_132943;1;Marche;0,0035;1,5006;0,6809;-0,0283;0,0681;-0,0235;-0,9970;;False
