Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
620,32;0.0;p020​;20250318_151038;1;TUG2;0,0137;1,4148;-0,3743;0,0158;-0,0269;-0,0317;0,9990;;False
620,33;0.01;p020​;20250318_151038;1;TUG2;0,0136;1,4148;-0,3742;0,0159;-0,0268;-0,0316;0,9990;;False
620,37;0.05;p020​;20250318_151038;1;TUG2;0,0135;1,4147;-0,3742;0,0160;-0,0271;-0,0314;0,9990;;False
620,38;0.07;p020​;20250318_151038;1;TUG2;0,0134;1,4147;-0,3742;0,0161;-0,0272;-0,0313;0,9990;;False
620,40;0.08;p020​;20250318_151038;1;TUG2;0,0133;1,4147;-0,3742;0,0162;-0,0273;-0,0313;0,9990;;False
620,41;0.1;p020​;20250318_151038;1;TUG2;0,0132;1,4147;-0,3742;0,0162;-0,0274;-0,0311;0,9990;;False
620,43;0.11;p020​;20250318_151038;1;TUG2;0,0132;1,4147;-0,3742;0,0162;-0,0275;-0,0309;0,9990;;False
620,44;0.12;p020​;20250318_151038;1;TUG2;0,0132;1,4148;-0,3743;0,0162;-0,0276;-0,0307;0,9990;;False
620,45;0.14;p020​;20250318_151038;1;TUG2;0,0131;1,4149;-0,3743;0,0162;-0,0278;-0,0308;0,9990;;False
620,47;0.15;p020​;20250318_151038;1;TUG2;0,0130;1,4149;-0,3743;0,0160;-0,0278;-0,0307;0,9990;;False
620,48;0.17;p020​;20250318_151038;1;TUG2;0,0130;1,4149;-0,3743;0,0158;-0,0278;-0,0304;0,9990;;False
620,50;0.18;p020​;20250318_151038;1;TUG2;0,0129;1,4149;-0,3743;0,0157;-0,0279;-0,0304;0,9990;;False
620,51;0.19;p020​;20250318_151038;1;TUG2;0,0129;1,4149;-0,3743;0,0153;-0,0281;-0,0303;0,9990;;False
620,52;0.21;p020​;20250318_151038;1;TUG2;0,0129;1,4149;-0,3743;0,0149;-0,0281;-0,0305;0,9990;;False
620,54;0.22;p020​;20250318_151038;1;TUG2;0,0128;1,4150;-0,3743;0,0151;-0,0281;-0,0307;0,9990;;False
620,55;0.24;p020​;20250318_151038;1;TUG2;0,0128;1,4150;-0,3743;0,0151;-0,0281;-0,0306;0,9990;;False
620,57;0.25;p020​;20250318_151038;1;TUG2;0,0128;1,4150;-0,3742;0,0150;-0,0282;-0,0306;0,9990;;False
620,58;0.26;p020​;20250318_151038;1;TUG2;0,0128;1,4151;-0,3742;0,0148;-0,0282;-0,0306;0,9990;;False
620,59;0.28;p020​;20250318_151038;1;TUG2;0,0128;1,4150;-0,3741;0,0147;-0,0282;-0,0306;0,9990;;False
620,61;0.29;p020​;20250318_151038;1;TUG2;0,0128;1,4150;-0,3740;0,0148;-0,0281;-0,0306;0,9990;;False
620,62;0.3;p020​;20250318_151038;1;TUG2;0,0128;1,4148;-0,3738;0,0151;-0,0280;-0,0308;0,9990;;False
620,63;0.32;p020​;20250318_151038;1;TUG2;0,0128;1,4147;-0,3735;0,0155;-0,0276;-0,0311;0,9990;;False
620,65;0.33;p020​;20250318_151038;1;TUG2;0,0128;1,4144;-0,3725;0,0160;-0,0273;-0,0315;0,9990;;False
620,66;0.35;p020​;20250318_151038;1;TUG2;0,0128;1,4140;-0,3716;0,0164;-0,0271;-0,0314;0,9990;;False
620,68;0.36;p020​;20250318_151038;1;TUG2;0,0127;1,4136;-0,3702;0,0169;-0,0269;-0,0314;0,9990;;False
620,69;0.37;p020​;20250318_151038;1;TUG2;0,0124;1,4133;-0,3685;0,0173;-0,0265;-0,0316;0,9990;;False
620,70;0.39;p020​;20250318_151038;1;TUG2;0,0122;1,4131;-0,3662;0,0177;-0,0264;-0,0316;0,9990;;False
620,72;0.4;p020​;20250318_151038;1;TUG2;0,0119;1,4126;-0,3635;0,0174;-0,0265;-0,0309;0,9990;;False
620,73;0.42;p020​;20250318_151038;1;TUG2;0,0114;1,4124;-0,3599;0,0189;-0,0262;-0,0303;0,9990;;False
620,75;0.43;p020​;20250318_151038;1;TUG2;0,0110;1,4120;-0,3555;0,0186;-0,0264;-0,0297;0,9990;;False
620,76;0.44;p020​;20250318_151038;1;TUG2;0,0104;1,4116;-0,3502;0,0186;-0,0265;-0,0294;0,9990;;False
620,77;0.46;p020​;20250318_151038;1;TUG2;0,0097;1,4109;-0,3442;0,0185;-0,0264;-0,0296;0,9990;;False
620,79;0.47;p020​;20250318_151038;1;TUG2;0,0088;1,4100;-0,3374;0,0186;-0,0267;-0,0289;0,9991;;False
620,80;0.49;p020​;20250318_151038;1;TUG2;0,0079;1,4089;-0,3298;0,0199;-0,0271;-0,0280;0,9990;;False
620,82;0.5;p020​;20250318_151038;1;TUG2;0,0068;1,4073;-0,3213;0,0217;-0,0273;-0,0273;0,9990;;False
620,83;0.51;p020​;20250318_151038;1;TUG2;0,0057;1,4054;-0,3116;0,0236;-0,0276;-0,0270;0,9990;;False
620,85;0.53;p020​;20250318_151038;1;TUG2;0,0044;1,4034;-0,3008;0,0250;-0,0277;-0,0264;0,9990;;False
620,87;0.55;p020​;20250318_151038;1;TUG2;0,0016;1,3987;-0,2773;0,0266;-0,0276;-0,0254;0,9989;;False
620,89;0.57;p020​;20250318_151038;1;TUG2;-0,0001;1,3956;-0,2641;0,0276;-0,0272;-0,0252;0,9989;;False
620,90;0.58;p020​;20250318_151038;1;TUG2;-0,0019;1,3919;-0,2499;0,0291;-0,0268;-0,0248;0,9989;;False
620,91;0.6;p020​;20250318_151038;1;TUG2;-0,0039;1,3875;-0,2350;0,0307;-0,0267;-0,0242;0,9989;;False
620,93;0.61;p020​;20250318_151038;1;TUG2;-0,0060;1,3823;-0,2190;0,0332;-0,0268;-0,0235;0,9988;;False
620,94;0.62;p020​;20250318_151038;1;TUG2;-0,0082;1,3764;-0,2024;0,0362;-0,0265;-0,0231;0,9987;;False
620,95;0.64;p020​;20250318_151038;1;TUG2;-0,0107;1,3699;-0,1850;0,0388;-0,0260;-0,0227;0,9987;;False
620,97;0.65;p020​;20250318_151038;1;TUG2;-0,0133;1,3627;-0,1666;0,0401;-0,0263;-0,0221;0,9986;;False
620,98;0.67;p020​;20250318_151038;1;TUG2;-0,0161;1,3542;-0,1471;0,0405;-0,0268;-0,0212;0,9986;;False
621,00;0.68;p020​;20250318_151038;1;TUG2;-0,0191;1,3443;-0,1267;0,0400;-0,0279;-0,0199;0,9986;;False
621,01;0.69;p020​;20250318_151038;1;TUG2;-0,0222;1,3339;-0,1063;0,0401;-0,0286;-0,0185;0,9986;;False
621,02;0.71;p020​;20250318_151038;1;TUG2;-0,0257;1,3223;-0,0855;0,0404;-0,0298;-0,0169;0,9986;;False
621,04;0.72;p020​;20250318_151038;1;TUG2;-0,0294;1,3097;-0,0644;0,0414;-0,0310;-0,0157;0,9985;;False
621,05;0.74;p020​;20250318_151038;1;TUG2;-0,0333;1,2959;-0,0432;0,0425;-0,0322;-0,0143;0,9985;;False
621,06;0.75;p020​;20250318_151038;1;TUG2;-0,0372;1,2804;-0,0213;0,0451;-0,0339;-0,0123;0,9983;;False
621,08;0.76;p020​;20250318_151038;1;TUG2;-0,0414;1,2639;0,0006;0,0490;-0,0361;-0,0100;0,9981;;False
621,09;0.78;p020​;20250318_151038;1;TUG2;-0,0458;1,2471;0,0218;0,0538;-0,0387;-0,0085;0,9978;;False
621,11;0.79;p020​;20250318_151038;1;TUG2;-0,0505;1,2298;0,0419;0,0621;-0,0414;-0,0063;0,9972;;False
621,12;0.8;p020​;20250318_151038;1;TUG2;-0,0551;1,2126;0,0621;0,0710;-0,0436;-0,0054;0,9965;;False
621,13;0.82;p020​;20250318_151038;1;TUG2;-0,0599;1,1959;0,0819;0,0803;-0,0446;-0,0050;0,9958;;False
621,15;0.83;p020​;20250318_151038;1;TUG2;-0,0649;1,1795;0,1017;0,0866;-0,0454;-0,0043;0,9952;;False
621,16;0.85;p020​;20250318_151038;1;TUG2;-0,0699;1,1642;0,1210;0,0893;-0,0480;-0,0036;0,9948;;False
621,17;0.86;p020​;20250318_151038;1;TUG2;-0,0747;1,1506;0,1389;0,0908;-0,0513;-0,0026;0,9945;;False
621,19;0.87;p020​;20250318_151038;1;TUG2;-0,0795;1,1383;0,1559;0,0910;-0,0535;-0,0006;0,9944;;False
621,20;0.89;p020​;20250318_151038;1;TUG2;-0,0844;1,1277;0,1722;0,0905;-0,0543;0,0003;0,9944;;False
621,22;0.9;p020​;20250318_151038;1;TUG2;-0,0888;1,1182;0,1878;0,0894;-0,0555;0,0002;0,9945;;False
621,23;0.91;p020​;20250318_151038;1;TUG2;-0,0928;1,1095;0,2017;0,0867;-0,0558;0,0020;0,9947;;False
621,24;0.93;p020​;20250318_151038;1;TUG2;-0,0970;1,1022;0,2145;0,0895;-0,0553;0,0060;0,9944;;False
621,26;0.94;p020​;20250318_151038;1;TUG2;-0,1013;1,0975;0,2265;0,0992;-0,0554;0,0090;0,9935;;False
621,27;0.96;p020​;20250318_151038;1;TUG2;-0,1055;1,0958;0,2387;0,1112;-0,0569;0,0121;0,9921;;False
621,29;0.97;p020​;20250318_151038;1;TUG2;-0,1091;1,0984;0,2502;0,1205;-0,0600;0,0179;0,9907;;False
621,30;0.98;p020​;20250318_151038;1;TUG2;-0,1126;1,1040;0,2611;0,1241;-0,0624;0,0241;0,9900;;False
621,31;1.0;p020​;20250318_151038;1;TUG2;-0,1157;1,1133;0,2719;0,1222;-0,0648;0,0273;0,9900;;False
621,33;1.01;p020​;20250318_151038;1;TUG2;-0,1188;1,1245;0,2824;0,1192;-0,0643;0,0259;0,9904;;False
621,35;1.03;p020​;20250318_151038;1;TUG2;-0,1219;1,1369;0,2920;0,1158;-0,0617;0,0220;0,9911;;False
621,36;1.04;p020​;20250318_151038;1;TUG2;-0,1249;1,1509;0,3011;0,1137;-0,0608;0,0208;0,9914;;False
621,37;1.05;p020​;20250318_151038;1;TUG2;-0,1280;1,1669;0,3103;0,1104;-0,0611;0,0215;0,9918;;False
621,39;1.07;p020​;20250318_151038;1;TUG2;-0,1309;1,1846;0,3193;0,1050;-0,0613;0,0240;0,9923;;False
621,40;1.08;p020​;20250318_151038;1;TUG2;-0,1340;1,2035;0,3282;0,1007;-0,0603;0,0256;0,9928;;False
621,41;1.09;p020​;20250318_151038;1;TUG2;-0,1370;1,2233;0,3371;0,0957;-0,0594;0,0258;0,9933;;False
621,43;1.11;p020​;20250318_151038;1;TUG2;-0,1402;1,2441;0,3457;0,0921;-0,0565;0,0244;0,9938;;False
621,44;1.12;p020​;20250318_151038;1;TUG2;-0,1438;1,2661;0,3544;0,0893;-0,0544;0,0227;0,9943;;False
621,45;1.14;p020​;20250318_151038;1;TUG2;-0,1477;1,2890;0,3632;0,0859;-0,0538;0,0209;0,9946;;False
621,47;1.15;p020​;20250318_151038;1;TUG2;-0,1519;1,3129;0,3719;0,0814;-0,0538;0,0190;0,9950;;False
621,48;1.17;p020​;20250318_151038;1;TUG2;-0,1561;1,3379;0,3806;0,0772;-0,0544;0,0167;0,9954;;False
621,49;1.18;p020​;20250318_151038;1;TUG2;-0,1602;1,3632;0,3891;0,0730;-0,0549;0,0144;0,9957;;False
621,51;1.19;p020​;20250318_151038;1;TUG2;-0,1645;1,3891;0,3975;0,0714;-0,0553;0,0112;0,9958;;False
621,52;1.21;p020​;20250318_151038;1;TUG2;-0,1687;1,4150;0,4060;0,0705;-0,0555;0,0084;0,9959;;False
621,54;1.22;p020​;20250318_151038;1;TUG2;-0,1728;1,4408;0,4147;0,0720;-0,0553;0,0058;0,9959;;False
621,55;1.24;p020​;20250318_151038;1;TUG2;-0,1768;1,4659;0,4237;0,0737;-0,0555;0,0042;0,9957;;False
621,56;1.25;p020​;20250318_151038;1;TUG2;-0,1804;1,4906;0,4324;0,0745;-0,0562;0,0047;0,9956;;False
621,58;1.26;p020​;20250318_151038;1;TUG2;-0,1840;1,5147;0,4409;0,0757;-0,0569;0,0073;0,9955;;False
621,59;1.28;p020​;20250318_151038;1;TUG2;-0,1878;1,5380;0,4497;0,0785;-0,0578;0,0065;0,9952;;False
621,61;1.29;p020​;20250318_151038;1;TUG2;-0,1911;1,5613;0,4583;0,0821;-0,0590;0,0035;0,9949;;False
621,62;1.3;p020​;20250318_151038;1;TUG2;-0,1941;1,5833;0,4671;0,0844;-0,0606;0,0015;0,9946;;False
621,63;1.32;p020​;20250318_151038;1;TUG2;-0,1969;1,6044;0,4757;0,0870;-0,0613;-0,0006;0,9943;;False
621,65;1.33;p020​;20250318_151038;1;TUG2;-0,1994;1,6246;0,4842;0,0921;-0,0603;-0,0046;0,9939;;False
621,66;1.35;p020​;20250318_151038;1;TUG2;-0,2017;1,6441;0,4928;0,0986;-0,0578;-0,0100;0,9934;;False
621,68;1.36;p020​;20250318_151038;1;TUG2;-0,2036;1,6625;0,5014;0,1047;-0,0546;-0,0155;0,9929;;False
621,69;1.37;p020​;20250318_151038;1;TUG2;-0,2053;1,6793;0,5101;0,1103;-0,0512;-0,0196;0,9924;;False
621,70;1.39;p020​;20250318_151038;1;TUG2;-0,2071;1,6947;0,5189;0,1158;-0,0480;-0,0229;0,9918;;False
621,72;1.4;p020​;20250318_151038;1;TUG2;-0,2089;1,7092;0,5277;0,1221;-0,0460;-0,0245;0,9911;;False
621,73;1.41;p020​;20250318_151038;1;TUG2;-0,2108;1,7226;0,5365;0,1278;-0,0452;-0,0252;0,9905;;False
621,75;1.43;p020​;20250318_151038;1;TUG2;-0,2127;1,7342;0,5454;0,1341;-0,0458;-0,0246;0,9896;;False
621,76;1.44;p020​;20250318_151038;1;TUG2;-0,2145;1,7443;0,5540;0,1408;-0,0461;-0,0239;0,9887;;False
621,77;1.46;p020​;20250318_151038;1;TUG2;-0,2163;1,7527;0,5627;0,1484;-0,0466;-0,0237;0,9875;;False
621,79;1.47;p020​;20250318_151038;1;TUG2;-0,2181;1,7592;0,5716;0,1566;-0,0473;-0,0235;0,9863;;False
621,80;1.48;p020​;20250318_151038;1;TUG2;-0,2199;1,7648;0,5805;0,1643;-0,0484;-0,0235;0,9849;;False
621,81;1.5;p020​;20250318_151038;1;TUG2;-0,2217;1,7695;0,5898;0,1712;-0,0500;-0,0227;0,9837;;False
621,83;1.51;p020​;20250318_151038;1;TUG2;-0,2234;1,7728;0,5995;0,1765;-0,0519;-0,0215;0,9827;;False
621,84;1.53;p020​;20250318_151038;1;TUG2;-0,2251;1,7749;0,6095;0,1800;-0,0538;-0,0207;0,9820;;False
