Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
464,88;0.0;p021​;20250318_161501;1;Marche;0,0109;1,6664;0,3063;0,0362;0,0184;-0,0419;-0,9983;Collision avec Debut - Objet Parent SceneAnchor;False
464,90;0.01;p021​;20250318_161501;1;Marche;0,0127;1,6644;0,3175;0,0371;0,0186;-0,0438;-0,9982;Collision avec Debut - Objet Parent SceneAnchor;False
464,91;0.03;p021​;20250318_161501;1;Marche;0,0145;1,6622;0,3289;0,0378;0,0185;-0,0452;-0,9981;Collision avec Debut - Objet Parent SceneAnchor;False
464,92;0.04;p021​;20250318_161501;1;Marche;0,0164;1,6595;0,3407;0,0381;0,0185;-0,0460;-0,9980;Collision avec Debut - Objet Parent SceneAnchor;False
464,94;0.06;p021​;20250318_161501;1;Marche;0,0182;1,6566;0,3529;0,0388;0,0184;-0,0465;-0,9980;Collision avec Debut - Objet Parent SceneAnchor;False
464,95;0.07;p021​;20250318_161501;1;Marche;0,0203;1,6527;0,3653;0,0397;0,0189;-0,0470;-0,9979;Collision avec Debut - Objet Parent SceneAnchor;False
464,97;0.08;p021​;20250318_161501;1;Marche;0,0221;1,6481;0,3778;0,0405;0,0188;-0,0469;-0,9979;Collision avec Debut - Objet Parent SceneAnchor;False
464,98;0.1;p021​;20250318_161501;1;Marche;0,0239;1,6423;0,3903;0,0413;0,0180;-0,0456;-0,9979;Collision avec Debut - Objet Parent SceneAnchor;False
464,99;0.11;p021​;20250318_161501;1;Marche;0,0256;1,6364;0,4035;0,0381;0,0164;-0,0449;-0,9981;Collision avec Debut - Objet Parent SceneAnchor;False
465,01;0.12;p021​;20250318_161501;1;Marche;0,0269;1,6319;0,4177;0,0346;0,0155;-0,0463;-0,9982;;False
465,02;0.14;p021​;20250318_161501;1;Marche;0,0278;1,6284;0,4317;0,0360;0,0164;-0,0490;-0,9980;;False
465,04;0.15;p021​;20250318_161501;1;Marche;0,0287;1,6238;0,4464;0,0332;0,0172;-0,0500;-0,9981;;False
465,05;0.17;p021​;20250318_161501;1;Marche;0,0297;1,6176;0,4618;0,0320;0,0195;-0,0494;-0,9981;;False
465,06;0.18;p021​;20250318_161501;1;Marche;0,0306;1,6125;0,4771;0,0283;0,0207;-0,0486;-0,9982;;False
465,08;0.19;p021​;20250318_161501;1;Marche;0,0313;1,6082;0,4931;0,0273;0,0205;-0,0481;-0,9983;;False
465,09;0.21;p021​;20250318_161501;1;Marche;0,0317;1,6048;0,5099;0,0254;0,0197;-0,0482;-0,9983;;False
465,11;0.22;p021​;20250318_161501;1;Marche;0,0318;1,6017;0,5269;0,0252;0,0187;-0,0489;-0,9983;;False
465,12;0.24;p021​;20250318_161501;1;Marche;0,0317;1,5972;0,5444;0,0255;0,0191;-0,0499;-0,9982;;False
465,13;0.25;p021​;20250318_161501;1;Marche;0,0315;1,5927;0,5625;0,0269;0,0200;-0,0503;-0,9982;;False
465,15;0.26;p021​;20250318_161501;1;Marche;0,0308;1,5881;0,5808;0,0274;0,0209;-0,0493;-0,9982;;False
465,16;0.28;p021​;20250318_161501;1;Marche;0,0298;1,5835;0,5996;0,0312;0,0211;-0,0474;-0,9982;;False
465,17;0.29;p021​;20250318_161501;1;Marche;0,0285;1,5789;0,6185;0,0338;0,0213;-0,0475;-0,9981;;False
465,19;0.31;p021​;20250318_161501;1;Marche;0,0267;1,5740;0,6374;0,0362;0,0221;-0,0504;-0,9978;;False
465,20;0.32;p021​;20250318_161501;1;Marche;0,0245;1,5696;0,6567;0,0338;0,0228;-0,0537;-0,9977;;False
465,22;0.33;p021​;20250318_161501;1;Marche;0,0216;1,5654;0,6755;0,0302;0,0240;-0,0547;-0,9978;;False
465,23;0.35;p021​;20250318_161501;1;Marche;0,0182;1,5626;0,6948;0,0265;0,0272;-0,0549;-0,9978;;False
465,24;0.36;p021​;20250318_161501;1;Marche;0,0147;1,5616;0,7147;0,0288;0,0285;-0,0570;-0,9976;;False
465,26;0.37;p021​;20250318_161501;1;Marche;0,0108;1,5624;0,7344;0,0322;0,0267;-0,0587;-0,9974;;False
465,27;0.39;p021​;20250318_161501;1;Marche;0,0068;1,5634;0,7553;0,0331;0,0221;-0,0588;-0,9975;;False
465,29;0.4;p021​;20250318_161501;1;Marche;0,0022;1,5652;0,7770;0,0322;0,0181;-0,0561;-0,9977;;False
465,30;0.42;p021​;20250318_161501;1;Marche;-0,0025;1,5693;0,7992;0,0313;0,0170;-0,0545;-0,9979;;False
465,32;0.43;p021​;20250318_161501;1;Marche;-0,0072;1,5744;0,8227;0,0351;0,0215;-0,0615;-0,9973;;False
465,33;0.45;p021​;20250318_161501;1;Marche;-0,0116;1,5807;0,8471;0,0404;0,0284;-0,0678;-0,9965;;False
465,34;0.46;p021​;20250318_161501;1;Marche;-0,0160;1,5881;0,8725;0,0459;0,0339;-0,0656;-0,9962;;False
465,36;0.47;p021​;20250318_161501;1;Marche;-0,0196;1,5954;0,8980;0,0516;0,0396;-0,0607;-0,9960;;False
465,37;0.49;p021​;20250318_161501;1;Marche;-0,0223;1,6012;0,9243;0,0568;0,0430;-0,0554;-0,9959;;False
465,38;0.5;p021​;20250318_161501;1;Marche;-0,0249;1,6060;0,9507;0,0619;0,0436;-0,0475;-0,9960;;False
