Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
340,16;0.0;p030 ​;20250324_173238;1;FO1;-0,0159;1,6690;0,2062;-0,1070;0,0209;-0,0111;-0,9940;Collision avec Debut - Objet Parent SceneAnchor;False
340,19;0.03;p030 ​;20250324_173238;1;FO1;-0,0190;1,6614;0,2251;-0,1208;0,0194;-0,0110;-0,9924;Collision avec Debut - Objet Parent SceneAnchor;False
340,22;0.05;p030 ​;20250324_173238;1;FO1;-0,0219;1,6508;0,2453;-0,1381;0,0175;-0,0106;-0,9902;Collision avec Debut - Objet Parent SceneAnchor;False
340,24;0.08;p030 ​;20250324_173238;1;FO1;-0,0242;1,6409;0,2682;-0,1619;0,0145;-0,0137;-0,9866;Collision avec Debut - Objet Parent SceneAnchor;False
340,27;0.11;p030 ​;20250324_173238;1;FO1;-0,0261;1,6296;0,2930;-0,1867;0,0118;-0,0175;-0,9822;Collision avec Debut - Objet Parent SceneAnchor;False
340,30;0.14;p030 ​;20250324_173238;1;FO1;-0,0273;1,6178;0,3180;-0,2146;0,0098;-0,0196;-0,9765;;False
340,33;0.17;p030 ​;20250324_173238;1;FO1;-0,0281;1,6068;0,3445;-0,2377;0,0089;-0,0189;-0,9711;;False
340,36;0.2;p030 ​;20250324_173238;1;FO1;-0,0287;1,5963;0,3734;-0,2545;0,0087;-0,0185;-0,9668;;False
340,38;0.22;p030 ​;20250324_173238;1;FO1;-0,0289;1,5863;0,4039;-0,2668;0,0079;-0,0167;-0,9636;;False
340,41;0.25;p030 ​;20250324_173238;1;FO1;-0,0286;1,5764;0,4361;-0,2752;0,0068;-0,0164;-0,9612;;False
340,44;0.28;p030 ​;20250324_173238;1;FO1;-0,0278;1,5661;0,4691;-0,2856;0,0068;-0,0168;-0,9582;;False
340,47;0.31;p030 ​;20250324_173238;1;FO1;-0,0265;1,5565;0,5027;-0,2963;0,0055;-0,0151;-0,9550;;False
340,50;0.33;p030 ​;20250324_173238;1;FO1;-0,0246;1,5495;0,5383;-0,3057;0,0028;-0,0133;-0,9520;;False
340,52;0.36;p030 ​;20250324_173238;1;FO1;-0,0219;1,5442;0,5757;-0,3089;0,0013;-0,0142;-0,9510;;False
340,55;0.39;p030 ​;20250324_173238;1;FO1;-0,0191;1,5414;0,6152;-0,3163;0,0014;-0,0153;-0,9485;;False
340,58;0.42;p030 ​;20250324_173238;1;FO1;-0,0161;1,5425;0,6568;-0,3277;0,0046;-0,0158;-0,9447;;False
340,61;0.45;p030 ​;20250324_173238;1;FO1;-0,0127;1,5487;0,7020;-0,3399;0,0097;-0,0173;-0,9403;;False
340,63;0.47;p030 ​;20250324_173238;1;FO1;-0,0093;1,5544;0,7476;-0,3461;0,0096;-0,0180;-0,9380;;False
340,66;0.5;p030 ​;20250324_173238;1;FO1;-0,0072;1,5584;0,7924;-0,3540;0,0082;-0,0199;-0,9350;;False
340,69;0.53;p030 ​;20250324_173238;1;FO1;-0,0052;1,5617;0,8397;-0,3585;0,0101;-0,0264;-0,9331;;False
340,72;0.56;p030 ​;20250324_173238;1;FO1;-0,0042;1,5631;0,8884;-0,3620;0,0102;-0,0258;-0,9318;;False
340,74;0.58;p030 ​;20250324_173238;1;FO1;-0,0036;1,5613;0,9362;-0,3647;0,0109;-0,0249;-0,9307;;False
340,77;0.61;p030 ​;20250324_173238;1;FO1;-0,0032;1,5564;0,9827;-0,3647;0,0125;-0,0232;-0,9307;;False
340,80;0.64;p030 ​;20250324_173238;1;FO1;-0,0029;1,5501;1,0290;-0,3656;0,0138;-0,0260;-0,9303;;False
340,81;0.65;p030 ​;20250324_173238;1;FO1;-0,0033;1,5471;1,0525;-0,3631;0,0152;-0,0280;-0,9312;;False
340,84;0.68;p030 ​;20250324_173238;1;FO1;-0,0040;1,5414;1,1008;-0,3633;0,0189;-0,0326;-0,9309;;False
340,86;0.69;p030 ​;20250324_173238;1;FO1;-0,0046;1,5389;1,1252;-0,3647;0,0192;-0,0333;-0,9303;;False
340,87;0.71;p030 ​;20250324_173238;1;FO1;-0,0054;1,5370;1,1498;-0,3660;0,0184;-0,0329;-0,9299;;False
340,88;0.72;p030 ​;20250324_173238;1;FO1;-0,0062;1,5360;1,1749;-0,3683;0,0173;-0,0317;-0,9290;;False
