Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
942,52;0.0;P028​;20250324_123140;1;Marche2;0,0216;1,7060;0,0341;-0,0189;-0,0220;-0,0095;0,9995;;False
942,55;0.03;P028​;20250324_123140;1;Marche2;0,0217;1,7061;0,0339;-0,0189;-0,0219;-0,0097;0,9995;;False
942,56;0.04;P028​;20250324_123140;1;Marche2;0,0217;1,7060;0,0338;-0,0189;-0,0219;-0,0096;0,9995;;False
942,58;0.06;P028​;20250324_123140;1;Marche2;0,0217;1,7060;0,0337;-0,0187;-0,0219;-0,0095;0,9995;;False
942,59;0.07;P028​;20250324_123140;1;Marche2;0,0217;1,7059;0,0335;-0,0184;-0,0218;-0,0094;0,9995;;False
942,60;0.08;P028​;20250324_123140;1;Marche2;0,0217;1,7058;0,0334;-0,0181;-0,0219;-0,0094;0,9996;;False
942,62;0.1;P028​;20250324_123140;1;Marche2;0,0216;1,7058;0,0333;-0,0179;-0,0218;-0,0093;0,9996;;False
942,63;0.11;P028​;20250324_123140;1;Marche2;0,0217;1,7058;0,0332;-0,0178;-0,0218;-0,0094;0,9996;;False
942,64;0.12;P028​;20250324_123140;1;Marche2;0,0218;1,7059;0,0332;-0,0178;-0,0218;-0,0092;0,9996;;False
942,66;0.14;P028​;20250324_123140;1;Marche2;0,0219;1,7059;0,0332;-0,0179;-0,0219;-0,0092;0,9996;;False
942,67;0.15;P028​;20250324_123140;1;Marche2;0,0219;1,7059;0,0331;-0,0178;-0,0219;-0,0091;0,9996;;False
942,68;0.16;P028​;20250324_123140;1;Marche2;0,0220;1,7059;0,0330;-0,0177;-0,0221;-0,0090;0,9996;;False
942,70;0.18;P028​;20250324_123140;1;Marche2;0,0220;1,7059;0,0329;-0,0178;-0,0221;-0,0090;0,9996;;False
942,71;0.19;P028​;20250324_123140;1;Marche2;0,0220;1,7060;0,0328;-0,0178;-0,0222;-0,0090;0,9996;;False
942,73;0.21;P028​;20250324_123140;1;Marche2;0,0221;1,7060;0,0328;-0,0178;-0,0220;-0,0091;0,9996;;False
942,74;0.22;P028​;20250324_123140;1;Marche2;0,0222;1,7060;0,0327;-0,0178;-0,0220;-0,0091;0,9996;;False
942,75;0.23;P028​;20250324_123140;1;Marche2;0,0223;1,7059;0,0327;-0,0179;-0,0218;-0,0091;0,9996;;False
942,77;0.25;P028​;20250324_123140;1;Marche2;0,0225;1,7058;0,0327;-0,0180;-0,0216;-0,0090;0,9996;;False
942,78;0.26;P028​;20250324_123140;1;Marche2;0,0226;1,7055;0,0327;-0,0182;-0,0214;-0,0090;0,9996;;False
942,80;0.28;P028​;20250324_123140;1;Marche2;0,0227;1,7052;0,0326;-0,0182;-0,0214;-0,0088;0,9996;;False
942,81;0.29;P028​;20250324_123140;1;Marche2;0,0229;1,7050;0,0326;-0,0180;-0,0218;-0,0079;0,9996;;False
942,82;0.3;P028​;20250324_123140;1;Marche2;0,0230;1,7049;0,0327;-0,0184;-0,0221;-0,0075;0,9996;;False
942,84;0.32;P028​;20250324_123140;1;Marche2;0,0231;1,7050;0,0328;-0,0180;-0,0223;-0,0067;0,9996;;False
942,85;0.33;P028​;20250324_123140;1;Marche2;0,0232;1,7053;0,0329;-0,0169;-0,0226;-0,0058;0,9996;;False
942,87;0.35;P028​;20250324_123140;1;Marche2;0,0234;1,7057;0,0332;-0,0166;-0,0229;-0,0050;0,9996;;False
942,88;0.36;P028​;20250324_123140;1;Marche2;0,0236;1,7058;0,0337;-0,0167;-0,0231;-0,0047;0,9996;;False
942,89;0.37;P028​;20250324_123140;1;Marche2;0,0238;1,7039;0,0341;-0,0147;-0,0239;-0,0040;0,9996;;False
942,91;0.39;P028​;20250324_123140;1;Marche2;0,0240;1,7027;0,0344;-0,0116;-0,0254;-0,0032;0,9996;;False
942,92;0.4;P028​;20250324_123140;1;Marche2;0,0242;1,7018;0,0347;-0,0069;-0,0270;-0,0029;0,9996;;False
942,93;0.41;P028​;20250324_123140;1;Marche2;0,0244;1,7010;0,0351;-0,0016;-0,0286;-0,0032;0,9996;;False
942,95;0.43;P028​;20250324_123140;1;Marche2;0,0245;1,7003;0,0357;0,0045;-0,0297;-0,0044;0,9995;;False
942,97;0.45;P028​;20250324_123140;1;Marche2;0,0246;1,6997;0,0366;0,0102;-0,0309;-0,0049;0,9995;;False
942,99;0.47;P028​;20250324_123140;1;Marche2;0,0245;1,6981;0,0388;0,0199;-0,0336;-0,0054;0,9992;;False
943,00;0.48;P028​;20250324_123140;1;Marche2;0,0244;1,6968;0,0404;0,0246;-0,0352;-0,0060;0,9991;;False
943,02;0.5;P028​;20250324_123140;1;Marche2;0,0241;1,6957;0,0425;0,0292;-0,0374;-0,0068;0,9988;;False
943,03;0.51;P028​;20250324_123140;1;Marche2;0,0236;1,6945;0,0449;0,0326;-0,0389;-0,0085;0,9987;;False
943,05;0.53;P028​;20250324_123140;1;Marche2;0,0231;1,6938;0,0481;0,0350;-0,0406;-0,0099;0,9985;;False
943,06;0.54;P028​;20250324_123140;1;Marche2;0,0223;1,6929;0,0518;0,0363;-0,0417;-0,0111;0,9984;;False
943,07;0.55;P028​;20250324_123140;1;Marche2;0,0214;1,6918;0,0560;0,0372;-0,0431;-0,0115;0,9983;;False
943,09;0.57;P028​;20250324_123140;1;Marche2;0,0203;1,6905;0,0608;0,0386;-0,0445;-0,0120;0,9982;;False
943,10;0.58;P028​;20250324_123140;1;Marche2;0,0190;1,6888;0,0659;0,0402;-0,0460;-0,0128;0,9980;;False
943,11;0.59;P028​;20250324_123140;1;Marche2;0,0173;1,6870;0,0715;0,0429;-0,0471;-0,0136;0,9979;;False
943,13;0.61;P028​;20250324_123140;1;Marche2;0,0156;1,6850;0,0777;0,0455;-0,0481;-0,0152;0,9977;;False
943,14;0.62;P028​;20250324_123140;1;Marche2;0,0136;1,6829;0,0845;0,0485;-0,0485;-0,0168;0,9975;;False
943,16;0.64;P028​;20250324_123140;1;Marche2;0,0116;1,6808;0,0919;0,0514;-0,0484;-0,0186;0,9973;;False
943,17;0.65;P028​;20250324_123140;1;Marche2;0,0093;1,6787;0,0999;0,0543;-0,0479;-0,0202;0,9972;;False
943,18;0.66;P028​;20250324_123140;1;Marche2;0,0068;1,6764;0,1085;0,0570;-0,0475;-0,0215;0,9970;;False
943,20;0.68;P028​;20250324_123140;1;Marche2;0,0040;1,6737;0,1177;0,0586;-0,0465;-0,0237;0,9969;;False
943,21;0.69;P028​;20250324_123140;1;Marche2;0,0012;1,6704;0,1274;0,0590;-0,0451;-0,0266;0,9969;;False
943,23;0.71;P028​;20250324_123140;1;Marche2;-0,0017;1,6663;0,1374;0,0591;-0,0426;-0,0290;0,9969;;False
943,24;0.72;P028​;20250324_123140;1;Marche2;-0,0044;1,6621;0,1479;0,0605;-0,0394;-0,0300;0,9969;;False
943,26;0.74;P028​;20250324_123140;1;Marche2;-0,0070;1,6594;0,1592;0,0653;-0,0367;-0,0295;0,9968;;False
943,27;0.75;P028​;20250324_123140;1;Marche2;-0,0096;1,6573;0,1711;0,0694;-0,0345;-0,0292;0,9966;;False
943,28;0.76;P028​;20250324_123140;1;Marche2;-0,0122;1,6552;0,1834;0,0726;-0,0327;-0,0284;0,9964;;False
943,30;0.78;P028​;20250324_123140;1;Marche2;-0,0146;1,6523;0,1956;0,0786;-0,0315;-0,0271;0,9960;;False
943,31;0.79;P028​;20250324_123140;1;Marche2;-0,0168;1,6492;0,2082;0,0863;-0,0305;-0,0258;0,9955;;False
943,32;0.8;P028​;20250324_123140;1;Marche2;-0,0186;1,6467;0,2215;0,0926;-0,0297;-0,0247;0,9950;;False
943,34;0.82;P028​;20250324_123140;1;Marche2;-0,0203;1,6447;0,2356;0,0973;-0,0284;-0,0226;0,9946;;False
943,37;0.85;P028​;20250324_123140;1;Marche2;-0,0231;1,6412;0,2644;0,1040;-0,0261;-0,0203;0,9940;;False
943,39;0.87;P028​;20250324_123140;1;Marche2;-0,0253;1,6366;0,2954;0,1085;-0,0248;-0,0197;0,9936;;False
