Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
559,48;0.0;PA001​;20250401_173803;1;FO1;-0,1126;1,3849;0,2038;0,0134;-0,1264;-0,0081;0,9919;Collision avec Debut - Objet Parent SceneAnchor;False
559,51;0.03;PA001​;20250401_173803;1;FO1;-0,1093;1,3853;0,2022;0,0158;-0,1267;-0,0092;0,9918;Collision avec Debut - Objet Parent SceneAnchor;False
559,53;0.05;PA001​;20250401_173803;1;FO1;-0,1063;1,3859;0,2006;0,0201;-0,1263;-0,0113;0,9917;Collision avec Debut - Objet Parent SceneAnchor;False
559,56;0.08;PA001​;20250401_173803;1;FO1;-0,1035;1,3865;0,1991;0,0206;-0,1257;-0,0113;0,9918;Collision avec Debut - Objet Parent SceneAnchor;False
559,59;0.11;PA001​;20250401_173803;1;FO1;-0,1012;1,3869;0,1976;0,0211;-0,1254;-0,0105;0,9918;Collision avec Debut - Objet Parent SceneAnchor;False
559,62;0.14;PA001​;20250401_173803;1;FO1;-0,0991;1,3876;0,1962;0,0219;-0,1257;-0,0107;0,9918;Collision avec Debut - Objet Parent SceneAnchor;False
559,65;0.17;PA001​;20250401_173803;1;FO1;-0,0970;1,3877;0,1947;0,0248;-0,1262;-0,0115;0,9916;Collision avec Debut - Objet Parent SceneAnchor;False
559,67;0.2;PA001​;20250401_173803;1;FO1;-0,0948;1,3875;0,1935;0,0304;-0,1245;-0,0134;0,9917;Collision avec Debut - Objet Parent SceneAnchor;False
559,70;0.22;PA001​;20250401_173803;1;FO1;-0,0925;1,3867;0,1923;0,0404;-0,1186;-0,0148;0,9920;Collision avec Debut - Objet Parent SceneAnchor;False
559,73;0.25;PA001​;20250401_173803;1;FO1;-0,0899;1,3850;0,1921;0,0566;-0,1079;-0,0126;0,9925;Collision avec Debut - Objet Parent SceneAnchor;False
559,76;0.28;PA001​;20250401_173803;1;FO1;-0,0875;1,3826;0,1931;0,0747;-0,0946;-0,0098;0,9927;Collision avec Debut - Objet Parent SceneAnchor;False
559,78;0.31;PA001​;20250401_173803;1;FO1;-0,0849;1,3788;0,1947;0,0951;-0,0801;-0,0064;0,9922;Collision avec Debut - Objet Parent SceneAnchor;False
559,81;0.33;PA001​;20250401_173803;1;FO1;-0,0821;1,3746;0,1959;0,1202;-0,0657;-0,0041;0,9906;Collision avec Debut - Objet Parent SceneAnchor;False
559,83;0.35;PA001​;20250401_173803;1;FO1;-0,0807;1,3725;0,1967;0,1319;-0,0594;-0,0045;0,9895;Collision avec Debut - Objet Parent SceneAnchor;False
559,85;0.37;PA001​;20250401_173803;1;FO1;-0,0777;1,3682;0,1983;0,1543;-0,0468;-0,0046;0,9869;Collision avec Debut - Objet Parent SceneAnchor;False
559,88;0.4;PA001​;20250401_173803;1;FO1;-0,0743;1,3628;0,1995;0,1797;-0,0342;-0,0031;0,9831;Collision avec Debut - Objet Parent SceneAnchor;False
559,91;0.43;PA001​;20250401_173803;1;FO1;-0,0706;1,3566;0,2007;0,2080;-0,0226;-0,0010;0,9779;Collision avec Debut - Objet Parent SceneAnchor;False
559,94;0.46;PA001​;20250401_173803;1;FO1;-0,0669;1,3501;0,2023;0,2355;-0,0121;-0,0043;0,9718;Collision avec Debut - Objet Parent SceneAnchor;False
559,97;0.49;PA001​;20250401_173803;1;FO1;-0,0633;1,3455;0,2048;0,2517;-0,0042;-0,0063;0,9678;Collision avec Debut - Objet Parent SceneAnchor;False
559,99;0.51;PA001​;20250401_173803;1;FO1;-0,0595;1,3414;0,2063;0,2649;0,0015;-0,0081;0,9642;Collision avec Debut - Objet Parent SceneAnchor;False
560,02;0.54;PA001​;20250401_173803;1;FO1;-0,0561;1,3383;0,2073;0,2778;0,0082;-0,0105;0,9606;Collision avec Debut - Objet Parent SceneAnchor;False
560,05;0.57;PA001​;20250401_173803;1;FO1;-0,0528;1,3361;0,2084;0,2859;0,0149;-0,0130;0,9581;Collision avec Debut - Objet Parent SceneAnchor;False
560,08;0.6;PA001​;20250401_173803;1;FO1;-0,0499;1,3351;0,2097;0,2882;0,0208;-0,0153;0,9572;Collision avec Debut - Objet Parent SceneAnchor;False
560,10;0.63;PA001​;20250401_173803;1;FO1;-0,0473;1,3351;0,2104;0,2876;0,0250;-0,0162;0,9573;Collision avec Debut - Objet Parent SceneAnchor;False
560,13;0.65;PA001​;20250401_173803;1;FO1;-0,0449;1,3355;0,2107;0,2854;0,0279;-0,0171;0,9578;Collision avec Debut - Objet Parent SceneAnchor;False
560,16;0.68;PA001​;20250401_173803;1;FO1;-0,0427;1,3358;0,2103;0,2832;0,0324;-0,0190;0,9583;Collision avec Debut - Objet Parent SceneAnchor;False
560,19;0.71;PA001​;20250401_173803;1;FO1;-0,0406;1,3363;0,2095;0,2815;0,0384;-0,0208;0,9586;Collision avec Debut - Objet Parent SceneAnchor;False
560,21;0.74;PA001​;20250401_173803;1;FO1;-0,0390;1,3367;0,2084;0,2789;0,0436;-0,0217;0,9591;Collision avec Debut - Objet Parent SceneAnchor;False
560,23;0.75;PA001​;20250401_173803;1;FO1;-0,0383;1,3368;0,2080;0,2773;0,0460;-0,0214;0,9594;Collision avec Debut - Objet Parent SceneAnchor;False
560,24;0.76;PA001​;20250401_173803;1;FO1;-0,0377;1,3370;0,2076;0,2760;0,0479;-0,0211;0,9597;Collision avec Debut - Objet Parent SceneAnchor;False
560,26;0.78;PA001​;20250401_173803;1;FO1;-0,0372;1,3371;0,2070;0,2745;0,0495;-0,0205;0,9601;Collision avec Debut - Objet Parent SceneAnchor;False
560,29;0.81;PA001​;20250401_173803;1;FO1;-0,0366;1,3374;0,2057;0,2711;0,0525;-0,0206;0,9609;Collision avec Debut - Objet Parent SceneAnchor;False
560,31;0.83;PA001​;20250401_173803;1;FO1;-0,0363;1,3380;0,2046;0,2674;0,0556;-0,0213;0,9618;Collision avec Debut - Objet Parent SceneAnchor;False
560,34;0.86;PA001​;20250401_173803;1;FO1;-0,0364;1,3383;0,2034;0,2642;0,0584;-0,0224;0,9625;Collision avec Debut - Objet Parent SceneAnchor;False
560,35;0.88;PA001​;20250401_173803;1;FO1;-0,0367;1,3386;0,2029;0,2627;0,0598;-0,0226;0,9627;Collision avec Debut - Objet Parent SceneAnchor;False
560,37;0.89;PA001​;20250401_173803;1;FO1;-0,0370;1,3388;0,2025;0,2617;0,0611;-0,0230;0,9629;Collision avec Debut - Objet Parent SceneAnchor;False
560,38;0.9;PA001​;20250401_173803;1;FO1;-0,0373;1,3392;0,2022;0,2610;0,0623;-0,0236;0,9630;Collision avec Debut - Objet Parent SceneAnchor;False
560,41;0.93;PA001​;20250401_173803;1;FO1;-0,0381;1,3400;0,2017;0,2595;0,0655;-0,0248;0,9632;Collision avec Debut - Objet Parent SceneAnchor;False
560,44;0.96;PA001​;20250401_173803;1;FO1;-0,0392;1,3405;0,2018;0,2573;0,0691;-0,0261;0,9635;Collision avec Debut - Objet Parent SceneAnchor;False
