Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1449,18;0.0;PA002 ​;20250403_172829;1;F8W2;0,0190;1,4999;0,9910;0,0521;0,0476;0,0590;-0,9958;;False
1449,19;0.01;PA002 ​;20250403_172829;1;F8W2;0,0191;1,4997;0,9909;0,0515;0,0479;0,0591;-0,9958;;False
1449,24;0.06;PA002 ​;20250403_172829;1;F8W2;0,0196;1,4995;0,9906;0,0502;0,0488;0,0591;-0,9958;;False
1449,25;0.07;PA002 ​;20250403_172829;1;F8W2;0,0197;1,4994;0,9905;0,0499;0,0490;0,0592;-0,9958;;False
1449,26;0.08;PA002 ​;20250403_172829;1;F8W2;0,0197;1,4993;0,9904;0,0495;0,0492;0,0591;-0,9958;;False
1449,29;0.11;PA002 ​;20250403_172829;1;F8W2;0,0199;1,4991;0,9900;0,0481;0,0498;0,0589;-0,9959;;False
1449,32;0.14;PA002 ​;20250403_172829;1;F8W2;0,0200;1,4988;0,9897;0,0467;0,0503;0,0588;-0,9959;;False
1449,33;0.15;PA002 ​;20250403_172829;1;F8W2;0,0200;1,4987;0,9895;0,0460;0,0505;0,0587;-0,9959;;False
1449,35;0.17;PA002 ​;20250403_172829;1;F8W2;0,0201;1,4986;0,9894;0,0455;0,0507;0,0588;-0,9959;;False
1449,36;0.18;PA002 ​;20250403_172829;1;F8W2;0,0201;1,4985;0,9892;0,0449;0,0508;0,0588;-0,9960;;False
1449,37;0.19;PA002 ​;20250403_172829;1;F8W2;0,0201;1,4984;0,9890;0,0443;0,0509;0,0588;-0,9960;;False
1449,39;0.21;PA002 ​;20250403_172829;1;F8W2;0,0201;1,4983;0,9888;0,0439;0,0510;0,0589;-0,9960;;False
1449,40;0.22;PA002 ​;20250403_172829;1;F8W2;0,0202;1,4982;0,9885;0,0433;0,0510;0,0591;-0,9960;;False
1449,42;0.24;PA002 ​;20250403_172829;1;F8W2;0,0202;1,4980;0,9883;0,0425;0,0508;0,0595;-0,9960;;False
1449,43;0.25;PA002 ​;20250403_172829;1;F8W2;0,0202;1,4979;0,9880;0,0419;0,0508;0,0596;-0,9960;;False
1449,44;0.26;PA002 ​;20250403_172829;1;F8W2;0,0202;1,4978;0,9877;0,0414;0,0507;0,0598;-0,9961;;False
1449,46;0.28;PA002 ​;20250403_172829;1;F8W2;0,0203;1,4978;0,9875;0,0414;0,0506;0,0597;-0,9961;;False
1449,47;0.29;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4978;0,9872;0,0416;0,0504;0,0595;-0,9961;;False
1449,49;0.31;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4979;0,9870;0,0420;0,0502;0,0597;-0,9961;;False
1449,50;0.32;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4980;0,9868;0,0426;0,0499;0,0601;-0,9960;;False
1449,51;0.33;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4981;0,9866;0,0430;0,0496;0,0608;-0,9960;;False
1449,53;0.35;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4981;0,9864;0,0432;0,0493;0,0610;-0,9960;;False
1449,54;0.36;PA002 ​;20250403_172829;1;F8W2;0,0204;1,4981;0,9862;0,0430;0,0491;0,0612;-0,9960;;False
1449,55;0.37;PA002 ​;20250403_172829;1;F8W2;0,0205;1,4980;0,9859;0,0429;0,0489;0,0612;-0,9960;;False
1449,57;0.39;PA002 ​;20250403_172829;1;F8W2;0,0206;1,4979;0,9857;0,0426;0,0487;0,0610;-0,9960;;False
