Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1373,99;0.0;PA002 ​;20250403_172829;1;F8W2;0,0395;1,4874;1,0084;-0,0327;-0,0505;-0,0717;0,9956;;False
1374,02;0.03;PA002 ​;20250403_172829;1;F8W2;0,0396;1,4873;1,0086;-0,0322;-0,0503;-0,0716;0,9956;;False
1374,06;0.07;PA002 ​;20250403_172829;1;F8W2;0,0397;1,4872;1,0087;-0,0314;-0,0499;-0,0719;0,9957;;False
1374,07;0.08;PA002 ​;20250403_172829;1;F8W2;0,0398;1,4872;1,0086;-0,0312;-0,0498;-0,0722;0,9957;;False
1374,08;0.1;PA002 ​;20250403_172829;1;F8W2;0,0398;1,4872;1,0086;-0,0312;-0,0498;-0,0720;0,9957;;False
1374,10;0.11;PA002 ​;20250403_172829;1;F8W2;0,0399;1,4872;1,0087;-0,0313;-0,0498;-0,0721;0,9957;;False
1374,11;0.12;PA002 ​;20250403_172829;1;F8W2;0,0400;1,4872;1,0088;-0,0314;-0,0497;-0,0723;0,9956;;False
1374,13;0.14;PA002 ​;20250403_172829;1;F8W2;0,0400;1,4872;1,0088;-0,0313;-0,0498;-0,0726;0,9956;;False
1374,14;0.15;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4872;1,0089;-0,0313;-0,0499;-0,0730;0,9956;;False
1374,15;0.17;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4872;1,0090;-0,0312;-0,0498;-0,0733;0,9956;;False
1374,17;0.18;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4872;1,0091;-0,0312;-0,0498;-0,0734;0,9956;;False
1374,18;0.19;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0092;-0,0310;-0,0499;-0,0734;0,9956;;False
1374,19;0.21;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0093;-0,0310;-0,0498;-0,0734;0,9956;;False
1374,21;0.22;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0093;-0,0311;-0,0498;-0,0733;0,9956;;False
1374,22;0.24;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0094;-0,0311;-0,0498;-0,0732;0,9956;;False
1374,24;0.25;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0094;-0,0312;-0,0499;-0,0731;0,9956;;False
1374,25;0.26;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4872;1,0095;-0,0313;-0,0500;-0,0731;0,9956;;False
1374,26;0.28;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4873;1,0097;-0,0314;-0,0501;-0,0731;0,9956;;False
1374,28;0.29;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4873;1,0099;-0,0314;-0,0504;-0,0731;0,9956;;False
1374,29;0.31;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4873;1,0100;-0,0311;-0,0506;-0,0733;0,9955;;False
1374,31;0.32;PA002 ​;20250403_172829;1;F8W2;0,0404;1,4874;1,0102;-0,0310;-0,0509;-0,0734;0,9955;;False
1374,33;0.35;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4874;1,0106;-0,0307;-0,0514;-0,0732;0,9955;;False
1374,35;0.36;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4874;1,0108;-0,0306;-0,0516;-0,0729;0,9955;;False
1374,36;0.37;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4874;1,0110;-0,0305;-0,0518;-0,0727;0,9955;;False
1374,38;0.39;PA002 ​;20250403_172829;1;F8W2;0,0402;1,4873;1,0113;-0,0304;-0,0519;-0,0726;0,9955;;False
1374,39;0.4;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4872;1,0115;-0,0303;-0,0521;-0,0727;0,9955;;False
1374,40;0.42;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4872;1,0118;-0,0301;-0,0521;-0,0727;0,9955;;False
1374,42;0.43;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4872;1,0123;-0,0301;-0,0523;-0,0728;0,9955;;False
1374,43;0.45;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4871;1,0126;-0,0301;-0,0523;-0,0727;0,9955;;False
1374,45;0.46;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4872;1,0130;-0,0297;-0,0523;-0,0728;0,9955;;False
1374,46;0.47;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4871;1,0135;-0,0294;-0,0522;-0,0727;0,9956;;False
1374,47;0.49;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4870;1,0139;-0,0295;-0,0521;-0,0725;0,9956;;False
1374,49;0.5;PA002 ​;20250403_172829;1;F8W2;0,0401;1,4870;1,0144;-0,0295;-0,0520;-0,0723;0,9956;;False
1374,50;0.51;PA002 ​;20250403_172829;1;F8W2;0,0400;1,4871;1,0149;-0,0294;-0,0519;-0,0724;0,9956;;False
1374,51;0.53;PA002 ​;20250403_172829;1;F8W2;0,0400;1,4871;1,0154;-0,0295;-0,0518;-0,0727;0,9956;;False
1374,53;0.54;PA002 ​;20250403_172829;1;F8W2;0,0399;1,4870;1,0160;-0,0294;-0,0516;-0,0730;0,9956;;False
1374,54;0.55;PA002 ​;20250403_172829;1;F8W2;0,0398;1,4869;1,0165;-0,0291;-0,0516;-0,0727;0,9956;;False
1374,56;0.57;PA002 ​;20250403_172829;1;F8W2;0,0397;1,4868;1,0170;-0,0289;-0,0514;-0,0726;0,9956;;False
1374,57;0.58;PA002 ​;20250403_172829;1;F8W2;0,0396;1,4868;1,0177;-0,0286;-0,0513;-0,0725;0,9956;;False
1374,58;0.6;PA002 ​;20250403_172829;1;F8W2;0,0394;1,4867;1,0183;-0,0284;-0,0512;-0,0724;0,9957;;False
1374,60;0.61;PA002 ​;20250403_172829;1;F8W2;0,0392;1,4869;1,0191;-0,0282;-0,0512;-0,0719;0,9957;;False
1374,61;0.62;PA002 ​;20250403_172829;1;F8W2;0,0390;1,4871;1,0199;-0,0288;-0,0515;-0,0713;0,9957;;False
1374,63;0.64;PA002 ​;20250403_172829;1;F8W2;0,0388;1,4876;1,0209;-0,0301;-0,0519;-0,0703;0,9957;;False
1374,64;0.65;PA002 ​;20250403_172829;1;F8W2;0,0385;1,4880;1,0219;-0,0324;-0,0523;-0,0693;0,9957;;False
1374,65;0.67;PA002 ​;20250403_172829;1;F8W2;0,0381;1,4885;1,0229;-0,0343;-0,0529;-0,0684;0,9957;;False
1374,67;0.68;PA002 ​;20250403_172829;1;F8W2;0,0377;1,4888;1,0240;-0,0364;-0,0535;-0,0674;0,9956;;False
1374,68;0.7;PA002 ​;20250403_172829;1;F8W2;0,0373;1,4892;1,0252;-0,0386;-0,0541;-0,0663;0,9956;;False
1374,70;0.71;PA002 ​;20250403_172829;1;F8W2;0,0369;1,4894;1,0264;-0,0401;-0,0545;-0,0655;0,9956;;False
1374,71;0.72;PA002 ​;20250403_172829;1;F8W2;0,0365;1,4895;1,0278;-0,0405;-0,0549;-0,0651;0,9955;;False
1374,72;0.74;PA002 ​;20250403_172829;1;F8W2;0,0361;1,4896;1,0293;-0,0412;-0,0552;-0,0649;0,9955;;False
1374,74;0.75;PA002 ​;20250403_172829;1;F8W2;0,0357;1,4899;1,0310;-0,0410;-0,0555;-0,0650;0,9955;;False
1374,75;0.76;PA002 ​;20250403_172829;1;F8W2;0,0352;1,4897;1,0326;-0,0416;-0,0555;-0,0652;0,9955;;False
1374,77;0.78;PA002 ​;20250403_172829;1;F8W2;0,0348;1,4893;1,0344;-0,0400;-0,0558;-0,0654;0,9955;;False
1374,78;0.79;PA002 ​;20250403_172829;1;F8W2;0,0342;1,4891;1,0363;-0,0371;-0,0557;-0,0655;0,9956;;False
1374,79;0.81;PA002 ​;20250403_172829;1;F8W2;0,0337;1,4886;1,0383;-0,0350;-0,0560;-0,0659;0,9956;;False
1374,81;0.82;PA002 ​;20250403_172829;1;F8W2;0,0331;1,4881;1,0405;-0,0325;-0,0559;-0,0663;0,9957;;False
1374,82;0.84;PA002 ​;20250403_172829;1;F8W2;0,0324;1,4875;1,0428;-0,0285;-0,0557;-0,0667;0,9958;;False
1374,85;0.86;PA002 ​;20250403_172829;1;F8W2;0,0309;1,4860;1,0477;-0,0198;-0,0551;-0,0674;0,9960;;False
1374,86;0.87;PA002 ​;20250403_172829;1;F8W2;0,0301;1,4848;1,0503;-0,0142;-0,0551;-0,0680;0,9961;;False
1374,88;0.89;PA002 ​;20250403_172829;1;F8W2;0,0293;1,4835;1,0531;-0,0071;-0,0551;-0,0684;0,9961;;False
1374,89;0.9;PA002 ​;20250403_172829;1;F8W2;0,0284;1,4820;1,0559;0,0007;-0,0553;-0,0693;0,9961;;False
1374,90;0.92;PA002 ​;20250403_172829;1;F8W2;0,0275;1,4803;1,0588;0,0093;-0,0558;-0,0705;0,9959;;False
1374,92;0.93;PA002 ​;20250403_172829;1;F8W2;0,0265;1,4784;1,0619;0,0188;-0,0560;-0,0725;0,9956;;False
1374,95;0.96;PA002 ​;20250403_172829;1;F8W2;0,0243;1,4743;1,0679;0,0392;-0,0558;-0,0763;0,9948;;False
1374,96;0.97;PA002 ​;20250403_172829;1;F8W2;0,0233;1,4725;1,0712;0,0486;-0,0552;-0,0782;0,9942;;False
1374,97;0.99;PA002 ​;20250403_172829;1;F8W2;0,0223;1,4710;1,0746;0,0563;-0,0543;-0,0800;0,9937;;False
1374,99;1.0;PA002 ​;20250403_172829;1;F8W2;0,0211;1,4696;1,0781;0,0620;-0,0528;-0,0815;0,9933;;False
1375,00;1.01;PA002 ​;20250403_172829;1;F8W2;0,0200;1,4683;1,0816;0,0656;-0,0510;-0,0820;0,9932;;False
1375,01;1.03;PA002 ​;20250403_172829;1;F8W2;0,0187;1,4672;1,0857;0,0700;-0,0490;-0,0829;0,9929;;False
1375,03;1.04;PA002 ​;20250403_172829;1;F8W2;0,0173;1,4660;1,0896;0,0713;-0,0459;-0,0833;0,9929;;False
1375,04;1.06;PA002 ​;20250403_172829;1;F8W2;0,0161;1,4648;1,0938;0,0724;-0,0435;-0,0839;0,9929;;False
1375,06;1.07;PA002 ​;20250403_172829;1;F8W2;0,0147;1,4636;1,0980;0,0730;-0,0403;-0,0842;0,9930;;False
1375,07;1.08;PA002 ​;20250403_172829;1;F8W2;0,0135;1,4623;1,1024;0,0734;-0,0374;-0,0850;0,9930;;False
1375,08;1.1;PA002 ​;20250403_172829;1;F8W2;0,0122;1,4612;1,1071;0,0748;-0,0341;-0,0855;0,9929;;False
1375,10;1.11;PA002 ​;20250403_172829;1;F8W2;0,0111;1,4600;1,1119;0,0755;-0,0313;-0,0858;0,9930;;False
1375,11;1.12;PA002 ​;20250403_172829;1;F8W2;0,0099;1,4585;1,1168;0,0757;-0,0281;-0,0857;0,9930;;False
1375,13;1.14;PA002 ​;20250403_172829;1;F8W2;0,0089;1,4571;1,1218;0,0771;-0,0253;-0,0858;0,9930;;False
1375,14;1.15;PA002 ​;20250403_172829;1;F8W2;0,0079;1,4558;1,1271;0,0795;-0,0232;-0,0856;0,9929;;False
1375,15;1.17;PA002 ​;20250403_172829;1;F8W2;0,0069;1,4543;1,1324;0,0816;-0,0215;-0,0852;0,9928;;False
1375,17;1.18;PA002 ​;20250403_172829;1;F8W2;0,0060;1,4530;1,1380;0,0842;-0,0204;-0,0844;0,9927;;False
1375,18;1.19;PA002 ​;20250403_172829;1;F8W2;0,0053;1,4518;1,1438;0,0883;-0,0200;-0,0835;0,9924;;False
1375,20;1.21;PA002 ​;20250403_172829;1;F8W2;0,0045;1,4508;1,1498;0,0924;-0,0193;-0,0823;0,9921;;False
1375,21;1.22;PA002 ​;20250403_172829;1;F8W2;0,0040;1,4500;1,1559;0,0956;-0,0192;-0,0811;0,9919;;False
1375,22;1.24;PA002 ​;20250403_172829;1;F8W2;0,0035;1,4490;1,1622;0,0986;-0,0197;-0,0792;0,9918;;False
1375,24;1.25;PA002 ​;20250403_172829;1;F8W2;0,0032;1,4482;1,1685;0,1020;-0,0201;-0,0776;0,9915;;False
1375,25;1.26;PA002 ​;20250403_172829;1;F8W2;0,0031;1,4472;1,1751;0,1050;-0,0210;-0,0759;0,9913;;False
1375,27;1.28;PA002 ​;20250403_172829;1;F8W2;0,0032;1,4460;1,1818;0,1074;-0,0220;-0,0743;0,9912;;False
1375,28;1.29;PA002 ​;20250403_172829;1;F8W2;0,0035;1,4447;1,1885;0,1094;-0,0226;-0,0730;0,9911;;False
1375,29;1.31;PA002 ​;20250403_172829;1;F8W2;0,0039;1,4432;1,1954;0,1115;-0,0235;-0,0724;0,9908;;False
1375,31;1.32;PA002 ​;20250403_172829;1;F8W2;0,0044;1,4417;1,2022;0,1142;-0,0237;-0,0725;0,9905;;False
1375,32;1.33;PA002 ​;20250403_172829;1;F8W2;0,0051;1,4403;1,2094;0,1160;-0,0237;-0,0735;0,9902;;False
1375,33;1.35;PA002 ​;20250403_172829;1;F8W2;0,0062;1,4391;1,2167;0,1163;-0,0237;-0,0744;0,9901;;False
1375,35;1.36;PA002 ​;20250403_172829;1;F8W2;0,0073;1,4379;1,2241;0,1149;-0,0232;-0,0752;0,9902;;False
1375,36;1.38;PA002 ​;20250403_172829;1;F8W2;0,0087;1,4367;1,2317;0,1138;-0,0229;-0,0762;0,9903;;False
1375,38;1.39;PA002 ​;20250403_172829;1;F8W2;0,0103;1,4356;1,2394;0,1119;-0,0225;-0,0774;0,9904;;False
1375,39;1.4;PA002 ​;20250403_172829;1;F8W2;0,0121;1,4344;1,2473;0,1096;-0,0224;-0,0778;0,9907;;False
1375,40;1.42;PA002 ​;20250403_172829;1;F8W2;0,0141;1,4333;1,2553;0,1068;-0,0221;-0,0781;0,9910;;False
1375,42;1.43;PA002 ​;20250403_172829;1;F8W2;0,0163;1,4324;1,2636;0,1042;-0,0220;-0,0779;0,9913;;False
1375,43;1.44;PA002 ​;20250403_172829;1;F8W2;0,0187;1,4315;1,2721;0,1005;-0,0219;-0,0780;0,9916;;False
1375,45;1.46;PA002 ​;20250403_172829;1;F8W2;0,0213;1,4306;1,2807;0,0972;-0,0215;-0,0778;0,9920;;False
1375,46;1.47;PA002 ​;20250403_172829;1;F8W2;0,0241;1,4299;1,2898;0,0945;-0,0210;-0,0775;0,9923;;False
1375,47;1.49;PA002 ​;20250403_172829;1;F8W2;0,0270;1,4292;1,2990;0,0912;-0,0209;-0,0770;0,9926;;False
1375,49;1.5;PA002 ​;20250403_172829;1;F8W2;0,0301;1,4285;1,3082;0,0873;-0,0207;-0,0764;0,9930;;False
1375,50;1.51;PA002 ​;20250403_172829;1;F8W2;0,0333;1,4279;1,3178;0,0837;-0,0209;-0,0753;0,9934;;False
1375,52;1.53;PA002 ​;20250403_172829;1;F8W2;0,0367;1,4275;1,3277;0,0803;-0,0218;-0,0740;0,9938;;False
1375,53;1.54;PA002 ​;20250403_172829;1;F8W2;0,0403;1,4273;1,3376;0,0763;-0,0227;-0,0724;0,9942;;False
1375,54;1.56;PA002 ​;20250403_172829;1;F8W2;0,0440;1,4272;1,3478;0,0726;-0,0239;-0,0708;0,9946;;False
1375,56;1.57;PA002 ​;20250403_172829;1;F8W2;0,0479;1,4271;1,3580;0,0689;-0,0257;-0,0686;0,9949;;False
1375,57;1.58;PA002 ​;20250403_172829;1;F8W2;0,0520;1,4286;1,3687;0,0684;-0,0278;-0,0661;0,9951;;False
1375,58;1.6;PA002 ​;20250403_172829;1;F8W2;0,0561;1,4313;1,3801;0,0676;-0,0295;-0,0645;0,9952;;False
1375,60;1.61;PA002 ​;20250403_172829;1;F8W2;0,0603;1,4326;1,3917;0,0577;-0,0305;-0,0637;0,9958;;False
1375,61;1.62;PA002 ​;20250403_172829;1;F8W2;0,0649;1,4344;1,4024;0,0525;-0,0314;-0,0633;0,9961;;False
1375,63;1.64;PA002 ​;20250403_172829;1;F8W2;0,0695;1,4373;1,4138;0,0520;-0,0327;-0,0607;0,9963;;False
1375,64;1.65;PA002 ​;20250403_172829;1;F8W2;0,0739;1,4399;1,4250;0,0510;-0,0329;-0,0597;0,9964;;False
1375,65;1.67;PA002 ​;20250403_172829;1;F8W2;0,0785;1,4427;1,4361;0,0498;-0,0335;-0,0594;0,9964;;False
1375,67;1.68;PA002 ​;20250403_172829;1;F8W2;0,0829;1,4455;1,4472;0,0488;-0,0332;-0,0589;0,9965;;False
1375,68;1.69;PA002 ​;20250403_172829;1;F8W2;0,0872;1,4487;1,4580;0,0494;-0,0331;-0,0584;0,9965;;False
1375,70;1.71;PA002 ​;20250403_172829;1;F8W2;0,0914;1,4520;1,4689;0,0503;-0,0331;-0,0579;0,9965;;False
1375,71;1.72;PA002 ​;20250403_172829;1;F8W2;0,0955;1,4546;1,4796;0,0483;-0,0328;-0,0572;0,9967;;False
1375,74;1.75;PA002 ​;20250403_172829;1;F8W2;0,1032;1,4591;1,5009;0,0430;-0,0336;-0,0518;0,9972;;False
1375,75;1.76;PA002 ​;20250403_172829;1;F8W2;0,1069;1,4609;1,5114;0,0407;-0,0346;-0,0489;0,9974;;False
1375,77;1.78;PA002 ​;20250403_172829;1;F8W2;0,1103;1,4620;1,5218;0,0385;-0,0358;-0,0467;0,9975;Collision avec Debut - Objet Parent SceneAnchor;False
1375,78;1.79;PA002 ​;20250403_172829;1;F8W2;0,1136;1,4629;1,5320;0,0384;-0,0370;-0,0453;0,9976;Collision avec Debut - Objet Parent SceneAnchor;False
1375,79;1.8;PA002 ​;20250403_172829;1;F8W2;0,1169;1,4634;1,5422;0,0400;-0,0386;-0,0447;0,9975;Collision avec Debut - Objet Parent SceneAnchor;False
1375,81;1.82;PA002 ​;20250403_172829;1;F8W2;0,1199;1,4640;1,5523;0,0436;-0,0402;-0,0449;0,9972;Collision avec Debut - Objet Parent SceneAnchor;False
1375,82;1.83;PA002 ​;20250403_172829;1;F8W2;0,1228;1,4649;1,5627;0,0479;-0,0419;-0,0456;0,9969;Collision avec Debut - Objet Parent SceneAnchor;False
1375,83;1.85;PA002 ​;20250403_172829;1;F8W2;0,1257;1,4659;1,5732;0,0510;-0,0437;-0,0462;0,9967;Collision avec Debut - Objet Parent SceneAnchor;False
1375,85;1.86;PA002 ​;20250403_172829;1;F8W2;0,1284;1,4667;1,5837;0,0518;-0,0454;-0,0459;0,9966;;False
1375,86;1.87;PA002 ​;20250403_172829;1;F8W2;0,1310;1,4673;1,5943;0,0515;-0,0471;-0,0450;0,9965;;False
1375,88;1.89;PA002 ​;20250403_172829;1;F8W2;0,1335;1,4679;1,6048;0,0502;-0,0488;-0,0436;0,9966;;False
1375,89;1.9;PA002 ​;20250403_172829;1;F8W2;0,1360;1,4683;1,6156;0,0493;-0,0507;-0,0424;0,9966;;False
1375,90;1.92;PA002 ​;20250403_172829;1;F8W2;0,1382;1,4684;1,6264;0,0493;-0,0524;-0,0413;0,9966;;False
1375,92;1.93;PA002 ​;20250403_172829;1;F8W2;0,1404;1,4681;1,6372;0,0498;-0,0540;-0,0404;0,9965;;False
1375,93;1.94;PA002 ​;20250403_172829;1;F8W2;0,1425;1,4676;1,6480;0,0514;-0,0559;-0,0397;0,9963;;False
1375,95;1.96;PA002 ​;20250403_172829;1;F8W2;0,1444;1,4668;1,6588;0,0531;-0,0576;-0,0390;0,9962;;False
1375,96;1.97;PA002 ​;20250403_172829;1;F8W2;0,1463;1,4661;1,6699;0,0549;-0,0596;-0,0375;0,9960;;False
1375,97;1.99;PA002 ​;20250403_172829;1;F8W2;0,1482;1,4651;1,6811;0,0553;-0,0619;-0,0355;0,9959;;False
1375,99;2.0;PA002 ​;20250403_172829;1;F8W2;0,1499;1,4641;1,6923;0,0549;-0,0642;-0,0333;0,9959;;False
1376,00;2.01;PA002 ​;20250403_172829;1;F8W2;0,1515;1,4627;1,7036;0,0540;-0,0664;-0,0310;0,9958;;False
1376,01;2.03;PA002 ​;20250403_172829;1;F8W2;0,1530;1,4613;1,7149;0,0533;-0,0685;-0,0284;0,9958;;False
1376,03;2.04;PA002 ​;20250403_172829;1;F8W2;0,1544;1,4598;1,7264;0,0522;-0,0704;-0,0256;0,9958;;False
1376,04;2.06;PA002 ​;20250403_172829;1;F8W2;0,1558;1,4582;1,7381;0,0509;-0,0721;-0,0229;0,9958;;False
1376,06;2.07;PA002 ​;20250403_172829;1;F8W2;0,1571;1,4563;1,7498;0,0489;-0,0734;-0,0203;0,9959;;False
1376,07;2.08;PA002 ​;20250403_172829;1;F8W2;0,1583;1,4541;1,7613;0,0474;-0,0744;-0,0184;0,9959;;False
1376,08;2.1;PA002 ​;20250403_172829;1;F8W2;0,1594;1,4520;1,7729;0,0472;-0,0751;-0,0164;0,9959;;False
1376,10;2.11;PA002 ​;20250403_172829;1;F8W2;0,1603;1,4499;1,7845;0,0479;-0,0755;-0,0148;0,9959;;False
1376,11;2.12;PA002 ​;20250403_172829;1;F8W2;0,1611;1,4475;1,7959;0,0478;-0,0760;-0,0135;0,9959;;False
1376,13;2.14;PA002 ​;20250403_172829;1;F8W2;0,1618;1,4452;1,8075;0,0482;-0,0765;-0,0123;0,9958;;False
1376,14;2.15;PA002 ​;20250403_172829;1;F8W2;0,1623;1,4432;1,8194;0,0485;-0,0773;-0,0110;0,9958;;False
1376,15;2.17;PA002 ​;20250403_172829;1;F8W2;0,1625;1,4414;1,8315;0,0474;-0,0789;-0,0102;0,9957;;False
1376,17;2.18;PA002 ​;20250403_172829;1;F8W2;0,1627;1,4404;1,8439;0,0463;-0,0813;-0,0104;0,9956;;False
1376,18;2.19;PA002 ​;20250403_172829;1;F8W2;0,1626;1,4400;1,8563;0,0441;-0,0836;-0,0112;0,9955;;False
1376,20;2.21;PA002 ​;20250403_172829;1;F8W2;0,1624;1,4414;1,8689;0,0463;-0,0860;-0,0129;0,9951;;False
1376,21;2.22;PA002 ​;20250403_172829;1;F8W2;0,1619;1,4441;1,8829;0,0472;-0,0880;-0,0142;0,9949;;False
1376,22;2.24;PA002 ​;20250403_172829;1;F8W2;0,1615;1,4462;1,8961;0,0445;-0,0903;-0,0149;0,9948;;False
