Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
972,30;0.0;PA002 ​;20250403_172829;1;FO1;-0,0510;1,4502;0,2201;0,0608;-0,0161;-0,0727;0,9954;Collision avec Debut - Objet Parent SceneAnchor;False
972,33;0.03;PA002 ​;20250403_172829;1;FO1;-0,0506;1,4480;0,2409;0,0581;-0,0189;-0,0710;0,9956;Collision avec Debut - Objet Parent SceneAnchor;False
972,36;0.06;PA002 ​;20250403_172829;1;FO1;-0,0501;1,4461;0,2632;0,0548;-0,0221;-0,0711;0,9957;Collision avec Debut - Objet Parent SceneAnchor;False
972,38;0.08;PA002 ​;20250403_172829;1;FO1;-0,0489;1,4446;0,2873;0,0507;-0,0253;-0,0720;0,9958;Collision avec Debut - Objet Parent SceneAnchor;False
972,41;0.11;PA002 ​;20250403_172829;1;FO1;-0,0471;1,4434;0,3129;0,0440;-0,0283;-0,0721;0,9960;;False
972,44;0.14;PA002 ​;20250403_172829;1;FO1;-0,0447;1,4430;0,3395;0,0391;-0,0317;-0,0714;0,9962;;False
972,47;0.17;PA002 ​;20250403_172829;1;FO1;-0,0418;1,4470;0,3680;0,0390;-0,0353;-0,0697;0,9962;;False
972,49;0.19;PA002 ​;20250403_172829;1;FO1;-0,0388;1,4509;0,3964;0,0304;-0,0359;-0,0715;0,9963;;False
972,52;0.22;PA002 ​;20250403_172829;1;FO1;-0,0362;1,4566;0,4246;0,0318;-0,0356;-0,0717;0,9963;;False
972,55;0.25;PA002 ​;20250403_172829;1;FO1;-0,0338;1,4636;0,4527;0,0352;-0,0362;-0,0723;0,9961;;False
972,58;0.28;PA002 ​;20250403_172829;1;FO1;-0,0321;1,4700;0,4805;0,0322;-0,0372;-0,0743;0,9960;;False
972,61;0.31;PA002 ​;20250403_172829;1;FO1;-0,0309;1,4755;0,5082;0,0250;-0,0394;-0,0706;0,9964;;False
972,63;0.33;PA002 ​;20250403_172829;1;FO1;-0,0298;1,4795;0,5356;0,0175;-0,0420;-0,0659;0,9968;;False
972,66;0.36;PA002 ​;20250403_172829;1;FO1;-0,0291;1,4812;0,5627;0,0146;-0,0460;-0,0602;0,9970;;False
972,69;0.39;PA002 ​;20250403_172829;1;FO1;-0,0286;1,4822;0,5892;0,0184;-0,0512;-0,0578;0,9968;;False
972,72;0.42;PA002 ​;20250403_172829;1;FO1;-0,0281;1,4833;0,6161;0,0244;-0,0562;-0,0573;0,9965;;False
972,74;0.44;PA002 ​;20250403_172829;1;FO1;-0,0277;1,4836;0,6435;0,0289;-0,0605;-0,0563;0,9962;;False
972,77;0.47;PA002 ​;20250403_172829;1;FO1;-0,0274;1,4838;0,6713;0,0326;-0,0631;-0,0532;0,9961;;False
972,80;0.5;PA002 ​;20250403_172829;1;FO1;-0,0274;1,4826;0,6987;0,0380;-0,0657;-0,0483;0,9959;;False
972,83;0.53;PA002 ​;20250403_172829;1;FO1;-0,0272;1,4803;0,7261;0,0434;-0,0682;-0,0446;0,9957;;False
972,86;0.56;PA002 ​;20250403_172829;1;FO1;-0,0270;1,4770;0,7538;0,0482;-0,0702;-0,0425;0,9955;;False
972,88;0.58;PA002 ​;20250403_172829;1;FO1;-0,0269;1,4728;0,7818;0,0520;-0,0711;-0,0399;0,9953;;False
972,91;0.61;PA002 ​;20250403_172829;1;FO1;-0,0272;1,4681;0,8105;0,0522;-0,0722;-0,0359;0,9954;;False
972,94;0.64;PA002 ​;20250403_172829;1;FO1;-0,0277;1,4628;0,8393;0,0497;-0,0726;-0,0326;0,9956;;False
972,97;0.67;PA002 ​;20250403_172829;1;FO1;-0,0287;1,4571;0,8684;0,0478;-0,0715;-0,0312;0,9958;;False
972,99;0.69;PA002 ​;20250403_172829;1;FO1;-0,0300;1,4523;0,8981;0,0478;-0,0707;-0,0302;0,9959;;False
973,02;0.72;PA002 ​;20250403_172829;1;FO1;-0,0316;1,4478;0,9286;0,0465;-0,0698;-0,0307;0,9960;;False
973,05;0.75;PA002 ​;20250403_172829;1;FO1;-0,0337;1,4448;0,9601;0,0467;-0,0672;-0,0353;0,9960;;False
973,08;0.78;PA002 ​;20250403_172829;1;FO1;-0,0358;1,4498;0,9936;0,0586;-0,0638;-0,0390;0,9955;;False
973,11;0.81;PA002 ​;20250403_172829;1;FO1;-0,0380;1,4555;1,0277;0,0540;-0,0622;-0,0433;0,9957;;False
973,13;0.83;PA002 ​;20250403_172829;1;FO1;-0,0396;1,4604;1,0605;0,0474;-0,0618;-0,0471;0,9958;;False
973,16;0.86;PA002 ​;20250403_172829;1;FO1;-0,0406;1,4632;1,0913;0,0459;-0,0601;-0,0496;0,9959;;False
973,19;0.89;PA002 ​;20250403_172829;1;FO1;-0,0410;1,4663;1,1224;0,0447;-0,0565;-0,0502;0,9961;;False
973,22;0.92;PA002 ​;20250403_172829;1;FO1;-0,0406;1,4680;1,1518;0,0458;-0,0551;-0,0457;0,9964;;False
973,25;0.95;PA002 ​;20250403_172829;1;FO1;-0,0399;1,4697;1,1802;0,0581;-0,0558;-0,0436;0,9958;;False
973,27;0.97;PA002 ​;20250403_172829;1;FO1;-0,0389;1,4715;1,2077;0,0653;-0,0558;-0,0464;0,9952;;False
973,30;1.0;PA002 ​;20250403_172829;1;FO1;-0,0372;1,4738;1,2345;0,0650;-0,0543;-0,0539;0,9949;;False
973,33;1.03;PA002 ​;20250403_172829;1;FO1;-0,0353;1,4768;1,2612;0,0624;-0,0523;-0,0563;0,9951;;False
973,36;1.06;PA002 ​;20250403_172829;1;FO1;-0,0333;1,4790;1,2871;0,0629;-0,0515;-0,0554;0,9952;;False
973,38;1.08;PA002 ​;20250403_172829;1;FO1;-0,0313;1,4803;1,3125;0,0663;-0,0524;-0,0540;0,9950;;False
973,41;1.11;PA002 ​;20250403_172829;1;FO1;-0,0293;1,4806;1,3378;0,0692;-0,0544;-0,0566;0,9945;;False
973,44;1.14;PA002 ​;20250403_172829;1;FO1;-0,0271;1,4793;1,3629;0,0698;-0,0561;-0,0612;0,9941;;False
973,47;1.17;PA002 ​;20250403_172829;1;FO1;-0,0249;1,4772;1,3887;0,0686;-0,0568;-0,0647;0,9939;;False
973,50;1.2;PA002 ​;20250403_172829;1;FO1;-0,0227;1,4735;1,4145;0,0666;-0,0570;-0,0666;0,9939;;False
973,52;1.22;PA002 ​;20250403_172829;1;FO1;-0,0206;1,4672;1,4401;0,0687;-0,0572;-0,0690;0,9936;;False
973,55;1.25;PA002 ​;20250403_172829;1;FO1;-0,0184;1,4604;1,4662;0,0737;-0,0573;-0,0708;0,9931;Collision avec Chemin1 - Objet Parent Plot-Mousse1;False
973,58;1.28;PA002 ​;20250403_172829;1;FO1;-0,0163;1,4531;1,4933;0,0724;-0,0568;-0,0722;0,9931;Collision avec Chemin1 - Objet Parent Plot-Mousse1;False
973,59;1.29;PA002 ​;20250403_172829;1;FO1;-0,0152;1,4497;1,5077;0,0708;-0,0574;-0,0727;0,9932;Collision avec Chemin1 - Objet Parent Plot-Mousse1;False
973,61;1.31;PA002 ​;20250403_172829;1;FO1;-0,0139;1,4464;1,5225;0,0676;-0,0580;-0,0734;0,9933;Collision avec Chemin1 - Objet Parent Plot-Mousse1;False
973,63;1.33;PA002 ​;20250403_172829;1;FO1;-0,0105;1,4393;1,5532;0,0593;-0,0606;-0,0732;0,9937;Collision avec Chemin1 - Objet Parent Plot-Mousse1;False
