Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1099,27;0.0;PA002 ​;20250403_172829;1;FO2;0,0077;1,4974;-0,0301;-0,0586;-0,0495;-0,0608;0,9952;;False
1099,29;0.03;PA002 ​;20250403_172829;1;FO2;0,0078;1,4975;-0,0299;-0,0585;-0,0496;-0,0611;0,9952;;False
1099,34;0.07;PA002 ​;20250403_172829;1;FO2;0,0079;1,4974;-0,0296;-0,0583;-0,0495;-0,0609;0,9952;;False
1099,36;0.1;PA002 ​;20250403_172829;1;FO2;0,0079;1,4973;-0,0293;-0,0585;-0,0492;-0,0608;0,9952;;False
1099,39;0.13;PA002 ​;20250403_172829;1;FO2;0,0081;1,4974;-0,0290;-0,0587;-0,0490;-0,0610;0,9952;;False
1099,42;0.15;PA002 ​;20250403_172829;1;FO2;0,0082;1,4974;-0,0287;-0,0591;-0,0490;-0,0612;0,9952;;False
1099,45;0.18;PA002 ​;20250403_172829;1;FO2;0,0084;1,4975;-0,0283;-0,0593;-0,0490;-0,0614;0,9951;;False
1099,48;0.21;PA002 ​;20250403_172829;1;FO2;0,0087;1,4974;-0,0278;-0,0594;-0,0492;-0,0617;0,9951;;False
1099,50;0.24;PA002 ​;20250403_172829;1;FO2;0,0088;1,4974;-0,0273;-0,0592;-0,0492;-0,0619;0,9951;;False
1099,53;0.26;PA002 ​;20250403_172829;1;FO2;0,0090;1,4974;-0,0269;-0,0586;-0,0494;-0,0618;0,9951;;False
1099,54;0.28;PA002 ​;20250403_172829;1;FO2;0,0090;1,4974;-0,0266;-0,0583;-0,0496;-0,0619;0,9951;;False
1099,56;0.29;PA002 ​;20250403_172829;1;FO2;0,0091;1,4973;-0,0263;-0,0582;-0,0497;-0,0617;0,9952;;False
1099,57;0.3;PA002 ​;20250403_172829;1;FO2;0,0091;1,4972;-0,0261;-0,0582;-0,0500;-0,0614;0,9952;;False
1099,59;0.32;PA002 ​;20250403_172829;1;FO2;0,0091;1,4973;-0,0258;-0,0582;-0,0502;-0,0614;0,9952;;False
1099,60;0.33;PA002 ​;20250403_172829;1;FO2;0,0092;1,4973;-0,0255;-0,0581;-0,0505;-0,0620;0,9951;;False
1099,61;0.35;PA002 ​;20250403_172829;1;FO2;0,0092;1,4972;-0,0253;-0,0580;-0,0507;-0,0623;0,9951;;False
1099,63;0.36;PA002 ​;20250403_172829;1;FO2;0,0093;1,4971;-0,0250;-0,0576;-0,0510;-0,0620;0,9951;;False
1099,66;0.39;PA002 ​;20250403_172829;1;FO2;0,0094;1,4970;-0,0245;-0,0568;-0,0514;-0,0623;0,9951;;False
1099,67;0.4;PA002 ​;20250403_172829;1;FO2;0,0094;1,4970;-0,0242;-0,0564;-0,0515;-0,0623;0,9951;;False
1099,68;0.42;PA002 ​;20250403_172829;1;FO2;0,0095;1,4969;-0,0239;-0,0561;-0,0517;-0,0625;0,9951;;False
1099,71;0.44;PA002 ​;20250403_172829;1;FO2;0,0096;1,4967;-0,0235;-0,0555;-0,0513;-0,0627;0,9952;;False
1099,74;0.47;PA002 ​;20250403_172829;1;FO2;0,0097;1,4966;-0,0229;-0,0548;-0,0512;-0,0627;0,9952;;False
1099,77;0.5;PA002 ​;20250403_172829;1;FO2;0,0099;1,4965;-0,0223;-0,0543;-0,0511;-0,0625;0,9953;;False
1099,80;0.53;PA002 ​;20250403_172829;1;FO2;0,0099;1,4965;-0,0216;-0,0542;-0,0510;-0,0624;0,9953;;False
1099,82;0.56;PA002 ​;20250403_172829;1;FO2;0,0100;1,4963;-0,0211;-0,0538;-0,0512;-0,0626;0,9953;;False
1099,85;0.58;PA002 ​;20250403_172829;1;FO2;0,0100;1,4961;-0,0204;-0,0533;-0,0515;-0,0629;0,9953;;False
1099,86;0.6;PA002 ​;20250403_172829;1;FO2;0,0100;1,4961;-0,0201;-0,0530;-0,0516;-0,0629;0,9953;;False
1099,88;0.61;PA002 ​;20250403_172829;1;FO2;0,0101;1,4961;-0,0197;-0,0528;-0,0518;-0,0628;0,9953;;False
