Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1490,52;0.0;PA002 ​;20250403_172829;1;Marche;-0,0366;1,4305;0,3133;-0,0326;0,0536;0,0751;-0,9952;Collision avec Debut - Objet Parent SceneAnchor;False
1490,53;0.01;PA002 ​;20250403_172829;1;Marche;-0,0347;1,4289;0,3240;-0,0308;0,0526;0,0730;-0,9955;Collision avec Debut - Objet Parent SceneAnchor;False
1490,55;0.03;PA002 ​;20250403_172829;1;Marche;-0,0329;1,4277;0,3348;-0,0289;0,0517;0,0709;-0,9957;Collision avec Debut - Objet Parent SceneAnchor;False
1490,56;0.04;PA002 ​;20250403_172829;1;Marche;-0,0310;1,4273;0,3457;-0,0267;0,0511;0,0688;-0,9960;Collision avec Debut - Objet Parent SceneAnchor;False
1490,58;0.06;PA002 ​;20250403_172829;1;Marche;-0,0292;1,4279;0,3569;-0,0239;0,0507;0,0673;-0,9962;Collision avec Debut - Objet Parent SceneAnchor;False
1490,59;0.07;PA002 ​;20250403_172829;1;Marche;-0,0271;1,4308;0,3690;-0,0241;0,0509;0,0665;-0,9962;Collision avec Debut - Objet Parent SceneAnchor;False
1490,60;0.08;PA002 ​;20250403_172829;1;Marche;-0,0254;1,4332;0,3822;-0,0152;0,0499;0,0679;-0,9963;Collision avec Debut - Objet Parent SceneAnchor;False
1490,62;0.1;PA002 ​;20250403_172829;1;Marche;-0,0232;1,4359;0,3938;-0,0100;0,0489;0,0705;-0,9963;Collision avec Debut - Objet Parent SceneAnchor;False
1490,63;0.11;PA002 ​;20250403_172829;1;Marche;-0,0212;1,4394;0,4066;-0,0076;0,0485;0,0695;-0,9964;;False
1490,64;0.12;PA002 ​;20250403_172829;1;Marche;-0,0192;1,4437;0,4193;-0,0082;0,0486;0,0681;-0,9965;;False
1490,66;0.14;PA002 ​;20250403_172829;1;Marche;-0,0172;1,4484;0,4320;-0,0092;0,0490;0,0676;-0,9965;;False
1490,67;0.15;PA002 ​;20250403_172829;1;Marche;-0,0158;1,4531;0,4451;-0,0089;0,0490;0,0672;-0,9965;;False
1490,69;0.17;PA002 ​;20250403_172829;1;Marche;-0,0143;1,4579;0,4582;-0,0096;0,0492;0,0680;-0,9964;;False
1490,70;0.18;PA002 ​;20250403_172829;1;Marche;-0,0130;1,4625;0,4714;-0,0094;0,0495;0,0672;-0,9965;;False
1490,71;0.19;PA002 ​;20250403_172829;1;Marche;-0,0119;1,4663;0,4847;-0,0083;0,0500;0,0658;-0,9965;;False
1490,73;0.21;PA002 ​;20250403_172829;1;Marche;-0,0108;1,4693;0,4979;-0,0072;0,0506;0,0636;-0,9967;;False
1490,74;0.22;PA002 ​;20250403_172829;1;Marche;-0,0100;1,4719;0,5112;-0,0084;0,0517;0,0606;-0,9968;;False
1490,75;0.24;PA002 ​;20250403_172829;1;Marche;-0,0093;1,4743;0,5244;-0,0106;0,0528;0,0580;-0,9969;;False
1490,77;0.25;PA002 ​;20250403_172829;1;Marche;-0,0087;1,4765;0,5376;-0,0144;0,0545;0,0555;-0,9969;;False
1490,78;0.26;PA002 ​;20250403_172829;1;Marche;-0,0080;1,4785;0,5510;-0,0185;0,0563;0,0534;-0,9968;;False
1490,80;0.28;PA002 ​;20250403_172829;1;Marche;-0,0074;1,4804;0,5645;-0,0225;0,0585;0,0514;-0,9967;;False
1490,81;0.29;PA002 ​;20250403_172829;1;Marche;-0,0068;1,4822;0,5783;-0,0257;0,0610;0,0496;-0,9966;;False
1490,82;0.31;PA002 ​;20250403_172829;1;Marche;-0,0061;1,4835;0,5921;-0,0261;0,0639;0,0480;-0,9965;;False
1490,84;0.32;PA002 ​;20250403_172829;1;Marche;-0,0055;1,4842;0,6057;-0,0252;0,0667;0,0461;-0,9964;;False
1490,85;0.34;PA002 ​;20250403_172829;1;Marche;-0,0049;1,4846;0,6197;-0,0235;0,0699;0,0450;-0,9963;;False
1490,87;0.35;PA002 ​;20250403_172829;1;Marche;-0,0043;1,4847;0,6336;-0,0218;0,0728;0,0435;-0,9962;;False
1490,88;0.36;PA002 ​;20250403_172829;1;Marche;-0,0037;1,4843;0,6477;-0,0194;0,0759;0,0415;-0,9961;;False
1490,89;0.38;PA002 ​;20250403_172829;1;Marche;-0,0032;1,4834;0,6617;-0,0175;0,0789;0,0394;-0,9959;;False
1490,91;0.39;PA002 ​;20250403_172829;1;Marche;-0,0025;1,4821;0,6759;-0,0158;0,0820;0,0375;-0,9958;;False
1490,92;0.4;PA002 ​;20250403_172829;1;Marche;-0,0018;1,4802;0,6901;-0,0149;0,0845;0,0361;-0,9957;;False
1490,94;0.42;PA002 ​;20250403_172829;1;Marche;-0,0013;1,4780;0,7043;-0,0149;0,0863;0,0356;-0,9955;;False
1490,95;0.43;PA002 ​;20250403_172829;1;Marche;-0,0009;1,4755;0,7186;-0,0157;0,0877;0,0359;-0,9954;;False
1490,96;0.44;PA002 ​;20250403_172829;1;Marche;-0,0007;1,4726;0,7330;-0,0163;0,0888;0,0362;-0,9953;;False
1490,98;0.46;PA002 ​;20250403_172829;1;Marche;-0,0007;1,4700;0,7477;-0,0161;0,0892;0,0358;-0,9952;;False
1490,99;0.47;PA002 ​;20250403_172829;1;Marche;-0,0008;1,4676;0,7624;-0,0153;0,0889;0,0362;-0,9953;;False
1491,00;0.49;PA002 ​;20250403_172829;1;Marche;-0,0011;1,4651;0,7772;-0,0133;0,0881;0,0365;-0,9954;;False
1491,02;0.5;PA002 ​;20250403_172829;1;Marche;-0,0016;1,4627;0,7921;-0,0122;0,0871;0,0362;-0,9955;;False
1491,03;0.51;PA002 ​;20250403_172829;1;Marche;-0,0025;1,4609;0,8072;-0,0127;0,0860;0,0359;-0,9956;;False
1491,05;0.53;PA002 ​;20250403_172829;1;Marche;-0,0037;1,4589;0,8224;-0,0111;0,0848;0,0363;-0,9957;;False
1491,06;0.54;PA002 ​;20250403_172829;1;Marche;-0,0052;1,4569;0,8376;-0,0093;0,0836;0,0379;-0,9957;;False
1491,07;0.56;PA002 ​;20250403_172829;1;Marche;-0,0067;1,4551;0,8531;-0,0082;0,0822;0,0406;-0,9958;;False
1491,09;0.57;PA002 ​;20250403_172829;1;Marche;-0,0085;1,4536;0,8687;-0,0073;0,0805;0,0432;-0,9958;;False
1491,10;0.58;PA002 ​;20250403_172829;1;Marche;-0,0103;1,4529;0,8843;-0,0089;0,0786;0,0459;-0,9958;;False
1491,12;0.6;PA002 ​;20250403_172829;1;Marche;-0,0121;1,4545;0,9000;-0,0151;0,0767;0,0484;-0,9958;;False
1491,13;0.61;PA002 ​;20250403_172829;1;Marche;-0,0142;1,4586;0,9173;-0,0208;0,0739;0,0497;-0,9958;;False
1491,14;0.63;PA002 ​;20250403_172829;1;Marche;-0,0162;1,4610;0,9344;-0,0163;0,0721;0,0524;-0,9959;;False
1491,16;0.64;PA002 ​;20250403_172829;1;Marche;-0,0180;1,4640;0,9520;-0,0150;0,0715;0,0542;-0,9959;;False
1491,17;0.65;PA002 ​;20250403_172829;1;Marche;-0,0200;1,4662;0,9698;-0,0117;0,0708;0,0547;-0,9959;;False
