Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1637,62;0.0;PA002 ​;20250403_172829;1;Marche2;0,0039;1,5008;-0,0568;-0,0838;-0,0485;-0,0682;0,9930;;False
1637,67;0.04;PA002 ​;20250403_172829;1;Marche2;0,0046;1,5006;-0,0560;-0,0829;-0,0480;-0,0688;0,9930;;False
1637,68;0.05;PA002 ​;20250403_172829;1;Marche2;0,0048;1,5004;-0,0558;-0,0828;-0,0479;-0,0691;0,9930;;False
1637,69;0.07;PA002 ​;20250403_172829;1;Marche2;0,0051;1,5004;-0,0556;-0,0825;-0,0478;-0,0691;0,9930;;False
1637,71;0.09;PA002 ​;20250403_172829;1;Marche2;0,0053;1,5004;-0,0554;-0,0824;-0,0477;-0,0692;0,9931;;False
1637,73;0.11;PA002 ​;20250403_172829;1;Marche2;0,0056;1,5003;-0,0549;-0,0825;-0,0475;-0,0698;0,9930;;False
1637,75;0.12;PA002 ​;20250403_172829;1;Marche2;0,0057;1,5003;-0,0547;-0,0825;-0,0473;-0,0700;0,9930;;False
1637,76;0.14;PA002 ​;20250403_172829;1;Marche2;0,0059;1,5003;-0,0545;-0,0824;-0,0471;-0,0702;0,9930;;False
1637,78;0.15;PA002 ​;20250403_172829;1;Marche2;0,0061;1,5003;-0,0544;-0,0825;-0,0469;-0,0702;0,9930;;False
1637,79;0.17;PA002 ​;20250403_172829;1;Marche2;0,0062;1,5003;-0,0542;-0,0824;-0,0468;-0,0703;0,9930;;False
1637,80;0.18;PA002 ​;20250403_172829;1;Marche2;0,0063;1,5003;-0,0539;-0,0825;-0,0465;-0,0703;0,9930;;False
1637,82;0.19;PA002 ​;20250403_172829;1;Marche2;0,0064;1,5003;-0,0536;-0,0826;-0,0463;-0,0703;0,9930;;False
1637,83;0.21;PA002 ​;20250403_172829;1;Marche2;0,0064;1,5002;-0,0533;-0,0828;-0,0461;-0,0703;0,9930;;False
1637,85;0.22;PA002 ​;20250403_172829;1;Marche2;0,0065;1,5003;-0,0530;-0,0828;-0,0462;-0,0705;0,9930;;False
1637,86;0.24;PA002 ​;20250403_172829;1;Marche2;0,0066;1,5003;-0,0527;-0,0828;-0,0461;-0,0705;0,9930;;False
1637,87;0.25;PA002 ​;20250403_172829;1;Marche2;0,0066;1,5003;-0,0524;-0,0827;-0,0462;-0,0706;0,9930;;False
1637,89;0.26;PA002 ​;20250403_172829;1;Marche2;0,0067;1,5003;-0,0520;-0,0826;-0,0465;-0,0707;0,9930;;False
1637,90;0.28;PA002 ​;20250403_172829;1;Marche2;0,0066;1,5003;-0,0516;-0,0824;-0,0466;-0,0707;0,9930;;False
1637,92;0.29;PA002 ​;20250403_172829;1;Marche2;0,0067;1,5002;-0,0512;-0,0821;-0,0468;-0,0708;0,9930;;False
1637,93;0.3;PA002 ​;20250403_172829;1;Marche2;0,0067;1,5002;-0,0509;-0,0819;-0,0470;-0,0710;0,9930;;False
1637,94;0.32;PA002 ​;20250403_172829;1;Marche2;0,0068;1,5002;-0,0505;-0,0817;-0,0472;-0,0710;0,9930;;False
1637,96;0.33;PA002 ​;20250403_172829;1;Marche2;0,0068;1,5002;-0,0500;-0,0814;-0,0473;-0,0711;0,9930;;False
