Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1703,01;0.0;PA002 ​;20250403_172829;1;Marche2;0,0232;1,4933;-0,0707;0,0902;0,0591;0,0805;-0,9909;;False
1703,05;0.04;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4933;-0,0709;0,0897;0,0587;0,0806;-0,9910;;False
1703,07;0.06;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4932;-0,0710;0,0891;0,0587;0,0807;-0,9910;;False
1703,08;0.07;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4931;-0,0711;0,0886;0,0588;0,0805;-0,9911;;False
1703,09;0.08;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4931;-0,0712;0,0884;0,0588;0,0804;-0,9911;;False
1703,11;0.1;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4930;-0,0713;0,0881;0,0589;0,0802;-0,9911;;False
1703,12;0.11;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4930;-0,0714;0,0880;0,0589;0,0803;-0,9911;;False
1703,14;0.13;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4930;-0,0715;0,0881;0,0588;0,0804;-0,9911;;False
1703,15;0.14;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4930;-0,0715;0,0878;0,0589;0,0805;-0,9911;;False
1703,16;0.15;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4929;-0,0717;0,0875;0,0588;0,0803;-0,9912;;False
1703,18;0.17;PA002 ​;20250403_172829;1;Marche2;0,0229;1,4929;-0,0718;0,0871;0,0590;0,0803;-0,9912;;False
1703,19;0.18;PA002 ​;20250403_172829;1;Marche2;0,0229;1,4928;-0,0720;0,0869;0,0589;0,0803;-0,9912;;False
1703,21;0.19;PA002 ​;20250403_172829;1;Marche2;0,0229;1,4928;-0,0721;0,0870;0,0589;0,0804;-0,9912;;False
1703,22;0.21;PA002 ​;20250403_172829;1;Marche2;0,0228;1,4928;-0,0722;0,0868;0,0588;0,0806;-0,9912;;False
1703,23;0.22;PA002 ​;20250403_172829;1;Marche2;0,0228;1,4927;-0,0723;0,0865;0,0585;0,0805;-0,9913;;False
1703,25;0.24;PA002 ​;20250403_172829;1;Marche2;0,0229;1,4926;-0,0725;0,0862;0,0583;0,0803;-0,9913;;False
1703,26;0.25;PA002 ​;20250403_172829;1;Marche2;0,0229;1,4925;-0,0727;0,0859;0,0580;0,0801;-0,9914;;False
1703,27;0.26;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4924;-0,0730;0,0855;0,0578;0,0799;-0,9914;;False
1703,29;0.28;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4924;-0,0731;0,0853;0,0576;0,0797;-0,9915;;False
1703,30;0.29;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4923;-0,0732;0,0851;0,0577;0,0794;-0,9915;;False
1703,32;0.31;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4923;-0,0732;0,0852;0,0578;0,0790;-0,9915;;False
1703,33;0.32;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4923;-0,0733;0,0854;0,0579;0,0790;-0,9915;;False
1703,34;0.33;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4922;-0,0734;0,0854;0,0582;0,0790;-0,9915;;False
1703,36;0.35;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4921;-0,0735;0,0854;0,0585;0,0792;-0,9915;;False
1703,37;0.36;PA002 ​;20250403_172829;1;Marche2;0,0230;1,4921;-0,0735;0,0854;0,0588;0,0794;-0,9914;;False
1703,38;0.37;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4921;-0,0735;0,0853;0,0591;0,0795;-0,9914;;False
1703,40;0.39;PA002 ​;20250403_172829;1;Marche2;0,0231;1,4921;-0,0735;0,0855;0,0593;0,0798;-0,9914;;False
1703,41;0.4;PA002 ​;20250403_172829;1;Marche2;0,0233;1,4920;-0,0735;0,0858;0,0594;0,0799;-0,9913;;False
1703,43;0.42;PA002 ​;20250403_172829;1;Marche2;0,0234;1,4920;-0,0736;0,0860;0,0593;0,0800;-0,9913;;False
1703,44;0.43;PA002 ​;20250403_172829;1;Marche2;0,0235;1,4920;-0,0736;0,0864;0,0593;0,0800;-0,9913;;False
1703,45;0.44;PA002 ​;20250403_172829;1;Marche2;0,0236;1,4921;-0,0734;0,0869;0,0590;0,0799;-0,9912;;False
1703,47;0.46;PA002 ​;20250403_172829;1;Marche2;0,0238;1,4922;-0,0732;0,0875;0,0589;0,0801;-0,9912;;False
1703,48;0.47;PA002 ​;20250403_172829;1;Marche2;0,0239;1,4923;-0,0730;0,0882;0,0584;0,0802;-0,9912;;False
1703,50;0.49;PA002 ​;20250403_172829;1;Marche2;0,0240;1,4924;-0,0727;0,0889;0,0582;0,0804;-0,9911;;False
1703,51;0.5;PA002 ​;20250403_172829;1;Marche2;0,0241;1,4925;-0,0723;0,0898;0,0578;0,0806;-0,9910;;False
1703,52;0.51;PA002 ​;20250403_172829;1;Marche2;0,0242;1,4926;-0,0719;0,0905;0,0574;0,0809;-0,9909;;False
1703,54;0.53;PA002 ​;20250403_172829;1;Marche2;0,0242;1,4926;-0,0714;0,0912;0,0569;0,0814;-0,9909;;False
1703,55;0.54;PA002 ​;20250403_172829;1;Marche2;0,0243;1,4926;-0,0709;0,0917;0,0565;0,0814;-0,9908;;False
1703,57;0.56;PA002 ​;20250403_172829;1;Marche2;0,0244;1,4928;-0,0703;0,0921;0,0563;0,0808;-0,9909;;False
1703,58;0.57;PA002 ​;20250403_172829;1;Marche2;0,0244;1,4929;-0,0699;0,0925;0,0558;0,0804;-0,9909;;False
