Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1515,01;0.0;PA002 ​;20250403_172829;1;Marche;-0,0714;1,4276;0,3178;-0,0217;0,0731;0,0620;-0,9952;Collision avec Debut - Objet Parent SceneAnchor;False
1515,02;0.01;PA002 ​;20250403_172829;1;Marche;-0,0692;1,4280;0,3303;-0,0206;0,0735;0,0621;-0,9951;Collision avec Debut - Objet Parent SceneAnchor;False
1515,03;0.03;PA002 ​;20250403_172829;1;Marche;-0,0671;1,4283;0,3438;-0,0151;0,0734;0,0626;-0,9952;Collision avec Debut - Objet Parent SceneAnchor;False
1515,05;0.04;PA002 ​;20250403_172829;1;Marche;-0,0650;1,4293;0,3571;-0,0086;0,0728;0,0639;-0,9953;Collision avec Debut - Objet Parent SceneAnchor;False
1515,06;0.06;PA002 ​;20250403_172829;1;Marche;-0,0628;1,4317;0,3710;-0,0054;0,0726;0,0628;-0,9954;Collision avec Debut - Objet Parent SceneAnchor;False
1515,08;0.07;PA002 ​;20250403_172829;1;Marche;-0,0608;1,4349;0,3849;-0,0035;0,0726;0,0612;-0,9955;Collision avec Debut - Objet Parent SceneAnchor;False
1515,09;0.08;PA002 ​;20250403_172829;1;Marche;-0,0590;1,4388;0,3989;-0,0032;0,0722;0,0611;-0,9955;Collision avec Debut - Objet Parent SceneAnchor;False
1515,10;0.1;PA002 ​;20250403_172829;1;Marche;-0,0577;1,4432;0,4132;-0,0019;0,0713;0,0612;-0,9956;;False
1515,12;0.11;PA002 ​;20250403_172829;1;Marche;-0,0564;1,4482;0,4277;-0,0010;0,0703;0,0614;-0,9956;;False
1515,13;0.13;PA002 ​;20250403_172829;1;Marche;-0,0554;1,4535;0,4425;0,0010;0,0691;0,0612;-0,9957;;False
1515,14;0.14;PA002 ​;20250403_172829;1;Marche;-0,0547;1,4587;0,4573;0,0036;0,0677;0,0604;-0,9959;;False
1515,16;0.15;PA002 ​;20250403_172829;1;Marche;-0,0542;1,4630;0,4721;0,0069;0,0670;0,0587;-0,9960;;False
1515,17;0.17;PA002 ​;20250403_172829;1;Marche;-0,0539;1,4672;0,4869;0,0091;0,0665;0,0563;-0,9962;;False
1515,19;0.18;PA002 ​;20250403_172829;1;Marche;-0,0540;1,4706;0,5015;0,0104;0,0675;0,0526;-0,9963;;False
