Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
861,45;0.0;PA002 ​;20250403_172829;1;TUG2;-0,0228;1,1459;-0,4282;-0,0721;-0,0724;-0,0615;0,9929;;False
861,47;0.01;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1459;-0,4281;-0,0718;-0,0721;-0,0615;0,9929;;False
861,51;0.06;PA002 ​;20250403_172829;1;TUG2;-0,0225;1,1460;-0,4280;-0,0714;-0,0716;-0,0609;0,9930;;False
861,53;0.07;PA002 ​;20250403_172829;1;TUG2;-0,0225;1,1460;-0,4280;-0,0711;-0,0715;-0,0608;0,9930;;False
861,54;0.08;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1459;-0,4280;-0,0710;-0,0714;-0,0607;0,9931;;False
861,55;0.1;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1459;-0,4279;-0,0709;-0,0716;-0,0606;0,9931;;False
861,57;0.11;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1459;-0,4279;-0,0708;-0,0717;-0,0604;0,9931;;False
861,58;0.13;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1458;-0,4278;-0,0706;-0,0718;-0,0603;0,9931;;False
861,59;0.14;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1457;-0,4278;-0,0704;-0,0721;-0,0604;0,9931;;False
861,61;0.15;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1456;-0,4278;-0,0703;-0,0724;-0,0603;0,9931;;False
861,62;0.17;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1455;-0,4278;-0,0702;-0,0725;-0,0604;0,9931;;False
861,64;0.18;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1455;-0,4277;-0,0700;-0,0727;-0,0604;0,9931;;False
861,65;0.19;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1455;-0,4277;-0,0699;-0,0727;-0,0603;0,9931;;False
861,66;0.21;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1455;-0,4277;-0,0698;-0,0727;-0,0600;0,9931;;False
861,68;0.22;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1455;-0,4277;-0,0698;-0,0726;-0,0597;0,9931;;False
861,69;0.24;PA002 ​;20250403_172829;1;TUG2;-0,0225;1,1455;-0,4276;-0,0697;-0,0722;-0,0597;0,9932;;False
861,71;0.25;PA002 ​;20250403_172829;1;TUG2;-0,0224;1,1454;-0,4277;-0,0697;-0,0717;-0,0596;0,9932;;False
861,72;0.27;PA002 ​;20250403_172829;1;TUG2;-0,0224;1,1454;-0,4277;-0,0696;-0,0713;-0,0596;0,9932;;False
861,73;0.28;PA002 ​;20250403_172829;1;TUG2;-0,0223;1,1454;-0,4277;-0,0698;-0,0708;-0,0596;0,9933;;False
861,75;0.29;PA002 ​;20250403_172829;1;TUG2;-0,0222;1,1454;-0,4278;-0,0701;-0,0705;-0,0597;0,9933;;False
861,76;0.31;PA002 ​;20250403_172829;1;TUG2;-0,0222;1,1455;-0,4278;-0,0704;-0,0706;-0,0599;0,9932;;False
861,78;0.32;PA002 ​;20250403_172829;1;TUG2;-0,0222;1,1456;-0,4278;-0,0708;-0,0709;-0,0601;0,9931;;False
861,79;0.33;PA002 ​;20250403_172829;1;TUG2;-0,0222;1,1456;-0,4279;-0,0713;-0,0714;-0,0603;0,9931;;False
861,80;0.35;PA002 ​;20250403_172829;1;TUG2;-0,0222;1,1457;-0,4279;-0,0715;-0,0720;-0,0605;0,9930;;False
861,82;0.36;PA002 ​;20250403_172829;1;TUG2;-0,0223;1,1457;-0,4280;-0,0717;-0,0728;-0,0605;0,9929;;False
861,83;0.38;PA002 ​;20250403_172829;1;TUG2;-0,0224;1,1458;-0,4280;-0,0718;-0,0735;-0,0605;0,9929;;False
861,85;0.39;PA002 ​;20250403_172829;1;TUG2;-0,0226;1,1458;-0,4280;-0,0717;-0,0743;-0,0605;0,9928;;False
861,86;0.4;PA002 ​;20250403_172829;1;TUG2;-0,0227;1,1457;-0,4280;-0,0717;-0,0749;-0,0602;0,9928;;False
861,87;0.42;PA002 ​;20250403_172829;1;TUG2;-0,0228;1,1458;-0,4280;-0,0718;-0,0754;-0,0599;0,9928;;False
861,89;0.43;PA002 ​;20250403_172829;1;TUG2;-0,0228;1,1458;-0,4280;-0,0724;-0,0755;-0,0594;0,9927;;False
861,90;0.45;PA002 ​;20250403_172829;1;TUG2;-0,0229;1,1460;-0,4280;-0,0732;-0,0754;-0,0587;0,9927;;False
861,91;0.46;PA002 ​;20250403_172829;1;TUG2;-0,0229;1,1462;-0,4281;-0,0740;-0,0751;-0,0581;0,9927;;False
861,93;0.47;PA002 ​;20250403_172829;1;TUG2;-0,0228;1,1463;-0,4282;-0,0749;-0,0748;-0,0577;0,9927;;False
861,94;0.49;PA002 ​;20250403_172829;1;TUG2;-0,0228;1,1465;-0,4283;-0,0758;-0,0745;-0,0574;0,9927;;False
861,96;0.5;PA002 ​;20250403_172829;1;TUG2;-0,0229;1,1467;-0,4284;-0,0766;-0,0742;-0,0572;0,9927;;False
861,97;0.51;PA002 ​;20250403_172829;1;TUG2;-0,0231;1,1469;-0,4284;-0,0785;-0,0743;-0,0573;0,9925;;False
861,98;0.53;PA002 ​;20250403_172829;1;TUG2;-0,0231;1,1473;-0,4285;-0,0811;-0,0743;-0,0572;0,9923;;False
