Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
318,83;0.0;PA004​;20250404_101506;1;FO1;-0,0818;1,4484;0,1878;0,1016;-0,0686;0,0090;0,9924;Collision avec Debut - Objet Parent SceneAnchor;False
318,86;0.03;PA004​;20250404_101506;1;FO1;-0,0785;1,4468;0,1924;0,1090;-0,0628;0,0094;0,9920;Collision avec Debut - Objet Parent SceneAnchor;False
318,89;0.06;PA004​;20250404_101506;1;FO1;-0,0753;1,4447;0,1981;0,1114;-0,0567;0,0076;0,9921;Collision avec Debut - Objet Parent SceneAnchor;False
318,92;0.08;PA004​;20250404_101506;1;FO1;-0,0723;1,4416;0,2046;0,1274;-0,0522;0,0071;0,9905;Collision avec Debut - Objet Parent SceneAnchor;False
318,95;0.11;PA004​;20250404_101506;1;FO1;-0,0691;1,4353;0,2095;0,1554;-0,0473;0,0041;0,9867;Collision avec Debut - Objet Parent SceneAnchor;False
318,97;0.14;PA004​;20250404_101506;1;FO1;-0,0661;1,4308;0,2150;0,1791;-0,0404;0,0020;0,9830;Collision avec Debut - Objet Parent SceneAnchor;False
319,00;0.17;PA004​;20250404_101506;1;FO1;-0,0632;1,4251;0,2205;0,1992;-0,0336;0,0024;0,9794;Collision avec Debut - Objet Parent SceneAnchor;False
319,03;0.2;PA004​;20250404_101506;1;FO1;-0,0608;1,4185;0,2256;0,2250;-0,0252;0,0046;0,9740;Collision avec Debut - Objet Parent SceneAnchor;False
319,06;0.22;PA004​;20250404_101506;1;FO1;-0,0588;1,4137;0,2309;0,2450;-0,0164;0,0059;0,9694;Collision avec Debut - Objet Parent SceneAnchor;False
319,08;0.25;PA004​;20250404_101506;1;FO1;-0,0574;1,4090;0,2362;0,2613;-0,0101;0,0097;0,9652;Collision avec Debut - Objet Parent SceneAnchor;False
319,11;0.28;PA004​;20250404_101506;1;FO1;-0,0566;1,4045;0,2417;0,2779;-0,0062;0,0136;0,9605;Collision avec Debut - Objet Parent SceneAnchor;False
319,14;0.31;PA004​;20250404_101506;1;FO1;-0,0566;1,4001;0,2475;0,2954;-0,0048;0,0159;0,9552;Collision avec Debut - Objet Parent SceneAnchor;False
