Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1130,20;0.0;PA018 ​;20250516_161109;1;F8W2;0,0139;1,6291;1,1235;-0,0430;-0,0095;-0,0106;-0,9990;;False
1130,22;0.01;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6290;1,1236;-0,0431;-0,0098;-0,0108;-0,9990;;False
1130,26;0.06;PA018 ​;20250516_161109;1;F8W2;0,0141;1,6289;1,1239;-0,0435;-0,0104;-0,0108;-0,9989;;False
1130,27;0.07;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6289;1,1241;-0,0434;-0,0104;-0,0108;-0,9989;;False
1130,29;0.08;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6289;1,1242;-0,0434;-0,0105;-0,0108;-0,9989;;False
1130,30;0.1;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6289;1,1243;-0,0434;-0,0104;-0,0108;-0,9989;;False
1130,31;0.11;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6289;1,1244;-0,0435;-0,0103;-0,0109;-0,9989;;False
1130,33;0.12;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6290;1,1245;-0,0434;-0,0102;-0,0108;-0,9989;;False
1130,34;0.14;PA018 ​;20250516_161109;1;F8W2;0,0140;1,6290;1,1246;-0,0434;-0,0100;-0,0108;-0,9989;;False
1130,35;0.15;PA018 ​;20250516_161109;1;F8W2;0,0139;1,6290;1,1247;-0,0433;-0,0099;-0,0107;-0,9990;;False
1130,37;0.17;PA018 ​;20250516_161109;1;F8W2;0,0139;1,6291;1,1248;-0,0431;-0,0098;-0,0108;-0,9990;;False
1130,38;0.18;PA018 ​;20250516_161109;1;F8W2;0,0139;1,6291;1,1249;-0,0429;-0,0099;-0,0109;-0,9990;;False
1130,40;0.19;PA018 ​;20250516_161109;1;F8W2;0,0138;1,6292;1,1250;-0,0428;-0,0098;-0,0108;-0,9990;;False
1130,41;0.21;PA018 ​;20250516_161109;1;F8W2;0,0138;1,6292;1,1251;-0,0427;-0,0098;-0,0108;-0,9990;;False
1130,42;0.22;PA018 ​;20250516_161109;1;F8W2;0,0138;1,6292;1,1251;-0,0426;-0,0099;-0,0109;-0,9990;;False
1130,44;0.24;PA018 ​;20250516_161109;1;F8W2;0,0138;1,6293;1,1252;-0,0426;-0,0099;-0,0110;-0,9990;;False
1130,45;0.25;PA018 ​;20250516_161109;1;F8W2;0,0138;1,6293;1,1252;-0,0426;-0,0099;-0,0110;-0,9990;;False
1130,47;0.26;PA018 ​;20250516_161109;1;F8W2;0,0137;1,6293;1,1254;-0,0427;-0,0099;-0,0110;-0,9990;;False
1130,48;0.28;PA018 ​;20250516_161109;1;F8W2;0,0137;1,6292;1,1255;-0,0429;-0,0099;-0,0111;-0,9990;;False
1130,49;0.29;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6291;1,1257;-0,0433;-0,0099;-0,0112;-0,9989;;False
1130,51;0.31;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6290;1,1258;-0,0436;-0,0099;-0,0110;-0,9989;;False
1130,52;0.32;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6289;1,1260;-0,0439;-0,0097;-0,0111;-0,9989;;False
1130,54;0.33;PA018 ​;20250516_161109;1;F8W2;0,0135;1,6288;1,1261;-0,0442;-0,0096;-0,0111;-0,9989;;False
1130,55;0.35;PA018 ​;20250516_161109;1;F8W2;0,0135;1,6287;1,1263;-0,0444;-0,0097;-0,0112;-0,9989;;False
1130,56;0.36;PA018 ​;20250516_161109;1;F8W2;0,0135;1,6287;1,1265;-0,0446;-0,0098;-0,0112;-0,9989;;False
1130,58;0.38;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6287;1,1267;-0,0446;-0,0097;-0,0114;-0,9989;;False
1130,59;0.39;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6286;1,1269;-0,0447;-0,0099;-0,0113;-0,9989;;False
1130,61;0.4;PA018 ​;20250516_161109;1;F8W2;0,0136;1,6286;1,1272;-0,0448;-0,0101;-0,0114;-0,9989;;False
