Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
501,66;0.0;PA018 ​;20250516_161109;1;Marche;0,0290;1,5298;0,2983;0,0739;0,0090;0,0190;0,9970;Collision avec Debut - Objet Parent SceneAnchor;False
501,68;0.02;PA018 ​;20250516_161109;1;Marche;0,0317;1,5263;0,3059;0,0757;0,0087;0,0183;0,9969;Collision avec Debut - Objet Parent SceneAnchor;False
501,69;0.03;PA018 ​;20250516_161109;1;Marche;0,0342;1,5227;0,3138;0,0776;0,0086;0,0174;0,9968;Collision avec Debut - Objet Parent SceneAnchor;False
501,70;0.04;PA018 ​;20250516_161109;1;Marche;0,0367;1,5190;0,3225;0,0806;0,0083;0,0162;0,9966;Collision avec Debut - Objet Parent SceneAnchor;False
501,72;0.06;PA018 ​;20250516_161109;1;Marche;0,0390;1,5150;0,3318;0,0839;0,0082;0,0154;0,9963;Collision avec Debut - Objet Parent SceneAnchor;False
501,73;0.07;PA018 ​;20250516_161109;1;Marche;0,0413;1,5110;0,3421;0,0891;0,0079;0,0145;0,9959;Collision avec Debut - Objet Parent SceneAnchor;False
501,75;0.08;PA018 ​;20250516_161109;1;Marche;0,0434;1,5067;0,3526;0,0939;0,0088;0,0139;0,9954;Collision avec Debut - Objet Parent SceneAnchor;False
501,76;0.1;PA018 ​;20250516_161109;1;Marche;0,0453;1,5029;0,3635;0,0987;0,0099;0,0142;0,9950;Collision avec Debut - Objet Parent SceneAnchor;False
501,77;0.11;PA018 ​;20250516_161109;1;Marche;0,0471;1,4990;0,3748;0,1031;0,0107;0,0151;0,9945;Collision avec Debut - Objet Parent SceneAnchor;False
501,79;0.13;PA018 ​;20250516_161109;1;Marche;0,0487;1,4955;0,3866;0,1065;0,0105;0,0163;0,9941;Collision avec Debut - Objet Parent SceneAnchor;False
501,80;0.14;PA018 ​;20250516_161109;1;Marche;0,0498;1,4928;0,3987;0,1088;0,0098;0,0168;0,9939;Collision avec Debut - Objet Parent SceneAnchor;False
501,81;0.15;PA018 ​;20250516_161109;1;Marche;0,0510;1,4902;0,4111;0,1110;0,0090;0,0160;0,9937;Collision avec Debut - Objet Parent SceneAnchor;False
501,83;0.17;PA018 ​;20250516_161109;1;Marche;0,0521;1,4875;0,4238;0,1126;0,0077;0,0140;0,9935;;False
501,84;0.18;PA018 ​;20250516_161109;1;Marche;0,0530;1,4848;0,4367;0,1143;0,0067;0,0119;0,9934;;False
501,86;0.2;PA018 ​;20250516_161109;1;Marche;0,0537;1,4817;0,4496;0,1160;0,0056;0,0109;0,9932;;False
501,87;0.21;PA018 ​;20250516_161109;1;Marche;0,0543;1,4785;0,4625;0,1174;0,0049;0,0103;0,9930;;False
501,88;0.22;PA018 ​;20250516_161109;1;Marche;0,0547;1,4750;0,4755;0,1200;0,0040;0,0103;0,9927;;False
501,90;0.24;PA018 ​;20250516_161109;1;Marche;0,0551;1,4717;0,4884;0,1220;0,0029;0,0104;0,9925;;False
501,91;0.25;PA018 ​;20250516_161109;1;Marche;0,0553;1,4689;0,5009;0,1219;0,0024;0,0110;0,9925;;False
501,93;0.26;PA018 ​;20250516_161109;1;Marche;0,0556;1,4660;0,5133;0,1220;0,0018;0,0116;0,9925;;False
501,94;0.28;PA018 ​;20250516_161109;1;Marche;0,0559;1,4631;0,5258;0,1226;0,0012;0,0119;0,9924;;False
501,95;0.29;PA018 ​;20250516_161109;1;Marche;0,0561;1,4603;0,5381;0,1238;0,0010;0,0121;0,9922;;False
501,97;0.31;PA018 ​;20250516_161109;1;Marche;0,0563;1,4572;0,5505;0,1256;0,0010;0,0117;0,9920;;False
501,98;0.32;PA018 ​;20250516_161109;1;Marche;0,0564;1,4541;0,5630;0,1290;0,0011;0,0113;0,9916;;False
502,00;0.33;PA018 ​;20250516_161109;1;Marche;0,0564;1,4511;0,5754;0,1322;0,0010;0,0112;0,9912;;False
502,01;0.35;PA018 ​;20250516_161109;1;Marche;0,0561;1,4484;0,5881;0,1350;0,0004;0,0109;0,9908;;False
502,02;0.36;PA018 ​;20250516_161109;1;Marche;0,0555;1,4469;0,6009;0,1340;-0,0004;0,0105;0,9909;;False
502,04;0.38;PA018 ​;20250516_161109;1;Marche;0,0549;1,4462;0,6140;0,1320;-0,0018;0,0104;0,9912;;False
502,05;0.39;PA018 ​;20250516_161109;1;Marche;0,0543;1,4458;0,6272;0,1286;-0,0025;0,0102;0,9916;;False
502,06;0.4;PA018 ​;20250516_161109;1;Marche;0,0535;1,4458;0,6409;0,1253;-0,0021;0,0100;0,9921;;False
502,08;0.42;PA018 ​;20250516_161109;1;Marche;0,0525;1,4462;0,6552;0,1218;-0,0020;0,0102;0,9925;;False
502,09;0.43;PA018 ​;20250516_161109;1;Marche;0,0514;1,4469;0,6702;0,1195;-0,0019;0,0116;0,9928;;False
502,11;0.45;PA018 ​;20250516_161109;1;Marche;0,0501;1,4483;0,6871;0,1190;-0,0024;0,0125;0,9928;;False
502,12;0.46;PA018 ​;20250516_161109;1;Marche;0,0484;1,4489;0,7027;0,1218;-0,0030;0,0128;0,9925;;False
502,13;0.47;PA018 ​;20250516_161109;1;Marche;0,0467;1,4495;0,7196;0,1221;-0,0053;0,0131;0,9924;;False
502,15;0.49;PA018 ​;20250516_161109;1;Marche;0,0454;1,4528;0,7365;0,1276;-0,0083;0,0149;0,9917;;False
502,16;0.5;PA018 ​;20250516_161109;1;Marche;0,0446;1,4557;0,7533;0,1276;-0,0104;0,0153;0,9916;;False
502,18;0.52;PA018 ​;20250516_161109;1;Marche;0,0445;1,4589;0,7701;0,1273;-0,0101;0,0144;0,9917;;False
502,19;0.53;PA018 ​;20250516_161109;1;Marche;0,0447;1,4623;0,7866;0,1255;-0,0083;0,0135;0,9920;;False
502,20;0.54;PA018 ​;20250516_161109;1;Marche;0,0453;1,4650;0,8034;0,1215;-0,0056;0,0122;0,9925;;False
