Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
796,85;0.0;PA018 ​;20250516_161109;1;Marche2;0,0024;1,5833;0,0845;-0,0445;-0,0055;0,0156;0,9989;;False
796,89;0.04;PA018 ​;20250516_161109;1;Marche2;0,0021;1,5832;0,0849;-0,0440;-0,0056;0,0157;0,9989;;False
796,91;0.05;PA018 ​;20250516_161109;1;Marche2;0,0021;1,5832;0,0850;-0,0439;-0,0055;0,0157;0,9989;;False
796,92;0.07;PA018 ​;20250516_161109;1;Marche2;0,0021;1,5832;0,0851;-0,0439;-0,0054;0,0156;0,9989;;False
796,94;0.08;PA018 ​;20250516_161109;1;Marche2;0,0022;1,5831;0,0853;-0,0436;-0,0052;0,0155;0,9989;;False
796,95;0.1;PA018 ​;20250516_161109;1;Marche2;0,0022;1,5831;0,0854;-0,0435;-0,0050;0,0154;0,9989;;False
796,96;0.11;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5830;0,0856;-0,0432;-0,0047;0,0154;0,9989;;False
796,98;0.13;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5830;0,0857;-0,0432;-0,0046;0,0153;0,9989;;False
796,99;0.14;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5830;0,0859;-0,0431;-0,0044;0,0152;0,9989;;False
797,00;0.15;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5830;0,0861;-0,0431;-0,0043;0,0151;0,9989;;False
797,02;0.17;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5829;0,0862;-0,0431;-0,0043;0,0151;0,9989;;False
797,03;0.18;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5829;0,0864;-0,0431;-0,0043;0,0152;0,9989;;False
797,05;0.19;PA018 ​;20250516_161109;1;Marche2;0,0023;1,5829;0,0865;-0,0432;-0,0044;0,0152;0,9989;;False
797,06;0.21;PA018 ​;20250516_161109;1;Marche2;0,0022;1,5829;0,0865;-0,0433;-0,0044;0,0152;0,9989;;False
797,07;0.22;PA018 ​;20250516_161109;1;Marche2;0,0021;1,5829;0,0867;-0,0433;-0,0046;0,0152;0,9989;;False
797,09;0.23;PA018 ​;20250516_161109;1;Marche2;0,0020;1,5829;0,0868;-0,0433;-0,0048;0,0151;0,9989;;False
797,10;0.25;PA018 ​;20250516_161109;1;Marche2;0,0019;1,5828;0,0870;-0,0433;-0,0050;0,0151;0,9989;;False
797,12;0.26;PA018 ​;20250516_161109;1;Marche2;0,0018;1,5828;0,0872;-0,0433;-0,0053;0,0151;0,9989;;False
797,13;0.28;PA018 ​;20250516_161109;1;Marche2;0,0017;1,5827;0,0874;-0,0431;-0,0055;0,0152;0,9989;;False
