Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
576,38;0.0;PA018 ​;20250516_161109;1;Marche;0,0510;1,6123;0,2934;0,1757;-0,0068;0,0019;0,9844;Collision avec Debut - Objet Parent SceneAnchor;False
576,39;0.01;PA018 ​;20250516_161109;1;Marche;0,0517;1,6095;0,2982;0,1750;-0,0051;-0,0044;0,9845;Collision avec Debut - Objet Parent SceneAnchor;False
576,41;0.03;PA018 ​;20250516_161109;1;Marche;0,0524;1,6057;0,3043;0,1797;-0,0036;-0,0061;0,9837;Collision avec Debut - Objet Parent SceneAnchor;False
576,42;0.04;PA018 ​;20250516_161109;1;Marche;0,0529;1,6018;0,3108;0,1847;-0,0022;-0,0041;0,9828;Collision avec Debut - Objet Parent SceneAnchor;False
576,44;0.06;PA018 ​;20250516_161109;1;Marche;0,0531;1,6000;0,3183;0,1859;-0,0010;-0,0012;0,9826;Collision avec Debut - Objet Parent SceneAnchor;False
576,45;0.07;PA018 ​;20250516_161109;1;Marche;0,0531;1,5985;0,3261;0,1851;0,0002;0,0017;0,9827;Collision avec Debut - Objet Parent SceneAnchor;False
576,46;0.08;PA018 ​;20250516_161109;1;Marche;0,0529;1,5972;0,3344;0,1852;0,0010;0,0027;0,9827;Collision avec Debut - Objet Parent SceneAnchor;False
576,48;0.1;PA018 ​;20250516_161109;1;Marche;0,0523;1,5965;0,3433;0,1831;0,0015;0,0036;0,9831;Collision avec Debut - Objet Parent SceneAnchor;False
576,49;0.11;PA018 ​;20250516_161109;1;Marche;0,0516;1,5954;0,3522;0,1784;0,0012;0,0046;0,9840;Collision avec Debut - Objet Parent SceneAnchor;False
576,51;0.13;PA018 ​;20250516_161109;1;Marche;0,0507;1,5937;0,3615;0,1763;0,0011;0,0052;0,9843;Collision avec Debut - Objet Parent SceneAnchor;False
576,52;0.14;PA018 ​;20250516_161109;1;Marche;0,0499;1,5916;0,3710;0,1751;0,0016;0,0062;0,9845;Collision avec Debut - Objet Parent SceneAnchor;False
576,53;0.15;PA018 ​;20250516_161109;1;Marche;0,0488;1,5890;0,3805;0,1751;0,0025;0,0082;0,9845;Collision avec Debut - Objet Parent SceneAnchor;False
576,55;0.17;PA018 ​;20250516_161109;1;Marche;0,0475;1,5855;0,3905;0,1765;0,0030;0,0102;0,9842;Collision avec Debut - Objet Parent SceneAnchor;False
576,56;0.18;PA018 ​;20250516_161109;1;Marche;0,0461;1,5818;0,4006;0,1784;0,0030;0,0114;0,9839;Collision avec Debut - Objet Parent SceneAnchor;False
576,58;0.2;PA018 ​;20250516_161109;1;Marche;0,0446;1,5782;0,4111;0,1797;0,0025;0,0115;0,9837;Collision avec Debut - Objet Parent SceneAnchor;False
576,59;0.21;PA018 ​;20250516_161109;1;Marche;0,0429;1,5749;0,4220;0,1796;0,0022;0,0115;0,9837;;False
576,60;0.22;PA018 ​;20250516_161109;1;Marche;0,0411;1,5719;0,4329;0,1775;0,0017;0,0118;0,9840;;False
576,62;0.24;PA018 ​;20250516_161109;1;Marche;0,0392;1,5695;0,4440;0,1739;0,0014;0,0126;0,9847;;False
576,63;0.25;PA018 ​;20250516_161109;1;Marche;0,0371;1,5668;0,4554;0,1721;0,0023;0,0137;0,9850;;False
576,64;0.26;PA018 ​;20250516_161109;1;Marche;0,0346;1,5642;0,4672;0,1707;0,0038;0,0144;0,9852;;False
576,66;0.28;PA018 ​;20250516_161109;1;Marche;0,0313;1,5621;0,4792;0,1686;0,0049;0,0161;0,9855;;False
576,67;0.29;PA018 ​;20250516_161109;1;Marche;0,0277;1,5598;0,4915;0,1682;0,0054;0,0179;0,9856;;False
576,69;0.31;PA018 ​;20250516_161109;1;Marche;0,0237;1,5575;0,5044;0,1691;0,0046;0,0207;0,9854;;False
576,70;0.32;PA018 ​;20250516_161109;1;Marche;0,0194;1,5555;0,5178;0,1703;0,0029;0,0252;0,9851;;False
576,71;0.33;PA018 ​;20250516_161109;1;Marche;0,0151;1,5535;0,5319;0,1713;0,0012;0,0277;0,9848;;False
576,73;0.35;PA018 ​;20250516_161109;1;Marche;0,0106;1,5523;0,5468;0,1721;-0,0009;0,0293;0,9846;;False
576,74;0.36;PA018 ​;20250516_161109;1;Marche;0,0062;1,5516;0,5623;0,1721;-0,0029;0,0303;0,9846;;False
576,76;0.38;PA018 ​;20250516_161109;1;Marche;0,0017;1,5518;0,5785;0,1711;-0,0045;0,0301;0,9848;;False
576,77;0.39;PA018 ​;20250516_161109;1;Marche;-0,0029;1,5527;0,5953;0,1676;-0,0052;0,0302;0,9854;;False
576,78;0.4;PA018 ​;20250516_161109;1;Marche;-0,0079;1,5546;0,6131;0,1632;-0,0038;0,0310;0,9861;;False
576,80;0.42;PA018 ​;20250516_161109;1;Marche;-0,0137;1,5571;0,6323;0,1605;-0,0042;0,0319;0,9865;;False
576,81;0.43;PA018 ​;20250516_161109;1;Marche;-0,0202;1,5582;0,6506;0,1561;-0,0077;0,0345;0,9871;;False
576,82;0.45;PA018 ​;20250516_161109;1;Marche;-0,0266;1,5599;0,6705;0,1572;-0,0141;0,0386;0,9867;;False
576,84;0.46;PA018 ​;20250516_161109;1;Marche;-0,0324;1,5622;0,6907;0,1614;-0,0195;0,0431;0,9857;;False
576,85;0.47;PA018 ​;20250516_161109;1;Marche;-0,0373;1,5646;0,7106;0,1636;-0,0214;0,0465;0,9852;;False
576,87;0.49;PA018 ​;20250516_161109;1;Marche;-0,0416;1,5672;0,7305;0,1640;-0,0223;0,0476;0,9851;;False
576,88;0.5;PA018 ​;20250516_161109;1;Marche;-0,0457;1,5696;0,7503;0,1623;-0,0227;0,0482;0,9853;;False
576,90;0.52;PA018 ​;20250516_161109;1;Marche;-0,0490;1,5716;0,7706;0,1602;-0,0241;0,0488;0,9856;;False
576,91;0.53;PA018 ​;20250516_161109;1;Marche;-0,0517;1,5733;0,7912;0,1600;-0,0256;0,0499;0,9855;;False
576,92;0.54;PA018 ​;20250516_161109;1;Marche;-0,0537;1,5743;0,8121;0,1612;-0,0268;0,0496;0,9853;;False
576,94;0.56;PA018 ​;20250516_161109;1;Marche;-0,0553;1,5748;0,8333;0,1639;-0,0270;0,0478;0,9850;;False
576,95;0.57;PA018 ​;20250516_161109;1;Marche;-0,0563;1,5750;0,8550;0,1694;-0,0257;0,0442;0,9842;;False
576,96;0.58;PA018 ​;20250516_161109;1;Marche;-0,0567;1,5754;0,8767;0,1733;-0,0231;0,0429;0,9837;;False
