Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1179,14;0.0;PA019​;20250526_093943;1;F8W1;-0,1404;1,2878;1,5454;-0,0077;0,0162;0,0114;0,9998;Collision avec Debut - Objet Parent SceneAnchor;False
1179,15;0.01;PA019​;20250526_093943;1;F8W1;-0,1429;1,2876;1,5535;-0,0051;0,0124;0,0138;0,9998;Collision avec Debut - Objet Parent SceneAnchor;False
1179,17;0.03;PA019​;20250526_093943;1;F8W1;-0,1450;1,2875;1,5614;-0,0035;0,0075;0,0166;0,9998;Collision avec Debut - Objet Parent SceneAnchor;False
1179,18;0.04;PA019​;20250526_093943;1;F8W1;-0,1469;1,2876;1,5692;-0,0021;0,0027;0,0184;0,9998;Collision avec Debut - Objet Parent SceneAnchor;False
1179,20;0.06;PA019​;20250526_093943;1;F8W1;-0,1482;1,2876;1,5769;-0,0011;-0,0025;0,0191;0,9998;Collision avec Debut - Objet Parent SceneAnchor;False
1179,21;0.07;PA019​;20250526_093943;1;F8W1;-0,1489;1,2877;1,5846;-0,0009;-0,0076;0,0179;0,9998;;False
1179,24;0.1;PA019​;20250526_093943;1;F8W1;-0,1488;1,2878;1,6000;0,0004;-0,0168;0,0157;0,9997;;False
1179,25;0.11;PA019​;20250526_093943;1;F8W1;-0,1477;1,2875;1,6073;0,0043;-0,0203;0,0125;0,9997;;False
1179,27;0.13;PA019​;20250526_093943;1;F8W1;-0,1463;1,2871;1,6145;0,0127;-0,0221;0,0082;0,9996;;False
1179,28;0.14;PA019​;20250526_093943;1;F8W1;-0,1445;1,2864;1,6216;0,0250;-0,0235;0,0035;0,9994;;False
1179,29;0.15;PA019​;20250526_093943;1;F8W1;-0,1426;1,2852;1,6283;0,0461;-0,0233;-0,0024;0,9987;;False
1179,31;0.17;PA019​;20250526_093943;1;F8W1;-0,1409;1,2838;1,6351;0,0681;-0,0230;-0,0071;0,9974;;False
1179,32;0.18;PA019​;20250526_093943;1;F8W1;-0,1393;1,2820;1,6418;0,0929;-0,0230;-0,0099;0,9954;;False
1179,34;0.19;PA019​;20250526_093943;1;F8W1;-0,1381;1,2803;1,6485;0,1179;-0,0235;-0,0101;0,9927;;False
1179,35;0.21;PA019​;20250526_093943;1;F8W1;-0,1375;1,2783;1,6547;0,1419;-0,0243;-0,0098;0,9895;;False
1179,36;0.22;PA019​;20250526_093943;1;F8W1;-0,1378;1,2762;1,6608;0,1658;-0,0240;-0,0114;0,9858;;False
1179,38;0.24;PA019​;20250526_093943;1;F8W1;-0,1386;1,2741;1,6669;0,1874;-0,0237;-0,0120;0,9819;;False
1179,39;0.25;PA019​;20250526_093943;1;F8W1;-0,1393;1,2718;1,6726;0,2087;-0,0224;-0,0107;0,9777;;False
1179,40;0.26;PA019​;20250526_093943;1;F8W1;-0,1402;1,2693;1,6778;0,2280;-0,0200;-0,0063;0,9734;;False
1179,42;0.28;PA019​;20250526_093943;1;F8W1;-0,1412;1,2674;1,6832;0,2461;-0,0174;-0,0001;0,9691;;False
1179,43;0.29;PA019​;20250526_093943;1;F8W1;-0,1429;1,2656;1,6891;0,2612;-0,0138;0,0037;0,9652;;False
