Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
463,82;0.0;PA019​;20250526_093943;1;TUG1;0,0106;1,1137;0,0339;-0,0889;0,0433;-0,0063;-0,9951;;False
463,83;0.01;PA019​;20250526_093943;1;TUG1;0,0109;1,1234;0,0386;-0,0845;0,0435;-0,0051;-0,9955;;False
463,85;0.03;PA019​;20250526_093943;1;TUG1;0,0111;1,1330;0,0432;-0,0805;0,0432;-0,0036;-0,9958;;False
463,86;0.04;PA019​;20250526_093943;1;TUG1;0,0111;1,1426;0,0477;-0,0771;0,0443;-0,0023;-0,9960;;False
463,88;0.06;PA019​;20250526_093943;1;TUG1;0,0110;1,1521;0,0522;-0,0726;0,0464;-0,0033;-0,9963;;False
463,89;0.07;PA019​;20250526_093943;1;TUG1;0,0108;1,1617;0,0566;-0,0691;0,0488;-0,0046;-0,9964;;False
463,90;0.08;PA019​;20250526_093943;1;TUG1;0,0109;1,1713;0,0606;-0,0676;0,0505;-0,0055;-0,9964;;False
463,92;0.1;PA019​;20250526_093943;1;TUG1;0,0111;1,1813;0,0645;-0,0670;0,0510;-0,0069;-0,9964;;False
463,93;0.11;PA019​;20250526_093943;1;TUG1;0,0114;1,1914;0,0680;-0,0674;0,0514;-0,0077;-0,9964;;False
463,95;0.13;PA019​;20250526_093943;1;TUG1;0,0114;1,2021;0,0711;-0,0689;0,0509;-0,0075;-0,9963;;False
463,96;0.14;PA019​;20250526_093943;1;TUG1;0,0115;1,2133;0,0738;-0,0710;0,0500;-0,0072;-0,9962;;False
463,97;0.15;PA019​;20250526_093943;1;TUG1;0,0115;1,2251;0,0759;-0,0741;0,0489;-0,0071;-0,9960;;False
463,99;0.17;PA019​;20250526_093943;1;TUG1;0,0113;1,2371;0,0775;-0,0767;0,0484;-0,0076;-0,9959;;False
464,00;0.18;PA019​;20250526_093943;1;TUG1;0,0110;1,2496;0,0788;-0,0770;0,0485;-0,0101;-0,9958;;False
464,02;0.19;PA019​;20250526_093943;1;TUG1;0,0106;1,2620;0,0799;-0,0774;0,0493;-0,0137;-0,9957;;False
464,03;0.21;PA019​;20250526_093943;1;TUG1;0,0102;1,2740;0,0809;-0,0786;0,0499;-0,0158;-0,9955;;False
464,04;0.22;PA019​;20250526_093943;1;TUG1;0,0099;1,2854;0,0820;-0,0801;0,0506;-0,0177;-0,9953;;False
464,06;0.24;PA019​;20250526_093943;1;TUG1;0,0093;1,2962;0,0833;-0,0811;0,0504;-0,0188;-0,9953;;False
464,07;0.25;PA019​;20250526_093943;1;TUG1;0,0087;1,3061;0,0846;-0,0815;0,0502;-0,0190;-0,9952;;False
