Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
536,78;0.0;PA019​;20250526_093943;1;TUG2;-0,0397;1,0427;-0,4366;0,0414;0,0059;-0,0102;-0,9991;;False
536,79;0.01;PA019​;20250526_093943;1;TUG2;-0,0408;1,0427;-0,4378;0,0397;0,0090;-0,0112;-0,9991;;False
536,83;0.06;PA019​;20250526_093943;1;TUG2;-0,0431;1,0430;-0,4410;0,0355;0,0195;-0,0123;-0,9991;;False
536,85;0.07;PA019​;20250526_093943;1;TUG2;-0,0439;1,0431;-0,4420;0,0349;0,0224;-0,0131;-0,9991;;False
536,86;0.08;PA019​;20250526_093943;1;TUG2;-0,0446;1,0432;-0,4431;0,0339;0,0253;-0,0132;-0,9990;;False
536,87;0.1;PA019​;20250526_093943;1;TUG2;-0,0454;1,0433;-0,4442;0,0333;0,0279;-0,0137;-0,9990;;False
536,89;0.11;PA019​;20250526_093943;1;TUG2;-0,0460;1,0434;-0,4452;0,0330;0,0303;-0,0135;-0,9989;;False
536,90;0.13;PA019​;20250526_093943;1;TUG2;-0,0465;1,0434;-0,4461;0,0329;0,0326;-0,0133;-0,9988;;False
536,92;0.14;PA019​;20250526_093943;1;TUG2;-0,0471;1,0435;-0,4469;0,0328;0,0347;-0,0125;-0,9988;;False
536,93;0.15;PA019​;20250526_093943;1;TUG2;-0,0476;1,0437;-0,4477;0,0330;0,0360;-0,0112;-0,9987;;False
536,95;0.17;PA019​;20250526_093943;1;TUG2;-0,0481;1,0438;-0,4485;0,0334;0,0371;-0,0104;-0,9987;;False
536,96;0.18;PA019​;20250526_093943;1;TUG2;-0,0485;1,0441;-0,4492;0,0340;0,0379;-0,0099;-0,9987;;False
536,97;0.19;PA019​;20250526_093943;1;TUG2;-0,0489;1,0444;-0,4499;0,0351;0,0384;-0,0100;-0,9986;;False
536,99;0.21;PA019​;20250526_093943;1;TUG2;-0,0491;1,0446;-0,4506;0,0366;0,0386;-0,0099;-0,9985;;False
537,00;0.22;PA019​;20250526_093943;1;TUG2;-0,0493;1,0449;-0,4512;0,0381;0,0386;-0,0102;-0,9985;;False
537,01;0.24;PA019​;20250526_093943;1;TUG2;-0,0495;1,0453;-0,4519;0,0400;0,0380;-0,0103;-0,9984;;False
537,03;0.25;PA019​;20250526_093943;1;TUG2;-0,0495;1,0458;-0,4525;0,0424;0,0364;-0,0104;-0,9984;;False
537,04;0.26;PA019​;20250526_093943;1;TUG2;-0,0495;1,0461;-0,4530;0,0450;0,0345;-0,0108;-0,9983;;False
537,06;0.28;PA019​;20250526_093943;1;TUG2;-0,0494;1,0464;-0,4536;0,0477;0,0327;-0,0114;-0,9983;;False
537,07;0.29;PA019​;20250526_093943;1;TUG2;-0,0493;1,0467;-0,4541;0,0504;0,0303;-0,0118;-0,9982;;False
