Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1043,35;0.0;p010​;20250312_173053;1;F8W2;-0,0051;1,5771;1,0235;0,0362;0,0073;0,0047;0,9993;;False
1043,37;0.01;p010​;20250312_173053;1;F8W2;-0,0052;1,5771;1,0234;0,0359;0,0069;0,0048;0,9993;;False
1043,41;0.05;p010​;20250312_173053;1;F8W2;-0,0054;1,5773;1,0235;0,0352;0,0061;0,0050;0,9993;;False
1043,42;0.07;p010​;20250312_173053;1;F8W2;-0,0054;1,5774;1,0234;0,0350;0,0059;0,0051;0,9994;;False
1043,44;0.08;p010​;20250312_173053;1;F8W2;-0,0055;1,5774;1,0233;0,0347;0,0056;0,0052;0,9994;;False
1043,45;0.1;p010​;20250312_173053;1;F8W2;-0,0055;1,5774;1,0232;0,0345;0,0053;0,0052;0,9994;;False
1043,46;0.11;p010​;20250312_173053;1;F8W2;-0,0056;1,5775;1,0231;0,0342;0,0049;0,0053;0,9994;;False
1043,48;0.12;p010​;20250312_173053;1;F8W2;-0,0056;1,5775;1,0230;0,0341;0,0046;0,0054;0,9994;;False
1043,49;0.14;p010​;20250312_173053;1;F8W2;-0,0056;1,5776;1,0228;0,0339;0,0044;0,0055;0,9994;;False
1043,51;0.15;p010​;20250312_173053;1;F8W2;-0,0057;1,5776;1,0227;0,0337;0,0039;0,0055;0,9994;;False
1043,52;0.17;p010​;20250312_173053;1;F8W2;-0,0058;1,5776;1,0226;0,0334;0,0036;0,0057;0,9994;;False
1043,53;0.18;p010​;20250312_173053;1;F8W2;-0,0058;1,5776;1,0224;0,0333;0,0033;0,0057;0,9994;;False
1043,55;0.19;p010​;20250312_173053;1;F8W2;-0,0059;1,5777;1,0224;0,0331;0,0029;0,0058;0,9994;;False
1043,56;0.21;p010​;20250312_173053;1;F8W2;-0,0059;1,5778;1,0223;0,0328;0,0025;0,0060;0,9994;;False
1043,57;0.22;p010​;20250312_173053;1;F8W2;-0,0059;1,5779;1,0222;0,0324;0,0020;0,0062;0,9995;;False
1043,59;0.23;p010​;20250312_173053;1;F8W2;-0,0060;1,5779;1,0222;0,0321;0,0016;0,0061;0,9995;;False
1043,60;0.25;p010​;20250312_173053;1;F8W2;-0,0060;1,5779;1,0221;0,0321;0,0014;0,0057;0,9995;;False
1043,62;0.26;p010​;20250312_173053;1;F8W2;-0,0061;1,5779;1,0220;0,0320;0,0014;0,0055;0,9995;;False
1043,63;0.28;p010​;20250312_173053;1;F8W2;-0,0061;1,5779;1,0219;0,0317;0,0011;0,0054;0,9995;;False
1043,64;0.29;p010​;20250312_173053;1;F8W2;-0,0061;1,5779;1,0219;0,0315;0,0009;0,0056;0,9995;;False
1043,66;0.31;p010​;20250312_173053;1;F8W2;-0,0061;1,5780;1,0218;0,0312;0,0008;0,0058;0,9995;;False
1043,67;0.32;p010​;20250312_173053;1;F8W2;-0,0061;1,5780;1,0218;0,0310;0,0007;0,0059;0,9995;;False
1043,69;0.33;p010​;20250312_173053;1;F8W2;-0,0061;1,5781;1,0218;0,0307;0,0006;0,0060;0,9995;;False
1043,70;0.35;p010​;20250312_173053;1;F8W2;-0,0061;1,5781;1,0218;0,0304;0,0006;0,0058;0,9995;;False
1043,71;0.36;p010​;20250312_173053;1;F8W2;-0,0061;1,5783;1,0219;0,0300;0,0007;0,0057;0,9995;;False
1043,73;0.38;p010​;20250312_173053;1;F8W2;-0,0061;1,5785;1,0220;0,0293;0,0007;0,0058;0,9996;;False
1043,74;0.39;p010​;20250312_173053;1;F8W2;-0,0061;1,5786;1,0222;0,0289;0,0007;0,0057;0,9996;;False
1043,75;0.4;p010​;20250312_173053;1;F8W2;-0,0060;1,5786;1,0224;0,0285;0,0010;0,0058;0,9996;;False
1043,77;0.42;p010​;20250312_173053;1;F8W2;-0,0059;1,5786;1,0226;0,0282;0,0012;0,0060;0,9996;;False
1043,78;0.43;p010​;20250312_173053;1;F8W2;-0,0057;1,5788;1,0229;0,0281;0,0012;0,0064;0,9996;;False
1043,80;0.44;p010​;20250312_173053;1;F8W2;-0,0056;1,5789;1,0232;0,0276;0,0013;0,0068;0,9996;;False
1043,81;0.46;p010​;20250312_173053;1;F8W2;-0,0054;1,5790;1,0238;0,0269;0,0011;0,0070;0,9996;;False
1043,84;0.49;p010​;20250312_173053;1;F8W2;-0,0052;1,5790;1,0249;0,0258;0,0009;0,0071;0,9996;;False
1043,85;0.5;p010​;20250312_173053;1;F8W2;-0,0050;1,5789;1,0256;0,0257;0,0005;0,0073;0,9996;;False
1043,86;0.51;p010​;20250312_173053;1;F8W2;-0,0047;1,5784;1,0270;0,0259;-0,0002;0,0075;0,9996;;False
1043,88;0.52;p010​;20250312_173053;1;F8W2;-0,0046;1,5779;1,0279;0,0276;-0,0008;0,0075;0,9996;;False
1043,89;0.54;p010​;20250312_173053;1;F8W2;-0,0045;1,5769;1,0288;0,0312;-0,0017;0,0077;0,9995;;False
1043,90;0.55;p010​;20250312_173053;1;F8W2;-0,0045;1,5751;1,0299;0,0374;-0,0029;0,0084;0,9993;;False
1043,92;0.56;p010​;20250312_173053;1;F8W2;-0,0046;1,5727;1,0311;0,0480;-0,0047;0,0105;0,9988;;False
1043,93;0.58;p010​;20250312_173053;1;F8W2;-0,0050;1,5697;1,0326;0,0620;-0,0066;0,0140;0,9980;;False
1043,95;0.59;p010​;20250312_173053;1;F8W2;-0,0053;1,5664;1,0347;0,0803;-0,0095;0,0179;0,9966;;False
1043,96;0.61;p010​;20250312_173053;1;F8W2;-0,0056;1,5629;1,0373;0,0998;-0,0122;0,0216;0,9947;;False
1043,97;0.62;p010​;20250312_173053;1;F8W2;-0,0060;1,5599;1,0409;0,1167;-0,0149;0,0253;0,9927;;False
1043,99;0.63;p010​;20250312_173053;1;F8W2;-0,0067;1,5570;1,0446;0,1319;-0,0167;0,0284;0,9907;;False
1044,00;0.65;p010​;20250312_173053;1;F8W2;-0,0074;1,5540;1,0486;0,1469;-0,0188;0,0305;0,9885;;False
1044,02;0.66;p010​;20250312_173053;1;F8W2;-0,0080;1,5502;1,0528;0,1620;-0,0217;0,0331;0,9860;;False
1044,03;0.68;p010​;20250312_173053;1;F8W2;-0,0089;1,5464;1,0572;0,1772;-0,0250;0,0365;0,9832;;False
1044,04;0.69;p010​;20250312_173053;1;F8W2;-0,0099;1,5428;1,0622;0,1929;-0,0290;0,0385;0,9800;;False
1044,06;0.7;p010​;20250312_173053;1;F8W2;-0,0110;1,5388;1,0669;0,2061;-0,0328;0,0399;0,9772;;False
1044,07;0.72;p010​;20250312_173053;1;F8W2;-0,0120;1,5363;1,0719;0,2220;-0,0367;0,0412;0,9735;;False
1044,08;0.73;p010​;20250312_173053;1;F8W2;-0,0130;1,5345;1,0778;0,2336;-0,0412;0,0425;0,9705;;False
1044,10;0.74;p010​;20250312_173053;1;F8W2;-0,0139;1,5325;1,0844;0,2402;-0,0464;0,0430;0,9687;;False
1044,11;0.76;p010​;20250312_173053;1;F8W2;-0,0152;1,5311;1,0917;0,2441;-0,0513;0,0439;0,9674;;False
1044,13;0.77;p010​;20250312_173053;1;F8W2;-0,0165;1,5294;1,0988;0,2475;-0,0560;0,0439;0,9663;;False
1044,14;0.79;p010​;20250312_173053;1;F8W2;-0,0180;1,5279;1,1063;0,2534;-0,0610;0,0451;0,9644;;False
1044,15;0.8;p010​;20250312_173053;1;F8W2;-0,0189;1,5264;1,1142;0,2577;-0,0667;0,0455;0,9628;;False
1044,17;0.81;p010​;20250312_173053;1;F8W2;-0,0203;1,5260;1,1228;0,2611;-0,0713;0,0454;0,9616;;False
