Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
962,54;0.0;pa007​;20250410_144355;1;Marche2;0,0090;1,7288;0,0491;0,2271;0,0238;-0,0126;-0,9735;;False
962,58;0.04;pa007​;20250410_144355;1;Marche2;0,0076;1,7287;0,0486;0,2264;0,0274;-0,0140;-0,9736;;False
962,59;0.05;pa007​;20250410_144355;1;Marche2;0,0069;1,7288;0,0485;0,2265;0,0287;-0,0144;-0,9735;;False
962,61;0.07;pa007​;20250410_144355;1;Marche2;0,0063;1,7286;0,0482;0,2267;0,0303;-0,0146;-0,9734;;False
962,62;0.08;pa007​;20250410_144355;1;Marche2;0,0057;1,7286;0,0480;0,2265;0,0318;-0,0155;-0,9734;;False
962,64;0.1;pa007​;20250410_144355;1;Marche2;0,0051;1,7286;0,0477;0,2264;0,0338;-0,0170;-0,9733;;False
962,65;0.11;pa007​;20250410_144355;1;Marche2;0,0042;1,7284;0,0474;0,2267;0,0359;-0,0183;-0,9731;;False
962,66;0.12;pa007​;20250410_144355;1;Marche2;0,0035;1,7282;0,0472;0,2258;0,0382;-0,0190;-0,9732;;False
962,68;0.14;pa007​;20250410_144355;1;Marche2;0,0028;1,7281;0,0469;0,2252;0,0404;-0,0198;-0,9733;;False
962,69;0.15;pa007​;20250410_144355;1;Marche2;0,0021;1,7280;0,0467;0,2242;0,0422;-0,0206;-0,9734;;False
962,70;0.17;pa007​;20250410_144355;1;Marche2;0,0016;1,7279;0,0465;0,2236;0,0434;-0,0205;-0,9735;;False
962,72;0.18;pa007​;20250410_144355;1;Marche2;0,0011;1,7276;0,0463;0,2227;0,0436;-0,0204;-0,9737;;False
962,73;0.19;pa007​;20250410_144355;1;Marche2;0,0009;1,7275;0,0462;0,2218;0,0435;-0,0206;-0,9739;;False
962,75;0.21;pa007​;20250410_144355;1;Marche2;0,0007;1,7273;0,0460;0,2212;0,0428;-0,0208;-0,9741;;False
962,76;0.22;pa007​;20250410_144355;1;Marche2;0,0006;1,7273;0,0458;0,2202;0,0418;-0,0206;-0,9743;;False
962,77;0.24;pa007​;20250410_144355;1;Marche2;0,0006;1,7272;0,0456;0,2197;0,0404;-0,0201;-0,9745;;False
