Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
2408,95;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0716;1,4419;0,7887;0,1071;-0,7172;0,1220;0,6777;;True
2408,96;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0726;1,4455;0,7792;0,1033;-0,6948;0,1097;0,7032;;True
2408,98;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0733;1,4495;0,7699;0,0982;-0,6721;0,0979;0,7273;;True
2408,99;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0735;1,4537;0,7606;0,0925;-0,6493;0,0886;0,7497;;True
2409,01;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0732;1,4580;0,7517;0,0858;-0,6273;0,0792;0,7700;;True
2409,02;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0724;1,4627;0,7430;0,0790;-0,6045;0,0700;0,7896;;True
2409,03;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0711;1,4679;0,7350;0,0747;-0,5804;0,0609;0,8086;;True
2409,05;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0690;1,4730;0,7273;0,0703;-0,5549;0,0509;0,8274;;True
2409,06;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0667;1,4787;0,7201;0,0655;-0,5291;0,0433;0,8449;;True
2409,07;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0637;1,4849;0,7135;0,0625;-0,5045;0,0390;0,8603;;True
2409,09;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0604;1,4910;0,7070;0,0573;-0,4808;0,0358;0,8742;;True
2409,10;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0571;1,4965;0,7007;0,0501;-0,4590;0,0333;0,8864;;True
2409,12;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0536;1,5020;0,6945;0,0429;-0,4380;0,0311;0,8974;;True
2409,13;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0498;1,5069;0,6883;0,0351;-0,4183;0,0291;0,9072;;True
2409,14;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0457;1,5118;0,6823;0,0284;-0,3996;0,0279;0,9158;;True
2409,16;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0415;1,5165;0,6761;0,0222;-0,3820;0,0269;0,9235;;True
2409,17;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0373;1,5211;0,6702;0,0167;-0,3655;0,0249;0,9303;;True
2409,19;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0334;1,5251;0,6643;0,0106;-0,3495;0,0230;0,9366;;True
2409,20;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0292;1,5288;0,6589;0,0044;-0,3357;0,0214;0,9417;;True
2409,21;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0249;1,5321;0,6534;-0,0029;-0,3221;0,0207;0,9465;;True
2409,23;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0203;1,5357;0,6482;-0,0084;-0,3090;0,0205;0,9508;;True
2409,24;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0157;1,5391;0,6431;-0,0136;-0,2954;0,0205;0,9551;;True
2409,26;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0111;1,5421;0,6381;-0,0186;-0,2812;0,0196;0,9593;;True
2409,27;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0065;1,5445;0,6332;-0,0231;-0,2674;0,0173;0,9631;;True
2409,28;0.0;pa010​;20250411_094227;1;WTMT1L;-0,0023;1,5467;0,6284;-0,0277;-0,2531;0,0148;0,9669;;True
2409,30;0.0;pa010​;20250411_094227;1;WTMT1L;0,0016;1,5489;0,6241;-0,0322;-0,2410;0,0114;0,9699;;True
2409,31;0.0;pa010​;20250411_094227;1;WTMT1L;0,0056;1,5508;0,6201;-0,0379;-0,2297;0,0090;0,9725;;True
2409,32;0.0;pa010​;20250411_094227;1;WTMT1L;0,0097;1,5526;0,6160;-0,0422;-0,2187;0,0078;0,9748;;True
2409,34;0.0;pa010​;20250411_094227;1;WTMT1L;0,0139;1,5536;0,6118;-0,0475;-0,2084;0,0076;0,9769;;True
2409,35;0.0;pa010​;20250411_094227;1;WTMT1L;0,0181;1,5544;0,6079;-0,0512;-0,1985;0,0084;0,9787;;True
2409,37;0.0;pa010​;20250411_094227;1;WTMT1L;0,0222;1,5549;0,6041;-0,0551;-0,1888;0,0093;0,9804;;True
2409,38;0.0;pa010​;20250411_094227;1;WTMT1L;0,0262;1,5553;0,6004;-0,0572;-0,1811;0,0099;0,9817;;True
2409,39;0.0;pa010​;20250411_094227;1;WTMT1L;0,0298;1,5551;0,5969;-0,0599;-0,1734;0,0098;0,9830;;True
2409,41;0.0;pa010​;20250411_094227;1;WTMT1L;0,0333;1,5548;0,5935;-0,0626;-0,1667;0,0086;0,9840;;True
2409,42;0.0;pa010​;20250411_094227;1;WTMT1L;0,0368;1,5547;0,5901;-0,0654;-0,1608;0,0077;0,9848;;True
2409,44;0.0;pa010​;20250411_094227;1;WTMT1L;0,0403;1,5549;0,5869;-0,0668;-0,1548;0,0062;0,9857;;True
2409,45;0.0;pa010​;20250411_094227;1;WTMT1L;0,0440;1,5551;0,5837;-0,0682;-0,1496;0,0047;0,9864;;True
2409,46;0.0;pa010​;20250411_094227;1;WTMT1L;0,0473;1,5551;0,5801;-0,0704;-0,1434;0,0036;0,9871;;True
2409,48;0.0;pa010​;20250411_094227;1;WTMT1L;0,0503;1,5549;0,5764;-0,0730;-0,1379;0,0018;0,9877;;True
2409,49;0.0;pa010​;20250411_094227;1;WTMT1L;0,0530;1,5550;0,5730;-0,0749;-0,1327;-0,0009;0,9883;;True
2409,51;0.0;pa010​;20250411_094227;1;WTMT1L;0,0555;1,5552;0,5694;-0,0777;-0,1275;-0,0036;0,9888;;True
2409,52;0.0;pa010​;20250411_094227;1;WTMT1L;0,0583;1,5553;0,5656;-0,0796;-0,1232;-0,0059;0,9892;;True
2409,53;0.0;pa010​;20250411_094227;1;WTMT1L;0,0609;1,5557;0,5616;-0,0794;-0,1179;-0,0071;0,9898;;True
2409,55;0.0;pa010​;20250411_094227;1;WTMT1L;0,0637;1,5559;0,5574;-0,0792;-0,1124;-0,0083;0,9905;;True
2409,56;0.0;pa010​;20250411_094227;1;WTMT1L;0,0664;1,5562;0,5531;-0,0780;-0,1067;-0,0081;0,9912;;True
2409,58;0.0;pa010​;20250411_094227;1;WTMT1L;0,0689;1,5567;0,5487;-0,0754;-0,1014;-0,0078;0,9920;;True
2409,59;0.0;pa010​;20250411_094227;1;WTMT1L;0,0712;1,5570;0,5438;-0,0737;-0,0966;-0,0071;0,9926;;True
2409,60;0.0;pa010​;20250411_094227;1;WTMT1L;0,0732;1,5576;0,5388;-0,0713;-0,0923;-0,0055;0,9932;;True
2409,62;0.0;pa010​;20250411_094227;1;WTMT1L;0,0751;1,5583;0,5337;-0,0688;-0,0889;-0,0045;0,9937;;True
2409,63;0.0;pa010​;20250411_094227;1;WTMT1L;0,0770;1,5590;0,5283;-0,0673;-0,0854;-0,0037;0,9941;;True
2409,64;0.0;pa010​;20250411_094227;1;WTMT1L;0,0788;1,5599;0,5229;-0,0662;-0,0820;-0,0031;0,9944;;True
2409,66;0.0;pa010​;20250411_094227;1;WTMT1L;0,0807;1,5606;0,5175;-0,0648;-0,0791;-0,0029;0,9948;;True
2409,67;0.0;pa010​;20250411_094227;1;WTMT1L;0,0822;1,5612;0,5118;-0,0633;-0,0758;-0,0034;0,9951;;True
2409,69;0.0;pa010​;20250411_094227;1;WTMT1L;0,0835;1,5617;0,5063;-0,0619;-0,0734;-0,0037;0,9954;;True
2409,70;0.0;pa010​;20250411_094227;1;WTMT1L;0,0845;1,5617;0,5012;-0,0624;-0,0724;-0,0052;0,9954;;True
2409,71;0.0;pa010​;20250411_094227;1;WTMT1L;0,0854;1,5614;0,4960;-0,0624;-0,0723;-0,0063;0,9954;;True
2409,73;0.0;pa010​;20250411_094227;1;WTMT1L;0,0863;1,5611;0,4906;-0,0613;-0,0718;-0,0061;0,9955;;True
