Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
2176,46;0.0;pa012​;20250414_140852;1;TUG2;-0,0117;1,1817;0,0627;0,1898;0,0154;0,0041;-0,9817;;False
2176,48;0.01;pa012​;20250414_140852;1;TUG2;-0,0117;1,1816;0,0623;0,1898;0,0154;0,0041;-0,9817;;False
2176,52;0.06;pa012​;20250414_140852;1;TUG2;-0,0115;1,1817;0,0615;0,1898;0,0152;0,0044;-0,9817;;False
2176,53;0.07;pa012​;20250414_140852;1;TUG2;-0,0114;1,1816;0,0612;0,1897;0,0149;0,0044;-0,9817;;False
2176,55;0.08;pa012​;20250414_140852;1;TUG2;-0,0114;1,1817;0,0610;0,1896;0,0146;0,0045;-0,9817;;False
2176,56;0.1;pa012​;20250414_140852;1;TUG2;-0,0113;1,1817;0,0607;0,1897;0,0141;0,0045;-0,9817;;False
2176,57;0.11;pa012​;20250414_140852;1;TUG2;-0,0113;1,1816;0,0604;0,1898;0,0136;0,0046;-0,9817;;False
2176,59;0.13;pa012​;20250414_140852;1;TUG2;-0,0113;1,1816;0,0602;0,1899;0,0132;0,0048;-0,9817;;False
2176,60;0.14;pa012​;20250414_140852;1;TUG2;-0,0113;1,1816;0,0600;0,1900;0,0126;0,0048;-0,9817;;False
2176,62;0.15;pa012​;20250414_140852;1;TUG2;-0,0112;1,1816;0,0597;0,1900;0,0121;0,0049;-0,9817;;False
2176,63;0.17;pa012​;20250414_140852;1;TUG2;-0,0111;1,1816;0,0595;0,1899;0,0115;0,0049;-0,9817;;False
2176,64;0.18;pa012​;20250414_140852;1;TUG2;-0,0110;1,1817;0,0593;0,1898;0,0114;0,0048;-0,9817;;False
2176,66;0.2;pa012​;20250414_140852;1;TUG2;-0,0110;1,1817;0,0591;0,1898;0,0109;0,0050;-0,9818;;False
