Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
2036,26;0.0;pa015​;20250417_145610;1;TUG2;0,0551;1,1420;-0,4740;0,0994;-0,0836;-0,0003;-0,9915;;False
2036,27;0.01;pa015​;20250417_145610;1;TUG2;0,0555;1,1418;-0,4739;0,0977;-0,0868;-0,0006;-0,9914;;False
2036,31;0.06;pa015​;20250417_145610;1;TUG2;0,0572;1,1415;-0,4736;0,0983;-0,0991;-0,0011;-0,9902;;False
2036,33;0.07;pa015​;20250417_145610;1;TUG2;0,0576;1,1414;-0,4736;0,0981;-0,1028;-0,0010;-0,9899;;False
2036,34;0.08;pa015​;20250417_145610;1;TUG2;0,0581;1,1412;-0,4737;0,0976;-0,1061;-0,0007;-0,9896;;False
2036,36;0.1;pa015​;20250417_145610;1;TUG2;0,0584;1,1411;-0,4737;0,0965;-0,1092;-0,0003;-0,9893;;False
2036,37;0.11;pa015​;20250417_145610;1;TUG2;0,0588;1,1409;-0,4738;0,0949;-0,1119;0,0005;-0,9892;;False
2036,38;0.13;pa015​;20250417_145610;1;TUG2;0,0592;1,1405;-0,4737;0,0929;-0,1144;0,0008;-0,9891;;False
2036,40;0.14;pa015​;20250417_145610;1;TUG2;0,0597;1,1403;-0,4737;0,0909;-0,1164;0,0010;-0,9890;;False
2036,41;0.15;pa015​;20250417_145610;1;TUG2;0,0602;1,1401;-0,4737;0,0891;-0,1187;0,0012;-0,9889;;False
2036,43;0.17;pa015​;20250417_145610;1;TUG2;0,0605;1,1399;-0,4737;0,0880;-0,1206;0,0012;-0,9888;;False
2036,44;0.18;pa015​;20250417_145610;1;TUG2;0,0608;1,1398;-0,4736;0,0872;-0,1221;0,0009;-0,9887;;False
2036,45;0.19;pa015​;20250417_145610;1;TUG2;0,0611;1,1398;-0,4735;0,0869;-0,1233;0,0006;-0,9886;;False
2036,47;0.21;pa015​;20250417_145610;1;TUG2;0,0613;1,1399;-0,4734;0,0870;-0,1243;0,0004;-0,9884;;False
2036,48;0.22;pa015​;20250417_145610;1;TUG2;0,0616;1,1398;-0,4734;0,0872;-0,1250;0,0008;-0,9883;;False
2036,50;0.24;pa015​;20250417_145610;1;TUG2;0,0618;1,1400;-0,4733;0,0877;-0,1255;0,0015;-0,9882;;False
2036,51;0.25;pa015​;20250417_145610;1;TUG2;0,0621;1,1399;-0,4733;0,0886;-0,1255;0,0017;-0,9881;;False
2036,52;0.26;pa015​;20250417_145610;1;TUG2;0,0623;1,1400;-0,4732;0,0886;-0,1254;0,0020;-0,9881;;False
2036,54;0.28;pa015​;20250417_145610;1;TUG2;0,0624;1,1400;-0,4732;0,0887;-0,1250;0,0022;-0,9882;;False
2036,55;0.29;pa015​;20250417_145610;1;TUG2;0,0625;1,1400;-0,4734;0,0886;-0,1248;0,0022;-0,9882;;False
2036,57;0.31;pa015​;20250417_145610;1;TUG2;0,0625;1,1398;-0,4735;0,0881;-0,1245;0,0023;-0,9883;;False
2036,58;0.32;pa015​;20250417_145610;1;TUG2;0,0627;1,1398;-0,4735;0,0876;-0,1244;0,0024;-0,9884;;False
2036,59;0.33;pa015​;20250417_145610;1;TUG2;0,0630;1,1397;-0,4735;0,0872;-0,1246;0,0025;-0,9884;;False
2036,61;0.35;pa015​;20250417_145610;1;TUG2;0,0632;1,1396;-0,4735;0,0865;-0,1248;0,0027;-0,9884;;False
2036,62;0.36;pa015​;20250417_145610;1;TUG2;0,0633;1,1395;-0,4735;0,0860;-0,1251;0,0029;-0,9884;;False
2036,63;0.38;pa015​;20250417_145610;1;TUG2;0,0635;1,1394;-0,4735;0,0856;-0,1254;0,0034;-0,9884;;False
2036,65;0.39;pa015​;20250417_145610;1;TUG2;0,0637;1,1394;-0,4735;0,0849;-0,1258;0,0039;-0,9884;;False
2036,66;0.4;pa015​;20250417_145610;1;TUG2;0,0639;1,1393;-0,4735;0,0849;-0,1259;0,0043;-0,9884;;False
