Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
701,14;0.0;pa017​;20250418_103459;1;F8W1;-0,0792;1,4424;1,5340;-0,3000;0,0951;0,0090;-0,9491;Collision avec Debut - Objet Parent SceneAnchor;False
701,15;0.01;pa017​;20250418_103459;1;F8W1;-0,0827;1,4447;1,5469;-0,2992;0,0917;0,0105;-0,9497;Collision avec Debut - Objet Parent SceneAnchor;False
701,16;0.03;pa017​;20250418_103459;1;F8W1;-0,0859;1,4468;1,5594;-0,2997;0,0889;0,0133;-0,9498;Collision avec Debut - Objet Parent SceneAnchor;False
701,18;0.04;pa017​;20250418_103459;1;F8W1;-0,0889;1,4488;1,5715;-0,3021;0,0857;0,0168;-0,9493;Collision avec Debut - Objet Parent SceneAnchor;False
701,19;0.06;pa017​;20250418_103459;1;F8W1;-0,0920;1,4512;1,5836;-0,3058;0,0816;0,0192;-0,9484;Collision avec Debut - Objet Parent SceneAnchor;False
701,20;0.07;pa017​;20250418_103459;1;F8W1;-0,0951;1,4536;1,5960;-0,3080;0,0782;0,0199;-0,9480;;False
701,22;0.08;pa017​;20250418_103459;1;F8W1;-0,0981;1,4562;1,6091;-0,3075;0,0764;0,0199;-0,9483;;False
701,23;0.1;pa017​;20250418_103459;1;F8W1;-0,1014;1,4588;1,6224;-0,3049;0,0751;0,0198;-0,9492;;False
701,25;0.11;pa017​;20250418_103459;1;F8W1;-0,1046;1,4610;1,6357;-0,3021;0,0743;0,0203;-0,9502;;False
701,26;0.13;pa017​;20250418_103459;1;F8W1;-0,1076;1,4631;1,6488;-0,3015;0,0733;0,0215;-0,9504;;False
701,28;0.14;pa017​;20250418_103459;1;F8W1;-0,1105;1,4651;1,6620;-0,3032;0,0725;0,0229;-0,9499;;False
701,29;0.15;pa017​;20250418_103459;1;F8W1;-0,1132;1,4668;1,6752;-0,3041;0,0714;0,0243;-0,9497;;False
701,30;0.17;pa017​;20250418_103459;1;F8W1;-0,1158;1,4682;1,6886;-0,3048;0,0695;0,0271;-0,9495;;False
701,32;0.18;pa017​;20250418_103459;1;F8W1;-0,1182;1,4692;1,7018;-0,3045;0,0664;0,0306;-0,9497;;False
701,33;0.19;pa017​;20250418_103459;1;F8W1;-0,1207;1,4699;1,7150;-0,3036;0,0627;0,0339;-0,9501;;False
701,34;0.21;pa017​;20250418_103459;1;F8W1;-0,1230;1,4702;1,7280;-0,3020;0,0587;0,0367;-0,9508;;False
701,36;0.22;pa017​;20250418_103459;1;F8W1;-0,1251;1,4699;1,7410;-0,3005;0,0554;0,0393;-0,9514;;False
701,37;0.24;pa017​;20250418_103459;1;F8W1;-0,1273;1,4692;1,7537;-0,2990;0,0510;0,0416;-0,9520;;False
701,39;0.25;pa017​;20250418_103459;1;F8W1;-0,1293;1,4682;1,7663;-0,2980;0,0464;0,0436;-0,9524;;False
701,40;0.26;pa017​;20250418_103459;1;F8W1;-0,1312;1,4670;1,7791;-0,2979;0,0413;0,0460;-0,9526;;False
701,41;0.28;pa017​;20250418_103459;1;F8W1;-0,1331;1,4655;1,7919;-0,2978;0,0363;0,0479;-0,9527;;False
701,43;0.29;pa017​;20250418_103459;1;F8W1;-0,1350;1,4638;1,8049;-0,2969;0,0317;0,0497;-0,9531;;False
701,44;0.31;pa017​;20250418_103459;1;F8W1;-0,1368;1,4618;1,8180;-0,2951;0,0273;0,0519;-0,9537;;False
701,45;0.32;pa017​;20250418_103459;1;F8W1;-0,1386;1,4599;1,8312;-0,2929;0,0232;0,0541;-0,9543;;False
701,47;0.33;pa017​;20250418_103459;1;F8W1;-0,1403;1,4579;1,8442;-0,2905;0,0194;0,0557;-0,9551;;False
701,48;0.35;pa017​;20250418_103459;1;F8W1;-0,1418;1,4556;1,8570;-0,2886;0,0161;0,0572;-0,9556;;False
701,50;0.36;pa017​;20250418_103459;1;F8W1;-0,1431;1,4533;1,8695;-0,2882;0,0133;0,0582;-0,9557;;False
701,51;0.38;pa017​;20250418_103459;1;F8W1;-0,1444;1,4510;1,8817;-0,2891;0,0108;0,0593;-0,9554;;False
701,52;0.39;pa017​;20250418_103459;1;F8W1;-0,1456;1,4491;1,8943;-0,2910;0,0089;0,0612;-0,9547;;False
701,54;0.4;pa017​;20250418_103459;1;F8W1;-0,1467;1,4477;1,9072;-0,2926;0,0069;0,0633;-0,9541;;False
701,57;0.43;pa017​;20250418_103459;1;F8W1;-0,1481;1,4467;1,9350;-0,2903;0,0031;0,0677;-0,9545;;False
701,59;0.46;pa017​;20250418_103459;1;F8W1;-0,1489;1,4465;1,9639;-0,2794;-0,0002;0,0707;-0,9576;;False
701,61;0.47;pa017​;20250418_103459;1;F8W1;-0,1493;1,4461;1,9779;-0,2754;-0,0022;0,0717;-0,9587;;False
701,62;0.49;pa017​;20250418_103459;1;F8W1;-0,1495;1,4456;1,9917;-0,2732;-0,0040;0,0731;-0,9592;;False
701,64;0.5;pa017​;20250418_103459;1;F8W1;-0,1496;1,4458;2,0058;-0,2743;-0,0061;0,0746;-0,9587;;False
701,65;0.51;pa017​;20250418_103459;1;F8W1;-0,1497;1,4467;2,0203;-0,2751;-0,0080;0,0764;-0,9583;;False
701,66;0.53;pa017​;20250418_103459;1;F8W1;-0,1495;1,4476;2,0348;-0,2710;-0,0100;0,0778;-0,9594;;False
701,68;0.54;pa017​;20250418_103459;1;F8W1;-0,1492;1,4482;2,0479;-0,2666;-0,0148;0,0810;-0,9603;;False
701,69;0.56;pa017​;20250418_103459;1;F8W1;-0,1487;1,4488;2,0605;-0,2668;-0,0228;0,0878;-0,9595;;False
701,71;0.57;pa017​;20250418_103459;1;F8W1;-0,1479;1,4493;2,0729;-0,2677;-0,0343;0,0960;-0,9581;;False
701,72;0.58;pa017​;20250418_103459;1;F8W1;-0,1473;1,4504;2,0853;-0,2683;-0,0440;0,1002;-0,9571;;False
701,73;0.6;pa017​;20250418_103459;1;F8W1;-0,1471;1,4521;2,0980;-0,2685;-0,0522;0,1025;-0,9564;;False
