Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
431,93;0.0;pa026​;20250611_094223;1;FO1;-0,0757;1,4739;0,3036;0,0809;-0,1929;-0,0624;0,9759;;False
431,96;0.03;pa026​;20250611_094223;1;FO1;-0,0757;1,4741;0,3039;0,0808;-0,1934;-0,0607;0,9759;;False
431,98;0.05;pa026​;20250611_094223;1;FO1;-0,0758;1,4744;0,3043;0,0787;-0,1937;-0,0607;0,9760;;False
432,01;0.08;pa026​;20250611_094223;1;FO1;-0,0760;1,4744;0,3046;0,0793;-0,1943;-0,0606;0,9758;;False
432,04;0.11;pa026​;20250611_094223;1;FO1;-0,0764;1,4742;0,3048;0,0812;-0,1958;-0,0604;0,9754;;False
432,07;0.14;pa026​;20250611_094223;1;FO1;-0,0767;1,4742;0,3048;0,0809;-0,1968;-0,0600;0,9753;;False
432,10;0.17;pa026​;20250611_094223;1;FO1;-0,0767;1,4745;0,3047;0,0790;-0,1961;-0,0600;0,9755;;False
432,12;0.19;pa026​;20250611_094223;1;FO1;-0,0765;1,4753;0,3047;0,0766;-0,1950;-0,0593;0,9760;;False
432,15;0.22;pa026​;20250611_094223;1;FO1;-0,0758;1,4762;0,3045;0,0732;-0,1919;-0,0597;0,9769;;False
432,18;0.25;pa026​;20250611_094223;1;FO1;-0,0748;1,4774;0,3044;0,0676;-0,1862;-0,0606;0,9783;;False
432,21;0.28;pa026​;20250611_094223;1;FO1;-0,0736;1,4788;0,3043;0,0609;-0,1803;-0,0589;0,9800;;False
432,24;0.3;pa026​;20250611_094223;1;FO1;-0,0723;1,4797;0,3039;0,0557;-0,1731;-0,0580;0,9816;;False
432,26;0.33;pa026​;20250611_094223;1;FO1;-0,0711;1,4801;0,3034;0,0540;-0,1667;-0,0559;0,9829;;False
432,29;0.36;pa026​;20250611_094223;1;FO1;-0,0696;1,4807;0,3031;0,0518;-0,1604;-0,0549;0,9842;;False
432,32;0.39;pa026​;20250611_094223;1;FO1;-0,0681;1,4813;0,3029;0,0490;-0,1530;-0,0541;0,9855;;False
432,35;0.42;pa026​;20250611_094223;1;FO1;-0,0663;1,4815;0,3028;0,0482;-0,1442;-0,0544;0,9869;;False
432,37;0.44;pa026​;20250611_094223;1;FO1;-0,0639;1,4817;0,3031;0,0485;-0,1328;-0,0544;0,9885;;False
432,39;0.46;pa026​;20250611_094223;1;FO1;-0,0626;1,4815;0,3033;0,0496;-0,1269;-0,0539;0,9892;;False
432,42;0.49;pa026​;20250611_094223;1;FO1;-0,0602;1,4809;0,3040;0,0514;-0,1158;-0,0523;0,9906;;False
432,43;0.5;pa026​;20250611_094223;1;FO1;-0,0590;1,4807;0,3045;0,0532;-0,1102;-0,0523;0,9911;;False
432,44;0.51;pa026​;20250611_094223;1;FO1;-0,0579;1,4800;0,3051;0,0546;-0,1050;-0,0522;0,9916;;False
432,46;0.53;pa026​;20250611_094223;1;FO1;-0,0569;1,4792;0,3058;0,0575;-0,0995;-0,0523;0,9920;;False
432,47;0.54;pa026​;20250611_094223;1;FO1;-0,0560;1,4782;0,3068;0,0617;-0,0945;-0,0521;0,9922;;False
432,49;0.56;pa026​;20250611_094223;1;FO1;-0,0551;1,4769;0,3079;0,0660;-0,0894;-0,0521;0,9924;;False
432,51;0.58;pa026​;20250611_094223;1;FO1;-0,0535;1,4753;0,3098;0,0729;-0,0805;-0,0503;0,9928;;False
432,54;0.61;pa026​;20250611_094223;1;FO1;-0,0522;1,4735;0,3117;0,0802;-0,0735;-0,0472;0,9929;;False
432,56;0.62;pa026​;20250611_094223;1;FO1;-0,0510;1,4714;0,3137;0,0888;-0,0666;-0,0446;0,9928;;False
432,57;0.64;pa026​;20250611_094223;1;FO1;-0,0505;1,4699;0,3148;0,0942;-0,0634;-0,0440;0,9926;;False
432,58;0.65;pa026​;20250611_094223;1;FO1;-0,0502;1,4683;0,3161;0,1015;-0,0594;-0,0433;0,9921;;False
432,60;0.67;pa026​;20250611_094223;1;FO1;-0,0498;1,4662;0,3174;0,1103;-0,0552;-0,0423;0,9915;;False
432,61;0.68;pa026​;20250611_094223;1;FO1;-0,0491;1,4640;0,3185;0,1176;-0,0515;-0,0418;0,9908;;False
432,63;0.7;pa026​;20250611_094223;1;FO1;-0,0487;1,4635;0,3195;0,1224;-0,0479;-0,0406;0,9905;;False
432,64;0.71;pa026​;20250611_094223;1;FO1;-0,0484;1,4631;0,3208;0,1248;-0,0448;-0,0401;0,9904;;False
432,65;0.72;pa026​;20250611_094223;1;FO1;-0,0480;1,4624;0,3216;0,1269;-0,0421;-0,0398;0,9902;;False
