Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
2472,66;0.0;pa026​;20250611_094223;1;Marche2;-0,0128;1,5073;0,2462;-0,0857;-0,0221;-0,0432;0,9951;;False
2472,69;0.03;pa026​;20250611_094223;1;Marche2;-0,0126;1,5075;0,2457;-0,0857;-0,0226;-0,0433;0,9951;;False
2472,70;0.04;pa026​;20250611_094223;1;Marche2;-0,0124;1,5075;0,2455;-0,0855;-0,0227;-0,0435;0,9951;;False
2472,72;0.05;pa026​;20250611_094223;1;Marche2;-0,0122;1,5074;0,2454;-0,0855;-0,0230;-0,0436;0,9951;;False
2472,73;0.07;pa026​;20250611_094223;1;Marche2;-0,0119;1,5073;0,2453;-0,0853;-0,0231;-0,0435;0,9951;;False
2472,75;0.08;pa026​;20250611_094223;1;Marche2;-0,0117;1,5073;0,2452;-0,0854;-0,0232;-0,0436;0,9951;;False
2472,76;0.1;pa026​;20250611_094223;1;Marche2;-0,0115;1,5073;0,2452;-0,0854;-0,0234;-0,0436;0,9951;;False
2472,77;0.11;pa026​;20250611_094223;1;Marche2;-0,0113;1,5073;0,2451;-0,0854;-0,0237;-0,0438;0,9951;;False
2472,79;0.12;pa026​;20250611_094223;1;Marche2;-0,0111;1,5072;0,2451;-0,0850;-0,0239;-0,0440;0,9951;;False
2472,80;0.14;pa026​;20250611_094223;1;Marche2;-0,0108;1,5072;0,2450;-0,0846;-0,0243;-0,0439;0,9951;;False
2472,81;0.15;pa026​;20250611_094223;1;Marche2;-0,0106;1,5071;0,2450;-0,0846;-0,0248;-0,0442;0,9951;;False
2472,83;0.17;pa026​;20250611_094223;1;Marche2;-0,0104;1,5072;0,2450;-0,0847;-0,0250;-0,0443;0,9951;;False
2472,84;0.18;pa026​;20250611_094223;1;Marche2;-0,0102;1,5073;0,2450;-0,0848;-0,0254;-0,0445;0,9951;;False
2472,86;0.19;pa026​;20250611_094223;1;Marche2;-0,0100;1,5073;0,2450;-0,0848;-0,0257;-0,0447;0,9951;;False
2472,87;0.21;pa026​;20250611_094223;1;Marche2;-0,0097;1,5073;0,2450;-0,0847;-0,0259;-0,0449;0,9951;;False
2472,88;0.22;pa026​;20250611_094223;1;Marche2;-0,0094;1,5072;0,2450;-0,0847;-0,0261;-0,0449;0,9950;;False
2472,90;0.24;pa026​;20250611_094223;1;Marche2;-0,0092;1,5072;0,2450;-0,0849;-0,0262;-0,0447;0,9950;;False
2472,91;0.25;pa026​;20250611_094223;1;Marche2;-0,0088;1,5072;0,2452;-0,0848;-0,0264;-0,0447;0,9951;;False
2472,93;0.26;pa026​;20250611_094223;1;Marche2;-0,0085;1,5070;0,2453;-0,0847;-0,0263;-0,0449;0,9950;;False
2472,94;0.28;pa026​;20250611_094223;1;Marche2;-0,0081;1,5069;0,2453;-0,0841;-0,0260;-0,0454;0,9951;;False
2472,95;0.29;pa026​;20250611_094223;1;Marche2;-0,0078;1,5068;0,2453;-0,0835;-0,0261;-0,0455;0,9951;;False
2472,97;0.31;pa026​;20250611_094223;1;Marche2;-0,0074;1,5068;0,2454;-0,0834;-0,0262;-0,0458;0,9951;;False
2472,98;0.32;pa026​;20250611_094223;1;Marche2;-0,0071;1,5068;0,2455;-0,0838;-0,0263;-0,0461;0,9951;;False
2472,99;0.33;pa026​;20250611_094223;1;Marche2;-0,0069;1,5068;0,2456;-0,0839;-0,0265;-0,0462;0,9950;;False
2473,01;0.35;pa026​;20250611_094223;1;Marche2;-0,0067;1,5067;0,2457;-0,0839;-0,0268;-0,0462;0,9950;;False
2473,02;0.36;pa026​;20250611_094223;1;Marche2;-0,0064;1,5067;0,2457;-0,0837;-0,0269;-0,0461;0,9951;;False
2473,04;0.37;pa026​;20250611_094223;1;Marche2;-0,0062;1,5066;0,2459;-0,0835;-0,0272;-0,0460;0,9951;;False
2473,05;0.39;pa026​;20250611_094223;1;Marche2;-0,0059;1,5066;0,2459;-0,0833;-0,0272;-0,0458;0,9951;;False
2473,06;0.4;pa026​;20250611_094223;1;Marche2;-0,0057;1,5066;0,2460;-0,0831;-0,0274;-0,0455;0,9951;;False
2473,08;0.42;pa026​;20250611_094223;1;Marche2;-0,0056;1,5066;0,2460;-0,0830;-0,0279;-0,0454;0,9951;;False
2473,09;0.43;pa026​;20250611_094223;1;Marche2;-0,0055;1,5067;0,2460;-0,0832;-0,0283;-0,0455;0,9951;;False
