Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
2277,41;0.0;pa026​;20250611_094223;1;Marche;0,0975;1,4945;0,4619;0,0591;-0,3111;0,0165;-0,9484;;True
2277,43;0.0;pa026​;20250611_094223;1;Marche;0,1014;1,4953;0,4584;0,0606;-0,3129;0,0164;-0,9477;;True
2277,44;0.0;pa026​;20250611_094223;1;Marche;0,1050;1,4958;0,4550;0,0629;-0,3148;0,0171;-0,9469;;True
2277,46;0.0;pa026​;20250611_094223;1;Marche;0,1084;1,4963;0,4516;0,0651;-0,3163;0,0187;-0,9462;;True
2277,48;0.0;pa026​;20250611_094223;1;Marche;0,1142;1,4970;0,4452;0,0681;-0,3200;0,0219;-0,9447;;True
2277,50;0.0;pa026​;20250611_094223;1;Marche;0,1166;1,4972;0,4422;0,0687;-0,3213;0,0237;-0,9442;;True
2277,51;0.0;pa026​;20250611_094223;1;Marche;0,1183;1,4974;0,4393;0,0689;-0,3214;0,0249;-0,9441;;True
2277,52;0.0;pa026​;20250611_094223;1;Marche;0,1193;1,4977;0,4370;0,0686;-0,3189;0,0262;-0,9449;;True
2277,54;0.0;pa026​;20250611_094223;1;Marche;0,1197;1,4980;0,4350;0,0686;-0,3139;0,0278;-0,9466;;True
2277,55;0.0;pa026​;20250611_094223;1;Marche;0,1195;1,4982;0,4333;0,0681;-0,3060;0,0291;-0,9491;;True
2277,56;0.0;pa026​;20250611_094223;1;Marche;0,1183;1,4984;0,4322;0,0664;-0,2954;0,0302;-0,9526;;True
2277,58;0.0;pa026​;20250611_094223;1;Marche;0,1168;1,4983;0,4315;0,0648;-0,2826;0,0317;-0,9565;;True
2277,59;0.0;pa026​;20250611_094223;1;Marche;0,1148;1,4983;0,4309;0,0635;-0,2694;0,0340;-0,9603;;True
2277,61;0.0;pa026​;20250611_094223;1;Marche;0,1125;1,4982;0,4304;0,0627;-0,2568;0,0356;-0,9638;;True
2277,62;0.0;pa026​;20250611_094223;1;Marche;0,1098;1,4981;0,4299;0,0612;-0,2445;0,0369;-0,9670;;True
2277,63;0.0;pa026​;20250611_094223;1;Marche;0,1068;1,4979;0,4297;0,0592;-0,2316;0,0377;-0,9703;;True
2277,65;0.0;pa026​;20250611_094223;1;Marche;0,1035;1,4982;0,4299;0,0577;-0,2180;0,0381;-0,9735;;True
2277,66;0.0;pa026​;20250611_094223;1;Marche;0,1000;1,4983;0,4302;0,0576;-0,2043;0,0390;-0,9764;;True
2277,68;0.0;pa026​;20250611_094223;1;Marche;0,0963;1,4981;0,4305;0,0574;-0,1905;0,0404;-0,9792;;True
2277,69;0.0;pa026​;20250611_094223;1;Marche;0,0924;1,4980;0,4310;0,0566;-0,1778;0,0427;-0,9815;;True
2277,70;0.0;pa026​;20250611_094223;1;Marche;0,0887;1,4979;0,4316;0,0566;-0,1659;0,0441;-0,9835;;True
2277,72;0.0;pa026​;20250611_094223;1;Marche;0,0847;1,4979;0,4326;0,0562;-0,1542;0,0434;-0,9855;;True
2277,73;0.0;pa026​;20250611_094223;1;Marche;0,0806;1,4982;0,4339;0,0564;-0,1424;0,0418;-0,9873;;True
