Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1436,07;0.0;pa028​;20250612_105113;1;F8W1;0,1378;1,4131;1,5402;0,0050;0,0415;-0,0255;0,9988;Collision avec Debut - Objet Parent SceneAnchor;False
1436,09;0.01;pa028​;20250612_105113;1;F8W1;0,1389;1,4121;1,5493;0,0034;0,0423;-0,0249;0,9988;Collision avec Debut - Objet Parent SceneAnchor;False
1436,10;0.03;pa028​;20250612_105113;1;F8W1;0,1399;1,4110;1,5587;0,0019;0,0432;-0,0246;0,9988;Collision avec Debut - Objet Parent SceneAnchor;False
1436,12;0.04;pa028​;20250612_105113;1;F8W1;0,1408;1,4100;1,5683;0,0006;0,0443;-0,0244;0,9987;Collision avec Debut - Objet Parent SceneAnchor;False
1436,13;0.06;pa028​;20250612_105113;1;F8W1;0,1417;1,4090;1,5782;-0,0008;0,0453;-0,0239;0,9987;Collision avec Debut - Objet Parent SceneAnchor;False
1436,16;0.08;pa028​;20250612_105113;1;F8W1;0,1431;1,4070;1,5988;-0,0050;0,0475;-0,0225;0,9986;;False
1436,17;0.1;pa028​;20250612_105113;1;F8W1;0,1436;1,4058;1,6093;-0,0064;0,0487;-0,0222;0,9985;;False
1436,20;0.13;pa028​;20250612_105113;1;F8W1;0,1448;1,4050;1,6312;-0,0065;0,0509;-0,0201;0,9985;;False
1436,21;0.14;pa028​;20250612_105113;1;F8W1;0,1454;1,4052;1,6426;-0,0063;0,0517;-0,0188;0,9985;;False
1436,23;0.15;pa028​;20250612_105113;1;F8W1;0,1460;1,4061;1,6542;-0,0055;0,0522;-0,0174;0,9985;;False
1436,25;0.18;pa028​;20250612_105113;1;F8W1;0,1473;1,4091;1,6780;-0,0073;0,0518;-0,0157;0,9985;;False
1436,28;0.21;pa028​;20250612_105113;1;F8W1;0,1487;1,4139;1,7015;-0,0066;0,0501;-0,0157;0,9986;;False
1436,31;0.24;pa028​;20250612_105113;1;F8W1;0,1502;1,4189;1,7242;-0,0042;0,0480;-0,0175;0,9987;;False
1436,32;0.25;pa028​;20250612_105113;1;F8W1;0,1511;1,4210;1,7353;-0,0039;0,0474;-0,0190;0,9987;;False
1436,34;0.26;pa028​;20250612_105113;1;F8W1;0,1521;1,4228;1,7460;-0,0038;0,0467;-0,0210;0,9987;;False
1436,35;0.28;pa028​;20250612_105113;1;F8W1;0,1529;1,4244;1,7565;-0,0041;0,0465;-0,0225;0,9987;;False
1436,37;0.29;pa028​;20250612_105113;1;F8W1;0,1539;1,4260;1,7671;-0,0055;0,0458;-0,0227;0,9987;;False
1436,38;0.31;pa028​;20250612_105113;1;F8W1;0,1549;1,4273;1,7779;-0,0079;0,0449;-0,0220;0,9987;;False
1436,39;0.32;pa028​;20250612_105113;1;F8W1;0,1559;1,4283;1,7885;-0,0098;0,0438;-0,0215;0,9988;;False
1436,41;0.33;pa028​;20250612_105113;1;F8W1;0,1570;1,4287;1,7989;-0,0101;0,0428;-0,0217;0,9988;;False
1436,42;0.35;pa028​;20250612_105113;1;F8W1;0,1582;1,4289;1,8094;-0,0080;0,0415;-0,0219;0,9989;;False
1436,45;0.38;pa028​;20250612_105113;1;F8W1;0,1611;1,4298;1,8306;-0,0005;0,0376;-0,0211;0,9991;;False
1436,46;0.39;pa028​;20250612_105113;1;F8W1;0,1625;1,4299;1,8415;0,0025;0,0348;-0,0216;0,9992;;False
1436,48;0.4;pa028​;20250612_105113;1;F8W1;0,1641;1,4295;1,8522;0,0063;0,0313;-0,0226;0,9992;;False
1436,49;0.42;pa028​;20250612_105113;1;F8W1;0,1657;1,4287;1,8628;0,0120;0,0273;-0,0235;0,9993;;False
1436,51;0.43;pa028​;20250612_105113;1;F8W1;0,1672;1,4276;1,8733;0,0184;0,0232;-0,0240;0,9993;;False
1436,52;0.44;pa028​;20250612_105113;1;F8W1;0,1689;1,4264;1,8840;0,0252;0,0187;-0,0242;0,9992;;False
1436,53;0.46;pa028​;20250612_105113;1;F8W1;0,1705;1,4254;1,8947;0,0303;0,0148;-0,0250;0,9991;;False
1436,55;0.47;pa028​;20250612_105113;1;F8W1;0,1724;1,4244;1,9054;0,0337;0,0111;-0,0254;0,9990;;False
