Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
1458,42;0.0;pa031​;20250619_105200;1;Marche;0,0406;1,5289;0,3214;0,0638;-0,0663;-0,0008;0,9958;Collision avec Debut - Objet Parent SceneAnchor;False
1458,44;0.02;pa031​;20250619_105200;1;Marche;0,0384;1,5295;0,3351;0,0652;-0,0648;-0,0020;0,9958;Collision avec Debut - Objet Parent SceneAnchor;False
1458,45;0.03;pa031​;20250619_105200;1;Marche;0,0359;1,5312;0,3497;0,0660;-0,0611;-0,0047;0,9959;Collision avec Debut - Objet Parent SceneAnchor;False
1458,46;0.04;pa031​;20250619_105200;1;Marche;0,0333;1,5323;0,3641;0,0628;-0,0580;-0,0054;0,9963;Collision avec Debut - Objet Parent SceneAnchor;False
1458,48;0.06;pa031​;20250619_105200;1;Marche;0,0306;1,5337;0,3780;0,0640;-0,0572;-0,0035;0,9963;Collision avec Debut - Objet Parent SceneAnchor;False
1458,49;0.07;pa031​;20250619_105200;1;Marche;0,0278;1,5352;0,3919;0,0666;-0,0571;-0,0040;0,9961;Collision avec Debut - Objet Parent SceneAnchor;False
1458,51;0.08;pa031​;20250619_105200;1;Marche;0,0254;1,5367;0,4051;0,0684;-0,0573;-0,0058;0,9960;Collision avec Debut - Objet Parent SceneAnchor;False
1458,52;0.1;pa031​;20250619_105200;1;Marche;0,0233;1,5381;0,4178;0,0700;-0,0574;-0,0069;0,9959;Collision avec Debut - Objet Parent SceneAnchor;False
1458,53;0.11;pa031​;20250619_105200;1;Marche;0,0214;1,5394;0,4304;0,0701;-0,0561;-0,0082;0,9959;;False
1458,55;0.12;pa031​;20250619_105200;1;Marche;0,0194;1,5410;0,4434;0,0694;-0,0546;-0,0090;0,9961;;False
1458,56;0.14;pa031​;20250619_105200;1;Marche;0,0176;1,5432;0,4572;0,0678;-0,0542;-0,0072;0,9962;;False
1458,58;0.15;pa031​;20250619_105200;1;Marche;0,0159;1,5452;0,4710;0,0655;-0,0539;-0,0061;0,9964;;False
1458,59;0.17;pa031​;20250619_105200;1;Marche;0,0145;1,5466;0,4847;0,0637;-0,0528;-0,0063;0,9966;;False
1458,60;0.18;pa031​;20250619_105200;1;Marche;0,0134;1,5475;0,4986;0,0631;-0,0512;-0,0066;0,9967;;False
