Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
3368,05;0.0;pa034​;20250620_102900;1;FO1;-0,0173;1,5400;0,2008;-0,3317;-0,0033;-0,0064;-0,9434;Collision avec Debut - Objet Parent SceneAnchor;False
3368,08;0.03;pa034​;20250620_102900;1;FO1;-0,0128;1,5398;0,2119;-0,3355;-0,0034;-0,0082;-0,9420;Collision avec Debut - Objet Parent SceneAnchor;False
3368,11;0.06;pa034​;20250620_102900;1;FO1;-0,0082;1,5378;0,2241;-0,3331;-0,0026;-0,0121;-0,9428;Collision avec Debut - Objet Parent SceneAnchor;False
3368,13;0.08;pa034​;20250620_102900;1;FO1;-0,0035;1,5349;0,2383;-0,3286;-0,0011;-0,0150;-0,9443;Collision avec Debut - Objet Parent SceneAnchor;False
3368,16;0.11;pa034​;20250620_102900;1;FO1;0,0013;1,5312;0,2544;-0,3305;-0,0019;-0,0143;-0,9437;Collision avec Debut - Objet Parent SceneAnchor;False
3368,19;0.14;pa034​;20250620_102900;1;FO1;0,0060;1,5272;0,2719;-0,3348;-0,0037;-0,0120;-0,9422;Collision avec Debut - Objet Parent SceneAnchor;False
3368,22;0.17;pa034​;20250620_102900;1;FO1;0,0101;1,5223;0,2895;-0,3414;-0,0053;-0,0101;-0,9399;Collision avec Debut - Objet Parent SceneAnchor;False
3368,24;0.19;pa034​;20250620_102900;1;FO1;0,0140;1,5172;0,3090;-0,3456;-0,0067;-0,0081;-0,9383;;False
3368,27;0.22;pa034​;20250620_102900;1;FO1;0,0172;1,5110;0,3294;-0,3481;-0,0078;-0,0069;-0,9374;;False
3368,30;0.25;pa034​;20250620_102900;1;FO1;0,0200;1,5041;0,3503;-0,3508;-0,0087;-0,0050;-0,9364;;False
3368,33;0.28;pa034​;20250620_102900;1;FO1;0,0219;1,4963;0,3718;-0,3533;-0,0096;-0,0034;-0,9355;;False
3368,35;0.3;pa034​;20250620_102900;1;FO1;0,0227;1,4879;0,3935;-0,3549;-0,0112;-0,0032;-0,9348;;False
3368,38;0.33;pa034​;20250620_102900;1;FO1;0,0227;1,4800;0,4157;-0,3609;-0,0136;-0,0039;-0,9325;;False
3368,41;0.36;pa034​;20250620_102900;1;FO1;0,0216;1,4728;0,4392;-0,3676;-0,0159;-0,0039;-0,9298;;False
3368,44;0.39;pa034​;20250620_102900;1;FO1;0,0188;1,4663;0,4649;-0,3729;-0,0160;-0,0039;-0,9277;;False
3368,45;0.4;pa034​;20250620_102900;1;FO1;0,0168;1,4631;0,4784;-0,3751;-0,0154;-0,0042;-0,9269;;False
3368,46;0.42;pa034​;20250620_102900;1;FO1;0,0124;1,4576;0,5060;-0,3798;-0,0151;-0,0045;-0,9249;;False
3368,48;0.43;pa034​;20250620_102900;1;FO1;0,0097;1,4556;0,5205;-0,3812;-0,0161;-0,0043;-0,9244;;False
3368,49;0.44;pa034​;20250620_102900;1;FO1;0,0066;1,4546;0,5355;-0,3834;-0,0188;-0,0032;-0,9234;;False
3368,51;0.46;pa034​;20250620_102900;1;FO1;0,0032;1,4566;0,5541;-0,3932;-0,0235;0,0007;-0,9192;;False
3368,52;0.47;pa034​;20250620_102900;1;FO1;-0,0001;1,4547;0,5707;-0,3833;-0,0254;-0,0017;-0,9233;;False
3368,53;0.48;pa034​;20250620_102900;1;FO1;-0,0037;1,4540;0,5854;-0,3791;-0,0233;-0,0069;-0,9250;;False
3368,54;0.5;pa034​;20250620_102900;1;FO1;-0,0075;1,4547;0,6004;-0,3835;-0,0215;-0,0092;-0,9232;;False
3368,56;0.51;pa034​;20250620_102900;1;FO1;-0,0110;1,4558;0,6143;-0,3876;-0,0208;-0,0083;-0,9215;;False
3368,57;0.52;pa034​;20250620_102900;1;FO1;-0,0138;1,4576;0,6272;-0,3921;-0,0176;-0,0100;-0,9197;;False
