Timestamp;ElapsedTime;ID_Subject;ID_Session;sessionNumber;ID_Test;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;HeadRotation_W;Events;FalseStart
4264,91;0.0;pa034​;20250620_102900;1;TUG1;-0,0632;1,2848;-0,0858;0,3544;0,0070;0,0219;0,9348;;False
4264,92;0.01;pa034​;20250620_102900;1;TUG1;-0,0650;1,2970;-0,0817;0,3485;0,0061;0,0217;0,9370;;False
4264,94;0.03;pa034​;20250620_102900;1;TUG1;-0,0667;1,3092;-0,0778;0,3419;0,0046;0,0215;0,9395;;False
4264,95;0.04;pa034​;20250620_102900;1;TUG1;-0,0685;1,3216;-0,0742;0,3353;0,0031;0,0214;0,9419;;False
4264,97;0.06;pa034​;20250620_102900;1;TUG1;-0,0702;1,3341;-0,0707;0,3299;0,0014;0,0211;0,9438;;False
4264,98;0.07;pa034​;20250620_102900;1;TUG1;-0,0719;1,3466;-0,0675;0,3258;0,0001;0,0206;0,9452;;False
4264,99;0.08;pa034​;20250620_102900;1;TUG1;-0,0733;1,3590;-0,0647;0,3217;-0,0008;0,0196;0,9466;;False
4265,01;0.1;pa034​;20250620_102900;1;TUG1;-0,0748;1,3715;-0,0621;0,3167;-0,0014;0,0189;0,9483;;False
4265,02;0.11;pa034​;20250620_102900;1;TUG1;-0,0761;1,3837;-0,0596;0,3114;-0,0014;0,0175;0,9501;;False
4265,03;0.13;pa034​;20250620_102900;1;TUG1;-0,0773;1,3958;-0,0572;0,3052;-0,0009;0,0167;0,9521;;False
4265,05;0.14;pa034​;20250620_102900;1;TUG1;-0,0785;1,4081;-0,0546;0,2979;-0,0003;0,0168;0,9544;;False
4265,06;0.15;pa034​;20250620_102900;1;TUG1;-0,0796;1,4201;-0,0528;0,2916;0,0007;0,0169;0,9564;;False
4265,08;0.17;pa034​;20250620_102900;1;TUG1;-0,0806;1,4318;-0,0514;0,2872;0,0016;0,0165;0,9577;;False
4265,09;0.18;pa034​;20250620_102900;1;TUG1;-0,0818;1,4431;-0,0501;0,2819;0,0032;0,0168;0,9593;;False
